media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"23588","http://www.heute.at","heute.at","AUT","AT-9","de","United States","print_native","","","0.0","2017-12-04"
"38690","http://www.salzburger-fenster.at/","salzburger-fenster","AUT","AT-5","de","Salzburg","print_native","","","0.0","2016-09-12"
"39021","http://www.oe-journal.at/","oe-journal","AUT","","de","none","print_native","","","0.0","2013-07-15"
"39179","http://derstandard.at/","derStandard","AUT","AT-9","de","none","print_native","","","15.87","2013-03-11"
"39194","http://www.krone.at/","krone","AUT","AT-9","de","none","print_native","","","20.63","2013-03-11"
"39480","http://news.orf.at/","ORF","AUT","","de","none","video_broadcast","","","10.11","2013-05-20"
"39608","http://www.badenerzeitung.at/","badenerzeitung","AUT","AT-3","de","Republic of Austria","print_native","","","0.0","2013-03-11"
"40411","http://www.profil.at/","profil","AUT","","de","none","print_native","","","2.08","2014-07-28"
"40421","http://www.kleinezeitung.at/","kleinezeitung","AUT","AT-2","de","none","print_native","","","2.64","2013-03-18"
"40620","http://kurier.at/","kurier-at","AUT","AT-9","de","none","print_native","","","15.19","2013-03-18"
"40632","http://www.news.at/","news-at","AUT","","de","United States","print_native","","","0.0","2013-05-27"
"40966","http://www.oe24.at/","oe24","AUT","AT-9","de","none","print_native","","","15.54","2013-03-18"
"40974","http://www.wienerzeitung.at","wienerzeitung","AUT","AT-9","de","none","print_native","","","4.86","2013-05-20"
"41066","http://www.vol.at/","Vorarlberg","AUT","AT-8","de","none","digital_native","","","17.57","2013-03-18"
"41295","http://diepresse.com/","diepresse","AUT","AT-9","de","none","print_native","","","14.2","2013-03-18"
"41411","http://www.wirtschaftsblatt.at/","wirtschaftsblatt","AUT","AT-9","de","none","print_native","","","14.24","2013-03-18"
"41593","http://www.austriantimes.at/","austriantimes","AUT","","en","Republic of Austria","digital_native","","","0.0","2014-01-20"
"41845","http://www.volksblatt.at/","volksblatt","AUT","AT-4","de","Oberösterreich","print_native","","","4.46","2017-10-23"
"58015","http://nachrichten.at/","nachrichten.at","AUT","AT-4","de","Oberösterreich","print_native","","","7.94","2013-04-29"
"109952","http://salzburg.com/","salzburg.com","AUT","AT-5","de","none","print_native","","","12.63","2017-12-04"
"118809","http://vorarlbergernachrichten.at/","vorarlbergernachrichten.at","AUT","AT-8","de","none","print_native","","","0.01","2018-05-14"
"144333","http://salzburg24.at/","salzburg24.at","AUT","AT-5","de","Republic of Austria","digital_native","","","3.99","2017-12-04"
"145335","http://tt.com/","tt.com","AUT","AT-7","de","United States","print_native","","","25.32","2017-12-04"
"145365","http://thelocal.at/","thelocal.at","AUT","","en","Republic of Austria","digital_native","","","0.53","2016-08-08"
"185355","http://salzburg.orf.at/","salzburg.orf.at","AUT","AT-5","de","none","video_broadcast","","","1.07","2017-12-04"
"257536","http://pressetext.com/","pressetext.com","AUT","","de","none","other","","","0.0","2017-11-06"
"300622","http://www.wienerzeitung.at/nachrichten/english_news/","English News from Austria - Wiener Zeitung Online","AUT","AT-9","en","","print_native","","","0.0","2016-01-25"
"306679","http://industriemagazin.at/","industriemagazin.at","AUT","","de","none","print_native","","","0.52","2017-11-06"
"367269","http://apa.at/","apa.at","AUT","","de","","other","","","0.0","2013-09-16"
"367284","http://unzensuriert.at/","unzensuriert.at","","","de","none","","","","0.62","2017-07-31"
"373378","http://burgenland.orf.at/","burgenland.orf.at","AUT","AT-1","de","none","print_native","","","0.94","2017-12-04"
"378854","http://wien.orf.at/","wien.orf.at","AUT","AT-9","de","none","video_broadcast","","","1.0","2017-12-04"
"381368","http://steiermark.orf.at/","steiermark.orf.at","AUT","AT-6","de","none","video_broadcast","","","1.02","2017-12-04"
"385448","http://www.ejz.de/","Startseite","AUT","AT-7","de","Lower Saxony","print_native","","","0.0","2017-04-10"
"514403","http://trend.at/","trend.at","AUT","","de","none","print_native","","","0.04","2012-01-09"
"514500","http://vorarlberg.orf.at/","vorarlberg.orf.at","AUT","AT-8","de","Fieberbrunn","video_broadcast","","","0.97","2017-12-04"
"515015","http://tirol.orf.at/","tirol.orf.at","AUT","AT-7","de","none","video_broadcast","","","0.96","2017-12-04"
"515253","http://kaernten.orf.at/","kaernten.orf.at","AUT","AT-2","de","none","video_broadcast","","","1.21","2017-12-04"
"515401","http://noe.orf.at/","noe.orf.at","AUT","AT-3","de","Republic of Austria","video_broadcast","","","0.9","2017-12-04"
"516466","http://ooe.orf.at/","ooe.orf.at","AUT","AT-4","de","none","video_broadcast","","","0.87","2017-12-04"
"517469","http://falter.at/","falter.at","AUT","AT-9","de","Republic of Austria","print_native","","","0.0","2017-04-03"
"565634","http://kontrast.at/","kontrast.at","","","","","","","","0.23","2018-05-21"
"623455","http://teletext.orf.at/","ORF - Austria (German)","AUT","","de","","video_broadcast","","","0.0","2017-10-30"
"623456","http://aktien-portal.at/","Aktien Portal","AUT","","de","none","digital_native","","","11.8","2011-05-16"
"623458","http://www.gewinn.com/","Gewinn","AUT","","de","","print_native","","","0.0","2018-04-16"
"653369","http://www.austriacreditscoreonline.co.uk/","Austria Credit Score Online","AUT","","en","","digital_native","","","0.0","2018-04-16"
"653370","http://www.austrianews.co.uk/","Austria News","AUT","","","","digital_native","","","0.0","2020-12-14"
"653372","https://hrvatskenovine.at/","Hrvatske Novine","AUT","AT-1","hr","Primorsko-Goranska Županija","video_broadcast","","","0.17","2017-11-27"
"653373","http://novice.at/","Novice","AUT","AT-2","sl","Občina Ravne na Koroškem","print_native","","","0.34","2017-10-09"
"653375","http://www.unterkaerntner.at/","Unterkarntner Nachrichten","AUT","AT-2","de","","print_native","","","0.0","2018-01-22"
"653376","http://www.p3tv.at/","P3 TV","AUT","AT-3","de","","video_broadcast","","","0.0","2022-05-14"
"653378","http://www.soj.at/","Sud Ost Journal","AUT","AT-6","de","","print_native","","","0.0","2018-05-07"
"653379","http://www.grazer.at/","Der Grazer","AUT","AT-6","de","","print_native","","","0.0","2018-01-22"
"653380","http://www.derennstaler.at/","Der Ennstaler","AUT","AT-6","de","none","print_native","","","0.39","2018-07-02"
"653382","http://www.lbn.at/","Liezener Bezirksnachrichten","AUT","AT-6","de","none","print_native","","","0.01","2017-11-13"
"653383","http://www.ennsseiten.at/","Enns Seiten","AUT","AT-6","de","none","print_native","","","0.07","2017-12-04"
"653386","http://www.kitzanzeiger.at/","Kitzbuheler Anzeiger","AUT","AT-7","de","none","print_native","","","0.81","2017-11-20"
"653387","https://www.osttirol-online.at/","Osttiroler Bote","AUT","AT-7","","","print_native","","","0.0","2018-01-22"
"653388","http://www.neue.at/","Neue Vorarlberger Tageszeitung","AUT","AT-8","de","United Kingdom of Great Britain and Northern Ireland","print_native","","","1.19","2017-12-11"
"653389","http://www.wannundwo.at/","Wann und Wo","AUT","AT-8","de","none","print_native","","","0.22","2018-02-05"
"653390","http://wienerbezirksblatt.at/","Wiener Bezirks Blatt","AUT","AT-9","de","none","print_native","","","0.86","2018-02-19"
