media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39638","http://www.busiweek.com/","busiweek","UGA","UG-C","en","none","print_native","","","0.78","2016-01-04"
"39693","http://www.newvision.co.ug","newvision","UGA","UG-C","en","Republic of Uganda","print_native","","","0.37","2011-09-26"
"57147","http://independent.co.ug/","independent.co.ug","UGA","UG-C","en","none","print_native","","","1.62","2017-07-31"
"60105","http://monitor.co.ug/","monitor.co.ug","UGA","UG-C","en","Republic of Uganda","print_native","","","1.41","2013-04-29"
"132676","http://observer.ug/","observer.ug","UGA","UG-C","en","Republic of Uganda","print_native","","","0.41","2017-12-04"
"137069","http://redpepper.co.ug/","redpepper.co.ug","UGA","UG-C","en","Republic of Uganda","print_native","","","0.76","2018-02-19"
"138298","http://mediacentre.go.ug/","mediacentre.go.ug","UGA","","en","","digital_native","","","0.0","2015-11-09"
"178983","http://theinsider.ug/","theinsider.ug","UGA","","en","Republic of Uganda","digital_native","","","0.2","2017-11-06"
"180267","http://kfm.co.ug/","kfm.co.ug","UGA","UG-C","en","Republic of Uganda","video_broadcast","","","0.42","2017-12-18"
"201423","http://ugandaradionetwork.com/","ugandaradionetwork.com","UGA","","en","Republic of Uganda","print_native","","","1.57","2017-11-06"
"246783","http://chimpreports.com/","chimpreports.com","UGA","","en","Republic of Uganda","digital_native","","","1.39","2017-11-06"
"300097","http://ubc.ug/","http://ubc.ug/","UGA","","en","Republic of Uganda","video_broadcast","","","0.0","2017-02-13"
"300342","http://www.kawowo.com/","Comprehensive Sports Coverage in Uganda & East Africa","UGA","","en","Republic of Uganda","digital_native","","","0.72","2017-08-14"
"300415","http://www.nbs.ug/","NBS TV | Accurate, bold, Authoritative","UGA","","en","Republic of Uganda","video_broadcast","","","0.21","2016-08-15"
"300598","http://www.ugandanews.net/","Uganda News.Net | Online News Network Service for Uganda","UGA","","en","none","digital_native","","","2.51","2016-08-22"
"524973","http://ntv.co.ug/","ntv.co.ug","UGA","","en","Republic of Uganda","video_broadcast","","","0.01","2017-11-06"
"551864","http://newslexpoint.com/","newslexpoint.com","UGA","","en","Republic of Uganda","digital_native","","","0.0","2017-10-30"
"577334","http://acholitimes.com/","acholitimes.com","UGA","UG-N","en","","print_native","","","0.0","2018-01-01"
"582299","http://theinvestigatornews.com/","theinvestigatornews.com","UGA","","en","Republic of Uganda","digital_native","","","0.26","2017-12-11"
"623492","http://bbstv.ug/","BBS","UGA","","none","Republic of Uganda","video_broadcast","","","0.0","2019-12-09"
"623493","https://www.bugandawatch.com/","Buganda Watch","UGA","","lg","Republic of Uganda","digital_native","","","0.0","2017-10-02"
"623494","http://dailypost.ug/","Daily Post - Uganda","UGA","","en","Republic of Uganda","digital_native","","","0.0","2018-01-08"
"623495","http://eagle.co.ug/","Eagle Online","UGA","","en","Republic of Uganda","digital_native","","","0.71","2017-11-06"
"623496","http://xpresstimes.co.ug/","Xpress Times","UGA","","en","Republic of Uganda","digital_native","","","0.0","2017-10-30"
"656609","http://capitalradio.co.ug/","Capital FM - Uganda","UGA","UG-C","en","Republic of Uganda","video_broadcast","","","0.56","2018-04-02"
"656803","http://radioonefm90.com/","Radio One - Uganda","UGA","UG-C","en","Republic of Uganda","video_broadcast","","","0.0","2018-01-22"
"658374","http://abcafricanews.com/","ABC Africa","UGA","UG-C","en","","print_native","","","0.0","2017-12-04"
"658375","http://www.akaboozi.fm/","Akaboozi","UGA","UG-C","en","Republic of Uganda","video_broadcast","","","0.0","2018-01-22"
"658376","http://www.bukedde.co.ug/","Bukedde","UGA","UG-C","lg","Republic of Uganda","print_native","","","0.0","2017-12-04"
"658377","http://kampalasun.co.ug/","Kampala Sun","UGA","UG-C","en","Republic of Uganda","print_native","","","0.61","2017-12-04"
"658378","http://www.radiowa.org/","Radio Wa","UGA","UG-N","en","Republic of Uganda","video_broadcast","","","0.0","2017-10-09"
"658379","https://tvwest.co.ug/","TV West","UGA","UG-W","lg","Republic of Uganda","video_broadcast","","","0.17","2018-01-22"
"1720588","https://www.newtimes.co.ug/","The New Times Uganda","","","","","","","","0.0","2020-08-31"
