media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38926","http://www.dunaujvaros.com/","dunaujvaros","HUN","HU-FE","hu","none","digital_native","","","0.78","2013-03-18"
"38960","http://www.kisalfold.hu","kisalfold","HUN","","","","print_native","","","7.08","2013-03-11"
"39104","http://www.nepszava.hu/","nepszava","HUN","HU-BU","hu","none","print_native","","","3.09","2013-03-11"
"39128","http://hvg.hu/","hvg","HUN","","hu","none","print_native","","","7.08","2013-03-11"
"39137","http://www.szon.hu/","szabolcs","HUN","","hu","Hungary","digital_native","","","7.26","2013-03-11"
"39294","http://www.vg.hu/","vg-online","HUN","HU-BU","hu","none","print_native","","","6.26","2013-03-11"
"39474","http://www.nol.hu/index.html","nol","HUN","HU-BU","hu","none","print_native","","","0.0","2013-07-01"
"39499","http://www.blikk.hu/","blikk","HUN","HU-BU","hu","none","print_native","","","9.36","2013-03-18"
"39749","http://www.demokrata.hu","demokrata","HUN","","hu","none","print_native","","","2.9","2018-10-01"
"39761","http://mno.hu/hirtv","hirtv","HUN","","hu","none","video_broadcast","","","15.03","2013-05-20"
"39894","http://www.bbj.hu/","BBJ","HUN","HU-BU","en","Hungary","print_native","","","0.7","2013-02-18"
"40022","http://www.hirado.hu/","Hirado","HUN","","","","video_broadcast","","","0.97","2013-03-18"
"40040","http://mno.hu/","mno","HUN","HU-BU","hu","none","print_native","","","8.37","2013-03-18"
"40623","http://www.magyarhirlap.hu","magyarhirlap","HUN","HU-BU","","","print_native","","","0.01","2013-03-18"
"41399","http://www.origo.hu/index.html","origo","HUN","","","","digital_native","","","14.07","2013-03-18"
"41473","http://www.napi.hu/","napi","HUN","HU-BU","hu","none","print_native","","","5.49","2013-03-18"
"41498","http://www.boon.hu/","boon","HUN","","hu","Hungary","digital_native","","","7.82","2013-03-18"
"41764","https://www.heol.hu/","HEOL","HUN","HU-HE","","","print_native","","","6.73","2018-04-30"
"41787","http://www.jfb.hu/","jfb","HUN","HU-BU","fr","Budapest főváros","print_native","","","0.11","2013-07-08"
"42135","http://index.hu","index","HUN","","hu","Republic of Azerbaijan","print_native","","","11.13","2013-05-20"
"42196","https://www.baon.hu/","Baon","HUN","","","","print_native","","","7.43","2018-04-30"
"58911","http://mandiner.hu/","mandiner.hu","","","","","","","","7.66","2013-05-06"
"59094","http://portfolio.hu/","portfolio.hu","HUN","","hu","none","digital_native","","","7.51","2013-05-06"
"63913","http://delmagyar.hu/","delmagyar.hu","HUN","HU-CS","","","print_native","","","7.31","2013-04-29"
"66481","http://budapesttimes.hu/","budapesttimes.hu","HUN","HU-BU","en","Hungary","print_native","","","0.62","2013-04-29"
"108272","http://hatc.hu/","hatc.hu","HUN","","en","none","digital_native","","","0.0","2016-10-10"
"121075","http://budapestbeacon.com/","budapestbeacon.com","HUN","","en","Hungary","digital_native","","","0.0","2016-08-15"
"189489","http://valasz.hu/","valasz.hu","HUN","","hu","Gdańsk","print_native","","","0.0","2017-10-30"
"222975","http://atlatszo.hu/","atlatszo.hu","","","hu","none","","","","0.38","2018-03-05"
"278310","http://magyarnarancs.hu/","magyarnarancs.hu","HUN","","hu","none","print_native","","","2.7","2017-10-30"
"282095","http://inforadio.hu/","inforadio.hu","HUN","","hu","none","video_broadcast","","","8.81","2017-11-06"
"282135","http://kitekinto.hu/","kitekinto.hu","","","","","","","","0.52","2020-10-12"
"282182","http://444.hu/","444.hu","","","hu","Hungary","","","","3.32","2018-04-16"
"282269","http://24.hu/","24.hu","HUN","","hu","none","digital_native","","","8.87","2017-11-06"
"282295","http://hirtv.hu/","hirtv.hu","","","","","","","","5.67","2018-04-16"
"282435","http://nol.hu/","nol.hu","","","hu","none","","","","0.0","2012-01-16"
"282551","http://faktor.hu/","faktor.hu","","","","","","","","0.0","2019-04-29"
"287346","http://kelet.hu/","kelet.hu","HUN","","hu","United States","print_native","","","7.24","2021-04-26"
"300000","http://hvg.hu/english","A hvg.hu English version rovata","HUN","","en","none","print_native","","","9.99","2016-08-15"
"303647","http://hungarytoday.hu/","hungarytoday.hu","","","","","","","","0.94","2014-02-03"
"310521","http://abouthungary.hu/","abouthungary.hu","","","","","","","","0.0","2017-11-06"
"311784","http://dailynewshungary.com/","dailynewshungary.com","","","","","","","","1.23","2020-08-31"
"319783","http://hetek.hu/","hetek.hu","HUN","","hu","none","print_native","","","0.0","2017-11-06"
"346090","http://888.hu/","888.hu","","","","","","","","1.82","2018-04-16"
"373314","http://pesterlloyd.net/","pesterlloyd.net","HUN","HU-BU","de","","print_native","","","0.0","2017-12-04"
"385773","http://ma.hu/","ma.hu","HUN","","hu","none","digital_native","","","3.24","2017-10-30"
"413838","http://kuruc.info/","kuruc.info","","","","","","","","3.37","2020-10-12"
"414133","http://tv2.hu/","tv2.hu","HUN","","hu","none","video_broadcast","","","0.0","2017-11-06"
"414914","http://gondola.hu/","gondola.hu","HUN","","","","digital_native","","","3.66","2017-10-30"
"414985","http://alfahir.hu/","alfahir.hu","","","","","","","","2.29","2020-10-12"
"417498","http://atv.hu/","atv.hu","HUN","","hu","none","video_broadcast","","","0.01","2017-11-06"
"514830","http://ungarnheute.hu/","ungarnheute.hu","","","","","","","","0.0","2017-07-24"
"522936","http://budapester.hu/","budapester.hu","HUN","HU-BU","en","none","print_native","","","0.89","2018-11-12"
"523860","http://nemzetisport.hu/","nemzetisport.hu","HUN","HU-BU","hu","United States","print_native","","","7.41","2017-10-30"
"560313","http://pestisracok.hu/","pestisracok.hu","HUN","","","","","","","3.22","2019-04-29"
