media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38945","http://www.estadao.com.br/","estadao","BRA","BR-SP","pt","none","print_native","","","0.13","2013-03-11"
"40252","http://oglobo.globo.com","ogloboglobo","BRA","BR-RJ","pt","none","print_native","","","6.3","2013-05-20"
"41736","http://www.folha.uol.com.br/","folha","BRA","BR-SP","pt","none","print_native","","","35.81","2013-05-27"
"58283","http://advivo.com.br/","advivo.com.br","BRA","","pt","none","digital_native","","","0.18","2012-10-22"
"59474","http://video.globo.com/","video.globo.com","BRA","","","","digital_native","","","0.0","2016-10-10"
"59723","http://veja.abril.com.br/","veja.abril.com.br","PRT","","pt","United States","print_native","","","3.66","2013-05-06"
"59998","http://reporterbrasil.org.br/","reporterbrasil.org.br","BRA","","pt","Pará","digital_native","","","0.27","2013-05-06"
"60427","http://g1.globo.com/","Globo","BRA","","","","video_broadcast","","","58.0","2013-05-06"
"65275","http://cbn.globoradio.globo.com/","cbn.globoradio.globo.com","BRA","","pt","none","video_broadcast","","","0.14","2013-12-30"
"65509","http://uol.com.br/","UOL","BRA","","pt","none","digital_native","","","18.96","2016-01-04"
"66356","http://ultimosegundo.ig.com.br/","ultimosegundo.ig.com.br","BRA","","pt","none","digital_native","","","3.4","2013-05-06"
"73828","http://br.reuters.com/#spider","br.reuters.com","BRA","","pt","none","other","","","0.0","2018-04-16"
"83354","http://terra.com.br","Terra - Notícias, esportes, coberturas ao vivo, diversão e estilo de vida","BRA","","pt","United States","digital_native","","","32.01","2013-10-07"
"83356","http://r7.com","Últimas Notícias, Vídeos, Entretenimento e Esportes - R7.com, o mais social dos portais","BRA","","pt","none","digital_native","","","1.06","2013-10-07"
"83366","http://bol.uol.com.br","BOL - Brasil Online","BRA","","pt","none","digital_native","","","16.84","2020-03-30"
"83374","http://ebc.com.br","EBC - Conteúdo público de educação, cidadania, infantil, notícias e mais","BRA","","pt","none","video_broadcast","","","0.11","2013-10-07"
"83385","http://caras.uol.com.br","CARAS – Fotos de famosos, notícias, vídeos e perfis das celebridades","BRA","","pt","none","print_native","","","4.64","2013-10-07"
"83408","http://superesportes.com.br","Superesportes - Notícias do esporte no Brasil e no mundo","BRA","","pt","Washington","digital_native","","","4.63","2013-10-07"
"83417","http://gazetadopovo.com.br","Gazeta do Povo","BRA","BR-PR","pt","none","print_native","","","10.51","2013-10-07"
