media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38963","http://www.guineenews.org/","guineenews","GIN","","fr","Republic of Guinea","digital_native","","","1.27","2015-11-30"
"39741","http://www.aminata.com/","aminata","GIN","","fr","Republic of Guinea","digital_native","","","0.66","2013-03-18"
"39968","http://www.kababachir.com/","kababachir","GIN","","fr","none","digital_native","","","0.43","2013-03-18"
"40835","http://www.guineeconakry.info/","guineeconakry","GIN","","fr","Republic of Liberia","digital_native","","","0.0","2013-05-20"
"40951","http://www.nlsguinee.com/","nlsguinee","GIN","","fr","Conakry Region","digital_native","","","0.0","2013-05-27"
"41357","http://africaguinee.com/","africaguinee","GIN","","fr","Republic of Guinea","digital_native","","","1.04","2013-05-20"
"56955","http://guineepresse.info/","guineepresse.info","GIN","","fr","none","digital_native","","","0.0","2013-04-29"
"58114","http://guinee24.com/","guinee24.com","GIN","","fr","none","digital_native","","","0.0","2016-01-18"
"63222","http://radio-kankan.com/","radio-kankan.com","GIN","","fr","none","video_broadcast","","","0.18","2013-04-29"
"63789","http://guinea-forum.org/","guinea-forum.org","GIN","","fr","none","digital_native","","","0.0","2013-05-06"
"145210","http://lexpressguinee.com/","lexpressguinee.com","GIN","","fr","","digital_native","","","0.0","2017-10-30"
"178854","http://guineeactu.info/","guineeactu.info","GIN","","fr","none","digital_native","","","0.0","2017-09-11"
"326435","http://mediaguinee.org/","mediaguinee.org","GIN","","fr","Conakry Region","digital_native","","","1.66","2017-10-30"
"623531","http://www.conakryonline.com/","Conakry Online","GIN","","","","digital_native","","","0.0","2014-12-29"
"623532","http://www.guinee360.com/","Guinee 360","GIN","","fr","Salem","digital_native","","","0.72","2017-10-30"
"623533","http://www.infoguinee.com/","Info Guinee","GIN","","fr","","digital_native","","","0.0","2018-02-19"
"623534","http://www.lejourguinee.com/index.php/fr/","Le Jour","GIN","GN-C","fr","","print_native","","","1.1","2019-06-10"
"656087","http://www.guinee7.com/","Guinee 7","GIN","","fr","none","digital_native","","","0.5","2017-12-04"
"656088","http://www.nrgui.com/","Nouvelle Republique de Guinee","GIN","","fr","","digital_native","","","0.0","2019-10-28"
"656089","http://www.guinée.info/","Guinee","GIN","","fr","none","digital_native","","","0.0","2017-12-04"
"1199588","http://lelynx.net/","lelynx.net","","","","","","","","0.81","2020-10-12"
