media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"32007","http://www.ticotimes.net#spider","ticotimes.net","CRI","CR-SJ","en","Republic of Costa Rica","print_native","","","0.38","2016-01-11"
"34687","http://news.co.cr#spider","news.co.cr","CRI","","en","none","digital_native","","","0.0","2020-04-13"
"58118","http://www.nacion.com/","www.nacion.com","CRI","CR-SJ","es","none","print_native","","","21.16","2013-04-29"
"61198","http://elpais.cr/","elpais.cr","CRI","","es","Comunidad de Madrid","digital_native","","","4.11","2013-04-29"
"63562","http://aldia.cr/","aldia.cr","CRI","CR-SJ","es","none","print_native","","","20.78","2021-11-29"
"142860","http://thecostaricanews.com/","thecostaricanews.com","CRI","","en","Republic of Costa Rica","digital_native","","","0.32","2016-09-05"
"243899","http://elfinancierocr.com/","elfinancierocr.com","CRI","CR-SJ","es","none","print_native","","","11.61","2018-05-28"
"296761","http://teletica.com/","teletica.com","CRI","","es","none","video_broadcast","","","9.6","2017-10-30"
"300138","http://www.amcostarica.com/","A.M. Costa Rica your daily English-language news source Monday through Friday","CRI","","en","United States","digital_native","","","0.0","2016-02-15"
"306483","http://qcostarica.com/","qcostarica.com","CRI","","en","none","digital_native","","","0.48","2016-12-26"
"313746","http://costaricantimes.com/","costaricantimes.com","CRI","","en","Republic of Costa Rica","digital_native","","","0.13","2017-10-30"
"326616","http://informa-tico.com/","informa-tico.com","CRI","","es","none","digital_native","","","0.17","2017-01-02"
"327864","http://diariodigitalelindependiente.com/","diariodigitalelindependiente.com","CRI","CR-G","es","Papagayo","digital_native","","","0.0","2017-12-04"
"328035","http://laprensalibre.cr/","laprensalibre.cr","CRI","CR-SJ","es","United States","print_native","","","0.0","2018-07-02"
"328792","http://miprensacr.com/","miprensacr.com","CRI","CR-P","es","none","digital_native","","","0.29","2018-01-22"
"329070","http://crhoy.com/","crhoy.com","CRI","","es","none","digital_native","","","0.0","2016-12-26"
"330266","http://diarioextra.com/","diarioextra.com","CRI","CR-SJ","es","none","print_native","","","6.1","2015-02-23"
"330457","http://monumental.co.cr/","monumental.co.cr","CRI","","es","none","video_broadcast","","","2.06","2016-12-26"
"332691","http://repretel.com/","repretel.com","CRI","","es","none","video_broadcast","","","0.01","2017-01-16"
"335589","http://elmundo.cr/","elmundo.cr","CRI","","es","none","digital_native","","","1.11","2020-04-06"
"340713","http://columbia.co.cr/","columbia.co.cr","CRI","","es","none","video_broadcast","","","0.0","2018-12-10"
"341651","http://amprensa.com/","amprensa.com","CRI","","es","none","digital_native","","","3.33","2017-10-30"
"349877","http://sinart.go.cr/","sinart.go.cr","CRI","","es","","video_broadcast","","","0.23","2020-11-30"
"353246","http://larepublica.net/","larepublica.net","CRI","CR-SJ","es","Virginia","print_native","","","0.0","2017-01-23"
"361222","http://www.elperiodicocr.com/","El Periódicocr.com |Libertad e independencia para informar | Noticias de Costa Rica y el mundo","CRI","","es","none","digital_native","","","0.0","2016-06-13"
"361223","http://no.ticiero.com/","Noticias Costa Rica | Noticias de Costa Rica qua vale la pena publicar","CRI","","es","","digital_native","","","0.0","2017-10-30"
"361225","http://www.ekaenlinea.com/","Revista EKA - La Revista Empresarial","CRI","","es","none","print_native","","","0.11","2015-02-23"
"475423","http://fortinoticias.com/","Fortinoticias","CRI","CR-H","","","digital_native","","","0.0","2019-12-02"
"623539","http://www.ncrnoticias.com/","NCR Noticias Costa Rica","CRI","","es","United States","digital_native","","","0.0","2018-01-01"
"623540","https://noticostarica.com/","Noti Costa Rica","CRI","","es","Republic of Costa Rica","digital_native","","","0.0","2017-11-06"
"623544","http://todaycostarica.com/","Today Costa Rica","CRI","","en","Republic of Costa Rica","digital_native","","","0.0","2017-10-30"
"651618","http://elsoldeoccidente.com/","El Sol - Costa Rica","CRI","CR-A","es","United States","print_native","","","0.17","2017-12-04"
"655416","http://www.periodicomitierra.com/","Mi Tierra","CRI","CR-A","es","none","print_native","","","0.0","2017-10-02"
"655420","http://www.guanacastenoticias.com/","Guanacaste Noticias","CRI","CR-G","es","none","video_broadcast","","","0.01","2017-11-27"
"836279","http://lateja.cr/","lateja.cr","","","","","","","","14.07","2021-11-22"
