media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"64621","http://thenassauguardian.com/","thenassauguardian.com","BHS","","en","none","print_native","","","0.49","2014-02-17"
"89108","http://www.thebahamasweekly.com/#spider","thebahamasweekly.com","BHS","","en","Commonwealth of The Bahamas","digital_native","","","0.8","2016-08-08"
"144764","http://bahamaspress.com/","bahamaspress.com","BHS","","en","Commonwealth of The Bahamas","digital_native","","","0.31","2016-08-15"
"176756","http://tribune242.com/","tribune242.com","BHS","","en","Commonwealth of The Bahamas","print_native","","","1.51","2017-12-04"
"300009","http://jonesbahamas.com/","The Bahama Journal - Jones Communications Network | Bahamas News","BHS","","en","none","print_native","","","0.0","2016-08-15"
"300178","http://www.bahamasnews.net/","Breaking News from Bahamas |Top Stories by Bahamas News.Net","BHS","","en","none","digital_native","","","0.34","2016-08-15"
"300179","http://www.bahamaspost.com/","| Bahamas Post","BHS","","en","","digital_native","","","0.0","2014-06-23"
"300180","http://www.bahamasspectator.com/","Bahamas News","BHS","","en","none","digital_native","","","1.76","2016-08-15"
"300641","http://www.znsbahamas.com/","zns","BHS","","en","none","video_broadcast","","","0.26","2016-08-08"
"314936","http://eleutheranews.com/","eleutheranews.com","BHS","BS-CE","en","Commonwealth of The Bahamas","print_native","","","0.1","2017-12-04"
"378806","http://bahamaslocal.com/","bahamaslocal.com","BHS","","en","","digital_native","","","0.0","2011-03-07"
"423747","http://bahamasuncensored.com/","bahamasuncensored.com","","","","","","","","0.61","2020-10-05"
"623545","http://www.bahamasnational.com/","Bahamas National","BHS","","en","Commonwealth of The Bahamas","digital_native","","","0.33","2017-11-06"
"623548","http://www.thebahamasinvestor.com/","Bahamas Investor","BHS","","en","Commonwealth of The Bahamas","print_native","","","0.0","2018-05-14"
"623549","http://thefreeportnews.com/","Freeport News","BHS","BS-FP","en","Commonwealth of The Bahamas","print_native","","","0.48","2017-11-06"
"653436","http://www.theabaconian.com/","Abaconian","BHS","BS-CO","en","Commonwealth of The Bahamas","print_native","","","0.0","2017-11-27"
"653437","http://guardiantalkradio.com/","Guardian Radio","BHS","","en","","video_broadcast","","","0.0","2017-12-04"
"653438","http://nassaupunch.com/","Punch - Bahamas","BHS","","","","print_native","","","0.0","2012-10-29"
"1702137","https://www.bahamasnewsmabey.com/","Bahamas News Ma Bey | The Real News in The Bahamas","","","","","","","","0.0","2020-05-25"
