media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"21489","http://www.thejournal.ie","thejournal.ie","","","en","none","","","","4.02","2019-03-11"
"22049","http://www.businesspost.ie","businesspost.ie","IRL","IE-D","en","Ireland","print_native","","","0.0","2018-01-08"
"38970","http://www.westernpeople.ie/","westernpeople","IRL","IE-MO","en","none","print_native","","","4.1","2013-03-11"
"38980","http://www.clarechampion.ie/","clarechampion","IRL","IE-CE","en","Ireland","print_native","","","0.81","2015-11-09"
"39065","http://www.clare.fm","clare","IRL","IE-CE","en","Ireland","video_broadcast","","","1.53","2017-07-17"
"39119","http://www.mayonews.ie/","MayoNews","IRL","IE-MO","en","Ireland","print_native","","","0.0","2013-03-11"
"39335","http://www.carlow-nationalist.ie/","carlow-nationalist","IRL","IE-CW","en","none","print_native","","","4.19","2013-03-18"
"39407","http://www.rte.ie/","RTE","IRL","","en","none","video_broadcast","","","8.34","2013-06-24"
"39625","http://www.westmeathindependent.ie","westmeathindependent","IRL","IE-WH","en","Ireland","print_native","","","0.0","2013-05-20"
"39642","http://www.meathchronicle.ie/","meathchronicle","IRL","IE-MH","en","Ireland","print_native","","","0.0","2013-05-20"
"39961","http://www.con-telegraph.ie/","con-telegraph","IRL","IE-MO","en","Ireland","print_native","","","0.0","2013-07-08"
"40134","http://www.leitrimobserver.ie/","leitrimobserver","IRL","IE-LM","en","Ireland","print_native","","","1.52","2013-04-15"
"40198","http://www.waterford-news.ie/","waterford-news","IRL","IE-WD","en","none","print_native","","","4.27","2013-03-18"
"40275","http://www.offalyexpress.ie/","offalyexpress","IRL","IE-OY","en","Ireland","print_native","","","2.31","2017-12-04"
"40394","http://www.leinsterexpress.ie/","leinsterexpress","IRL","IE-LS","en","Ireland","print_native","","","1.93","2014-01-20"
"40409","http://www.donegaldemocrat.ie/","donegaldemocrat","IRL","IE-DL","en","Ireland","print_native","","","3.17","2017-12-04"
"40413","http://www.leinsterleader.ie/","leinsterleader","IRL","IE-KE","en","Pennsylvania","print_native","","","2.22","2017-05-15"
"40549","http://www.southernstar.ie/","southernstar","IRL","IE-CO","en","Ireland","print_native","","","0.0","2013-07-15"
"40727","http://www.sligoweekender.ie/","sligoweekender","IRL","IE-SO","en","Ireland","print_native","","","0.0","2013-03-11"
"40779","http://www.tipperarystar.ie/","tipperarystar","IRL","IE-TA","en","Ireland","print_native","","","0.01","2013-03-18"
"40837","http://www.96fm.ie/","96fm","IRL","IE-CO","en","Ontario","video_broadcast","","","0.0","2013-05-27"
"40918","http://www.irishtimes.com/","Irish Times","IRL","IE-D","en","none","print_native","","","12.83","2017-08-14"
"41177","http://www.herald.ie/","herald-ie","IRL","IE-D","en","none","print_native","","","0.0","2013-03-18"
"41262","http://www.longfordleader.ie/","longfordleader","IRL","IE-LD","en","Ireland","print_native","","","1.53","2017-03-20"
"41318","http://www.kilkennypeople.ie/","kilkennypeople","IRL","IE-KK","en","Leinster","print_native","","","2.08","2013-10-07"
"41336","http://www.irishexaminer.com/","irishexaminer","IRL","IE-CO","en","none","print_native","","","10.79","2013-05-27"
"41392","http://www.wlrfm.com/","wlrfm","IRL","IE-WD","en","none","video_broadcast","","","0.0","2018-03-26"
"41424","http://www.anglocelt.ie/","anglocelt","IRL","IE-CN","en","Ireland","print_native","","","0.0","2013-05-27"
"41462","http://www.independent.ie","independent-ie","IRL","IE-D","en","none","print_native","","","19.3","2013-03-18"
"41510","http://www.limerickleader.ie/","limerickleader","IRL","IE-LK","en","United States","print_native","","","2.88","2016-07-04"
"41619","http://www.offalyindependent.ie/","offalyindependent","IRL","IE-OY","en","Ireland","print_native","","","0.0","2013-06-17"
"41806","http://www.sundayworld.com/","sundayworld","IRL","IE-D","en","Ireland","print_native","","","4.6","2020-10-12"
"42070","http://www.dublinpeople.com/","dublinpeople","IRL","IE-D","en","Ireland","print_native","","","0.07","2013-07-15"
"106648","http://thestar.ie/","thestar.ie","IRL","IE-D","en","","print_native","","","0.0","2014-05-26"
"108035","http://eveningecho.ie/","eveningecho.ie","IRL","IE-D","en","","print_native","","","1.49","2017-12-11"
"110411","http://anphoblacht.com/","anphoblacht.com","IRL","IE-D","en","none","print_native","","","0.12","2016-08-08"
"135206","http://corkindependent.com/","corkindependent.com","IRL","IE-CO","en","","print_native","","","0.0","2019-05-13"
"166035","http://www.rebelnews.ie/","REBEL","IRL","IE-D","en","none","print_native","","","0.11","2017-06-26"
"243719","http://westmeathexaminer.ie/","westmeathexaminer.ie","IRL","IE-WH","en","","print_native","","","0.0","2017-12-11"
"258096","http://irishpost.co.uk/","irishpost.co.uk","IRL","","en","none","print_native","","","0.0","2018-01-22"
"271430","http://republican-news.org/","republican-news.org","IRL","IE-G","en","United Kingdom of Great Britain and Northern Ireland","print_native","","","0.29","2016-06-27"
"300246","http://www.decisionireland.com/","Host Ireland Business Broadband","IRL","","en","Ireland","print_native","","","0.02","2018-07-02"
"314778","http://limerickpost.ie/","limerickpost.ie","IRL","IE-LK","en","Limerick","print_native","","","1.24","2017-12-04"
"524328","http://connachttribune.ie/","connachttribune.ie","IRL","IE-G","en","Ireland","print_native","","","0.79","2017-12-04"
"558481","http://avondhupress.ie/","avondhupress.ie","IRL","IE-CO","en","Ireland","print_native","","","0.26","2017-12-11"
"570701","http://donegalnews.com/","donegalnews.com","IRL","IE-DL","en","Ulster","print_native","","","0.57","2020-06-08"
"623551","https://www.rte.ie/news/","RTE Aertel","IRL","","en","Ireland","video_broadcast","","","0.0","2019-06-10"
"623552","http://insideireland.ie/","Inside Ireland","IRL","","en","Ireland","digital_native","","","0.12","2020-06-01"
"623553","http://www.foinse.ie/","Foinse","IRL","IE-G","ga","","print_native","","","0.0","2021-05-03"
"651242","http://www.nenaghguardian.ie/","Guardian - Ireland","IRL","IE-TA","en","","print_native","","","0.0","2018-10-08"
"652103","http://www.lepetitjournal.com/dublin","Le Petit Journal - Ireland","IRL","IE-D","fr","","digital_native","","","0.0","2020-06-08"
"653321","http://www.independent.ie/regionals/argus/","Argus - Ireland","IRL","IE-LH","en","Ireland","print_native","","","0.0","2017-11-27"
"656428","http://www.clarecourier.ie/","Clare Courier","IRL","IE-CE","en","Ireland","print_native","","","0.0","2017-12-04"
"656429","http://kenmarenews.biz/","Kenmare News - Ireland","IRL","IE-CO","en","Ireland","print_native","","","0.11","2018-06-18"
"656431","http://www.independent.ie/regionals/corkman/","Corkman","IRL","IE-CO","en","Ireland","print_native","","","0.82","2017-12-04"
"656432","http://www.marinetimes.ie/","Marine Times","IRL","IE-DL","en","","print_native","","","0.0","2018-04-23"
