media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"24749","http://paktribune.com","paktribune.com","PAK","","en","Islamic Republic of Pakistan","digital_native","","","0.0","2011-05-30"
"25888","http://tribune.com.pk","tribune.com.pk","PAK","","","","print_native","","","0.11","2017-01-30"
"38977","http://www.dailyjinnah.com/","dailyjinnah","","","en","Islamic Republic of Pakistan","","","","0.76","2018-08-06"
"39609","http://www.dawn.com","dawn","PAK","PK-SD","","","print_native","","","3.19","2013-03-11"
"39970","http://nation.com.pk/","nation","PAK","PK-PB","en","Islamic Republic of Pakistan","print_native","","","0.0","2013-05-20"
"40095","http://urdu.dawn.com/","dawn-ur","","","ur","none","","","","0.0","2013-03-18"
"40121","http://jang.com.pk","Jang-ur","PAK","PK-SD","en","none","print_native","","","31.02","2013-05-20"
"40849","http://pakobserver.net/","pakobserver","PAK","","en","none","print_native","","","2.34","2016-07-11"
"41437","http://geo.tv/","geo-tv","PAK","","en","none","video_broadcast","","","9.59","2016-05-09"
"41785","http://urdu.geo.tv/","geo-tv-ur","","","ur","Islamic Republic of Pakistan","","","","9.19","2013-05-20"
"42236","http://app.com.pk/en_/","app-en","PAK","","en","Islamic Republic of Pakistan","other","","","0.0","2016-07-18"
"54554","http://www.brecorder.com/","Business Recorder","PAK","PK-SD","en","none","print_native","","","0.02","2017-03-06"
"56109","http://thefrontierpost.com/","thefrontierpost.com","PAK","PK-KP","en","none","print_native","","","2.84","2013-05-06"
"56166","http://dailymailnews.com/","dailymailnews.com","PAK","","en","Islamic Republic of Pakistan","print_native","","","0.0","2016-01-18"
"60582","http://dailytimes.com.pk/","dailytimes.com.pk","PAK","PK-PB","en","United States","print_native","","","5.69","2015-11-09"
"62749","http://pakteahouse.wordpress.com/","pakteahouse.wordpress.com","","","en","Islamic Republic of Pakistan","","","","0.0","2013-04-22"
"66279","http://thenews.com.pk/","thenews.com.pk","PAK","PK-SD","en","Islamic Republic of Pakistan","print_native","","","13.38","2016-02-08"
"78502","http://www.aaj.tv/#spider","aaj.tv","","","en","none","","","","2.77","2018-02-26"
"81559","http://www.newslinemagazine.com/#spider","newslinemagazine.com","PAK","","en","Islamic Republic of Pakistan","print_native","","","0.0","2011-03-28"
"87341","http://www.pakistantoday.com.pk/#spider","pakistantoday.com.pk","PAK","PK-PB","en","Islamic Republic of Pakistan","print_native","","","2.92","2016-12-19"
"93779","http://www.lhrtimes.com/#spider","lhrtimes.com","","","","","","","","0.87","2020-10-12"
"99220","http://www.newsweekpakistan.com/#spider","newsweekpakistan.com","","","en","United States","","","","0.57","2017-02-27"
"125168","http://millat.com/","millat.com","PAK","PK-PB","ur","","print_native","","","0.0","2016-03-21"
"160642","http://dailyausaf.com/","dailyausaf.com","PAK","","ur","none","print_native","","","0.0","2017-01-23"
"163891","http://pakistannews.net/","pakistannews.net","PAK","","en","Islamic Republic of Pakistan","digital_native","","","3.59","2017-07-24"
"184151","http://thekooza.com/","thekooza.com","PAK","","en","","digital_native","","","0.01","2016-05-23"
"189225","http://balochwarna.com/","balochwarna.com","","","en","Islamic Republic of Pakistan","","","","0.11","2017-02-27"
"230779","http://dunyanews.tv/","dunyanews.tv","PAK","","en","Islamic Republic of Pakistan","video_broadcast","","","0.01","2016-08-15"
"234275","http://thefinancialdaily.com/","thefinancialdaily.com","PAK","PK-SD","en","Islamic Republic of Pakistan","print_native","","","0.81","2018-06-18"
"296451","http://thefridaytimes.com/","thefridaytimes.com","","","","","","","","1.12","2020-11-30"
"299997","http://herald.dawn.com/","Herald","PAK","","en","Islamic Republic of Pakistan","print_native","","","0.0","2015-11-09"
"300044","http://newspakistan.net/","http://breakingnewspakistan.com","PAK","","en","Islamic Republic of Pakistan","digital_native","","","0.06","2016-08-15"
"300089","http://thepakistaninewspaper.com/","TPN - The Pakistani Newspaper","PAK","","en","none","digital_native","","","0.34","2016-10-10"
"300132","http://www.allpakistaninews.com/","Pakistan News Urdu News Read Latest Pakistani Breaking News Online","PAK","","en","Islamic Republic of Pakistan","digital_native","","","0.11","2019-11-18"
"300258","http://www.economistan.com/","economistan.com","PAK","","en","none","digital_native","","","0.0","2017-12-25"
"300265","http://www.enews.pk/","Latest Pakistan News Updates | Breakig Pakistani News eNews.pk","PAK","","en","none","digital_native","","","0.13","2020-06-15"
"300462","http://www.onlinenews.com.pk/","Online International News Network","PAK","","en","none","digital_native","","","0.0","2016-10-10"
"300467","http://www.pakistaneconomist.com/","Pakistan & Gulf Economist","PAK","","en","Islamic Republic of Pakistan","print_native","","","0.14","2017-10-23"
"300468","http://www.pakwatan.com/","Pakistan News, Pakistan Fashion, Pakistan Sports, Entertainment","PAK","","en","Islamic Republic of Pakistan","digital_native","","","0.0","2016-08-01"
"300497","http://www.radio.gov.pk/","Radio Pakistan | National Broadcaster of Pakistan","PAK","","en","Islamic Republic of Pakistan","video_broadcast","","","0.59","2016-08-15"
"300620","http://www.weeklycuttingedge.com/","WEEKLY CUTTING EDGE","PAK","","en","Islamic Republic of Pakistan","print_native","","","0.11","2017-10-09"
"311658","http://urduvoa.com/","urduvoa.com","PAK","","ur","none","video_broadcast","","","1.63","2016-12-19"
