media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"27917","http://www.laopinion.com/","LA OPINIÓN","USA","US-CA","es","United States","print_native","","","12.51","2012-10-15"
"38923","http://www.elmercurio.com.ec/","diarioelmercurio","ECU","EC-A","es","Republic of Ecuador","print_native","","","2.73","2013-03-18"
"40521","http://www.lahora.com.ec","lahora","ECU","EC-P","es","none","print_native","","","3.98","2017-04-10"
"40641","http://www.eluniverso.com","eluniverso","ECU","EC-G","es","none","print_native","","","0.0","2013-03-11"
"41685","http://www.diario-extra.com/","diario-extra","ECU","EC-G","es","United States","print_native","","","3.79","2016-07-25"
"58118","http://www.nacion.com/","www.nacion.com","CRI","CR-SJ","es","none","print_native","","","21.16","2013-04-29"
"61911","http://teleamazonas.com/","teleamazonas.com","ECU","","es","United States","video_broadcast","","","4.52","2015-06-15"
"62227","http://eltiempo.com.ec/","eltiempo.com.ec","ECU","EC-A","es","Republic of Ecuador","print_native","","","0.0","2013-05-06"
"63928","http://ecuadorinmediato.com/","ecuadorinmediato.com","ECU","","es","none","digital_native","","","0.0","2013-05-06"
"64338","http://expreso.ec/","expreso.ec","ECU","EC-G","es","Republic of Ecuador","print_native","","","5.74","2016-09-19"
"65287","http://hoy.com.ec/","hoy.com.ec","ECU","EC-P","es","none","print_native","","","0.0","2013-05-06"
"66542","http://cre.com.ec/","cre.com.ec","ECU","","es","none","video_broadcast","","","0.72","2013-05-06"
"70861","http://www.elcomercio.com/#spider","elcomercio.com","ECU","EC-P","es","none","print_native","","","6.27","2017-10-30"
"245713","http://telegrafo.com.ec/","telegrafo.com.ec","ECU","EC-G","es","United States","print_native","","","2.02","2018-01-01"
"282597","http://eldiario.ec/","eldiario.ec","ECU","EC-M","es","none","print_native","","","2.38","2016-12-26"
"325401","http://ecuadorenvivo.com/","ecuadorenvivo.com","ECU","","es","none","digital_native","","","0.0","2016-12-26"
"327282","http://tctelevision.com/","tctelevision.com","ECU","","es","none","video_broadcast","","","0.0","2017-01-09"
"328442","http://diariopinion.com/","diariopinion.com","ECU","EC-O","es","Republic of Ecuador","print_native","","","0.0","2016-06-20"
"328840","http://vistazo.com/","vistazo.com","ECU","","es","none","print_native","","","0.0","2016-12-26"
"330867","http://rts.com.ec/","rts.com.ec","ECU","","es","none","video_broadcast","","","0.01","2017-02-06"
"334232","http://gamatv.com.ec/","gamatv.com.ec","ECU","","es","none","video_broadcast","","","0.0","2017-01-16"
"344941","http://estadio.ec/","estadio.ec","ECU","","es","none","print_native","","","0.0","2016-12-26"
"349420","http://telerama.ec/","telerama.ec","ECU","","es","Provincia de Pichincha","video_broadcast","","","0.0","2018-02-05"
"353895","http://metroecuador.com.ec/","metroecuador.com.ec","ECU","","es","none","digital_native","","","0.0","2019-06-03"
"356737","http://ultimasnoticias.ec/","ultimasnoticias.ec","ECU","EC-P","es","none","print_native","","","0.32","2016-12-26"
"360276","http://latarde.com.ec/","latarde.com.ec","ECU","EC-A","es","Republic of Ecuador","print_native","","","0.01","2017-11-27"
"361236","http://www.radiosucre.com.ec/","http://www.radiosucre.com.ec/","ECU","","es","none","video_broadcast","","","0.46","2017-01-16"
"361237","http://www.ecuadortransparente.com/","Noticias del Ecuador - Ecuador Transparente - Las Ultimas Noticias - Noticias en vivo - Un Universo de información","ECU","","es","none","digital_native","","","0.0","2016-12-26"
"361412","http://www.lavozdeltomebamba.com/","La voz del tomebamba > Home","ECU","EC-A","es","none","video_broadcast","","","0.41","2019-04-22"
"361416","http://www.laprensa.com.ec/","Diario La Prensa Riobamba - Ecuador","ECU","EC-H","none","Calabarzon","print_native","","","0.52","2017-10-30"
"361417","http://www.diariolosandes.com.ec/","Diario Regional Los Andes","ECU","EC-H","es","none","print_native","","","0.49","2018-07-16"
"361418","http://www.radio-mundial.com/","Radio Mundial - Riobamba Ecuador Noticias Deportes - 96.1 FM 910 AM","ECU","EC-H","es","","video_broadcast","","","0.26","2012-11-05"
"361419","http://www.lagaceta.com.ec/","La Gaceta","URY","EC-X","es","none","print_native","","","1.04","2017-01-09"
"361420","http://www.diariocorreo.com.ec/","Diario Correo | El Diario de todos","ECU","EC-O","es","none","print_native","","","0.0","2018-04-09"
"361423","http://www.radiocentro.com.ec/online/","Radio Centro Ecuador — 101.3 FM","ECU","EC-G","es","none","video_broadcast","","","0.0","2016-12-26"
"361424","http://www.super.com.ec/","Super - VirtualNEWSPAPER","ECU","EC-G","es","Estado de Michoacán de Ocampo","print_native","","","0.0","2016-12-26"
"361425","http://www.prensalaverdad.com/","prensalaverdad.com","ECU","EC-G","es","none","print_native","","","0.0","2016-12-26"
"361426","http://www.elnorte.ec/","INICIO","ARG","AR-B","es","none","print_native","","","0.83","2019-04-15"
"361428","http://www.cronica.com.ec/","Diario Cronica Loja - Ecuador | Noticias de Loja - Cronica de Loja","ECU","EC-L","es","","print_native","","","0.81","2020-10-12"
"361429","http://www.fbradiobahia.com/",".:: FB Radio - Bahía de Caráquez :: Ecuador ::.","ECU","EC-M","es","none","video_broadcast","","","0.01","2018-06-04"
"361430","http://www.elmercurio-manta.com/","Diario El Mercurio Decano de la Prensa Manabita – Noticias Manabi, Noticias de Manta, Noticias de Ecuador y El mundo","ECU","EC-M","none","none","print_native","","","0.0","2016-11-14"
"361431","http://www.eldiario.ec/lamarea/","Navidad 2016 | Tragedia aérea de Chapecoense | Diario La Marea","ECU","EC-M","es","none","print_native","","","1.81","2017-01-16"
"361432","http://www.capitaltelevision.ec/","Capital Televisión - La señal de Manabí -","ECU","EC-M","es","","video_broadcast","","","0.0","2014-09-29"
"361433","https://www.pastazaaldia.org/","Pastazaaldia.com","ECU","EC-Y","es","none","digital_native","","","0.14","2018-05-14"
"361434","http://www.puyogaceta.com/","PUYOGACETA - PERIODICO DIGITAL","ECU","EC-Y","none","Isfahan","digital_native","","","0.01","2017-02-06"
"361435","http://www.elpopular.com.ec/","El Popular","ECU","EC-P","","","print_native","","","0.0","2016-10-03"
"361437","http://www.eldiario.ec/centro/","Tragedia aérea de Chapecoense | Barcelona Campeón 2016 | Diario Centro","ECU","","es","none","print_native","","","1.78","2017-04-17"
"361439","http://www.elheraldo.com.ec/","El Heraldo - Ambato","ECU","EC-T","es","Republic of Ecuador","print_native","","","0.93","2018-06-11"
"623559","https://www.cosas.com.ec/","Cosas","ECU","","es","Republic of Ecuador","print_native","","","0.18","2018-06-04"
"655672","http://www.semanariolaverdad.com/","Verdad Latinoamericana","ECU","","es","Republic of Ecuador","digital_native","","","0.0","2017-12-04"
"1383534","http://meridiano.net/","meridiano.net","","","","","","","","3.64","2020-10-12"
"1713970","http://www.super.com.ec/talleres/","Estándares de planificación de trabajo en clase | Super - Diario Familiar","","","","","","","","0.0","2020-10-12"
"1713971","https://www.ppelverdadero.com.ec/","PP El Verdadero","","","","","","","","0.43","2020-05-25"
"1713972","https://www.laverdad.ec/","La Verdad","","","","","","","","1.66","2020-09-21"
"1713973","https://elobservador.ec/","El Observador - Noticias de Puyo-Pastaza, Tena-Napo y Macas-Morona Santiago. Periodismo independiente por el desarrollo de la Re","","","","","","","","0.38","2020-10-05"
"1713974","https://www.elcorreo.com/?ref=https:%2F%2Fwww.elcorreo.com%2F","elcorreo.com | Bizkaia | diario con las últimas noticias, fotos y vídeos de Bizkaia","","","","","","","","35.51","2020-10-12"
