media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39980","http://www.congopage.com/","congopage","COG","","fr","Democratic Republic of the Congo","digital_native","","","0.12","2013-05-20"
"40173","http://www.congo-site.com/","congo-site","COG","","fr","Commune de Brazzaville","digital_native","","","0.0","2013-03-11"
"539348","http://zenga-mambu.com/","zenga-mambu.com","COG","","fr","Democratic Republic of the Congo","digital_native","","","0.0","2017-11-13"
"607173","http://lasemaineafricaine.net/","lasemaineafricaine.net","COG","CG-BZV","fr","none","print_native","","","0.0","2017-12-04"
"623560","http://www.lesdepechesdebrazzaville.fr/","Les Depeches de Brazzaville","COG","CG-BZV","none","none","print_native","","","0.12","2017-10-30"
"623561","http://www.adiac-congo.com/","Agence d'Information d'Afrique Centrale","COG","","none","none","other","","","0.0","2017-10-30"
"655403","http://congo-liberty.com/","Congo Liberty","COG","","fr","Democratic Republic of the Congo","digital_native","","","0.0","2017-11-27"
"655404","http://www.dac-presse.com/","DAC","COG","","fr","Commune de Brazzaville","digital_native","","","0.21","2017-11-27"
"655405","http://www.journaldebrazza.com/","Journal de Brazza","COG","","fr","United States","digital_native","","","1.17","2018-01-15"
"655406","http://www.starducongo.com/","Star du Congo","COG","","fr","none","digital_native","","","0.0","2017-12-04"
