media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"19197","http://www.theage.com.au","The Age","AUS","AU-VIC","","","print_native","","","18.56","2014-02-24"
"19320","http://www.smh.com.au","Sydney Morning Herald","AUS","AU-NSW","en","Commonwealth of Australia","print_native","","","18.11","2014-02-24"
"20775","http://www.abc.net.au","Australian Broadcast Company (ABC)","AUS","","en","Commonwealth of Australia","video_broadcast","","","11.74","2017-10-09"
"26782","http://www.theaustralian.com.au","The Australian","AUS","AU-NSW","en","none","print_native","","","0.18","2016-08-15"
"41636","http://www.radioaustralia.net.au/international/","Radio Australia","AUS","","en","none","video_broadcast","","","0.47","2014-02-03"
"41783","http://www.radioaustralia.net.au/khmer/","radioaustralianews-km","AUS","","en","Pacific","video_broadcast","","","0.47","2014-02-03"
"41991","http://www.news.com.au/","News.com.au","AUS","","en","Commonwealth of Australia","digital_native","","","0.0","2013-05-27"
"42074","http://www.alankabout.com/","alankabout","AUS","","ar","none","digital_native","","","0.0","2013-03-25"
"55531","http://greenleft.org.au/","Green Left Weekly","","","en","none","","","","0.67","2013-07-15"
"58511","http://newmatilda.com/","New Matilda","AUS","","en","Commonwealth of Australia","digital_native","","","0.0","2013-05-06"
"66094","https://www.crikey.com.au/","Crickey","AUS","","en","Commonwealth of Australia","digital_native","","","1.99","2013-05-06"
"67260","http://www.afr.com/#spider","The Australian Financial Review (AFR)","AUS","AU-VIC","en","none","print_native","","","0.0","2016-10-03"
"67698","http://www.jewishnews.net.au/#spider","jewishnews.net.au","AUS","","en","Commonwealth of Australia","print_native","","","1.51","2019-10-21"
"68066","http://www.skynews.com.au/#spider","Sky News Australia","AUS","","en","Commonwealth of Australia","video_broadcast","","","7.77","2016-10-10"
"68328","https://www.9news.com.au/","9 News","AUS","","en","Commonwealth of Australia","video_broadcast","","","2.94","2018-05-07"
"68778","http://www.dailytelegraph.com.au/#spider","Daily Telegraph Australia","AUS","AU-NSW","en","Commonwealth of Australia","print_native","","","0.63","2017-04-03"
"69856","http://www.sbs.com.au/#spider","SBS ","AUS","","","","video_broadcast","","","0.0","2019-04-15"
"70879","http://www.themonthly.com.au/#spider","The Monthly","AUS","","en","Commonwealth of Australia","print_native","","","0.19","2013-06-24"
"70899","http://www.businessinsider.com.au/#spider","Business Insider Australia","AUS","","en","United States","","","","9.31","2018-05-07"
"73040","http://www.independentaustralia.net/#spider","Independent Australia","","","en","Commonwealth of Australia","","","","1.39","2016-12-05"
"96415","http://www.newdawnmagazine.com/#spider","New Dawn Magazine","AUS","","en","United States","print_native","","","0.06","2014-12-01"
"108533","http://foxsports.com.au/","Fox Sports Australia","AUS","","en","Commonwealth of Australia","video_broadcast","","","17.91","2016-08-15"
"111515","http://tradingroom.com.au/","tradingroom.com.au","AUS","","en","Commonwealth of Australia","digital_native","","","0.0","2016-10-10"
"138480","http://newsweekly.com.au/","Newsweekly ","AUS","","en","Commonwealth of Australia","print_native","","","0.26","2016-10-10"
"144615","http://thesaturdaypaper.com.au/","The Saturday Paper","AUS","","en","Commonwealth of Australia","print_native","","","0.17","2014-05-26"
"157895","http://theaimn.com/","The Australian Independent Media Network (AIMN)","AUS","","en","Commonwealth of Australia","digital_native","","","0.42","2017-04-03"
"176915","http://theroar.com.au/","The Roar","AUS","","en","Commonwealth of Australia","digital_native","","","1.39","2018-05-07"
"183376","http://tenplay.com.au/","TenPlay","AUS","","en","Commonwealth of Australia","video_broadcast","","","0.0","2017-01-16"
"211931","http://redflag.org.au/","Red Flag","","","en","Commonwealth of Australia","","","","0.01","2018-04-30"
"222238","http://brw.com.au/","brw.com.au","AUS","","en","Commonwealth of Australia","print_native","","","0.0","2016-10-10"
"245009","https://quarterlyessay.com/","Quarterly Essay","AUS","","","","print_native","","","0.0","2013-07-01"
"245844","http://weeklytimesnow.com.au/","The Weekly Times","AUS","AU-VIC","en","none","print_native","","","0.02","2017-12-04"
"254168","http://thenewdaily.com.au/","The New Daily","AUS","","en","Commonwealth of Australia","digital_native","","","3.19","2017-11-06"
"269650","http://huffingtonpost.com.au/","Huffington Post AU","","","","","","","","0.0","2017-04-03"
"291620","http://ibtimes.com.au/","International Business Times AU","AUS","","en","none","digital_native","","","4.63","2020-05-11"
"299930","http://australian-news.net/","Australian News Commentary","AUS","","en","England","digital_native","","","0.0","2016-10-10"
"300111","http://www.aap.com.au/","AAP","AUS","","en","none","other","","","1.38","2020-02-10"
"300113","http://www.abc.net.au/newsradio/","ABC NewsRadio - Breaking Australian News stories","AUS","","en","none","video_broadcast","","","0.01","2016-10-10"
"300164","http://www.australianherald.com/","Australian Herald: Breaking News from Australia Online","AUS","","en","none","digital_native","","","2.33","2016-08-22"
"300165","http://www.australiannews.net/","Australian News.Net: Daily Australian, World & Business News","AUS","","en","none","digital_native","","","2.44","2016-08-22"
"300211","http://www.businessreviewaustralia.com/","Business Review Australia ","AUS","","en","Commonwealth of Australia","digital_native","","","0.0","2011-04-25"
"300230","http://www.chaser.com.au/","The Chaser","AUS","","en","Commonwealth of Australia","print_native","","","0.34","2018-01-15"
"300303","http://www.hotheadlines.com.au/","Hot Headlines | Australia","AUS","","en","","digital_native","","","0.0","2015-12-28"
"326358","http://theshovel.com.au/","The Shovel","AUS","","en","Commonwealth of Australia","digital_native","","","0.48","2018-04-16"
"360379","http://campusreview.com.au/","Campus Review","","","en","Commonwealth of Australia","","","","0.16","2018-04-30"
"384979","https://www.theguardian.com/au","The Guardian AU","AUS","","en","none","print_native","","","12.16","2017-04-03"
"384980","https://theconversation.com/au","The Conversation Australia","AUS","","en","none","digital_native","","","0.88","2018-02-26"
"623562","http://www.abc.net.au/news/rural/","ABC Rural","AUS","","en","Commonwealth of Australia","video_broadcast","","","11.07","2017-05-08"
"623566","http://www.radioaustralia.net.au/tokpisin/","Radio Australia - Australia (Tok Pisin)","AUS","","en","Commonwealth of Australia","video_broadcast","","","6.16","2019-04-08"
"623567","http://www.afr.com/asset","Asset","AUS","","en","","print_native","","","0.0","2018-04-16"
"653040","http://koorimail.com/","Koori Mail","AUS","AU-NSW","en","Commonwealth of Australia","print_native","","","0.71","2021-06-14"
"653133","http://highfieldsvillage.com.au/community/high-country-news/","Highfields 
County News","AUS","AU-QLD","","","print_native","","","0.0","2014-09-01"
"686788","http://farmonline.com.au/","Farm Online","AUS","","en","Commonwealth of Australia","digital_native","","","1.0","2018-05-07"
"765519","http://australiabusinessnews.com.au/","Australia Business News","AUS","","en","Commonwealth of Australia","digital_native","","","0.03","2018-03-12"
"765520","http://www.dailymail.co.uk/auhome/index.html","Daily Mail Australia","","","en","none","","","","1.86","2018-05-07"
"765521","https://www.businessnewsaus.com.au/","Business News Australia","","","en","Commonwealth of Australia","","","","0.91","2018-04-16"
"765522","http://www.sportingnews.com/au","Sporting News","AUS","","en","none","digital_native","","","6.26","2018-04-30"
"765523","https://www.sportsnews.com.au/","Sports News Australia","","","en","Commonwealth of Australia","","","","1.43","2018-05-07"
"765524","http://tribune-intl.com/","Tribune International (Australia)","","","en","Commonwealth of Australia","","","","0.24","2018-01-01"
"765525","https://www.australianforeignaffairs.com/","Australian Foreign Affairs","AUS","","","","digital_native","","","0.0","2019-02-04"
"765526","https://anz.businesschief.com/","Business Chief Australia","","","en","Commonwealth of Australia","","","","0.01","2011-04-25"
"1702101","https://nichigopress.jp/","NICHIGO PRESS | 日豪プレスが運営するオーストラリア生活総合情報サイト | NICHIGO PRESS | 日豪プレスが運営するオーストラリア生活総合情報サイト","","","","","","","","0.02","2020-10-26"
