media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"7325","http://presstv.com","Press TV","IRN","","en","none","video_broadcast","","","0.0","2016-08-15"
"39019","http://tehrantimes.com/","tehrantimes","IRN","IR-07","en","Islamic Republic of Iran","print_native","","","2.86","2013-03-11"
"39125","http://turkish.farsnews.com/","farsnews-tr","IRN","","tr","Islamic Republic of Iran","other","","","0.0","2013-03-11"
"39346","http://www.iran-newspaper.com","iran-newspaper","IRN","IR-07","fa","none","print_native","","","0.0","2018-01-01"
"39453","http://www.hamshahrionline.ir/","hamshahrionline","IRN","IR-07","fa","none","print_native","","","19.54","2013-03-25"
"39472","http://arabic.farsnews.com/","farsnews-ar","IRN","","ar","none","other","","","0.0","2013-03-11"
"39531","http://www.tabnak.ir/","tabnak","IRN","","fa","none","digital_native","","","51.3","2013-03-11"
"39978","http://www.khorasannews.com/","khorasannews","IRN","","fa","none","print_native","","","5.03","2013-03-11"
"40707","http://www.iran-daily.com/","iran-daily","IRN","IR-07","en","none","print_native","","","0.0","2013-04-01"
"41058","http://www.jamejamonline.ir/","jamejamonline","IRN","IR-07","fa","none","print_native","","","10.41","2013-06-24"
"41805","http://www.abrarnews.com/","abrarnews","IRN","","fa","none","print_native","","","0.0","2013-05-27"
"55995","http://irna.ir/","irna.ir","IRN","","fa","Kingdom of Saudi Arabia","other","","","46.39","2018-01-01"
"56938","http://kaleme.com/","kaleme.com","","","fa","none","","","","0.0","2013-04-29"
"57090","http://payvand.com/","payvand.com","IRN","","en","Islamic Republic of Iran","digital_native","","","0.0","2018-03-19"
"57153","http://news.gooya.com/","news.gooya.com","IRN","","fa","Islamic Republic of Iran","digital_native","","","2.34","2018-08-27"
"59781","http://farsnews.com/","farsnews.com","IRN","","fa","Tehrān","other","","","0.0","2017-10-30"
"61737","http://iranian.com/","iranian.com","IRN","","en","none","digital_native","","","0.0","2013-05-06"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"63978","http://mehrnews.com/","mehrnews.com","IRN","","fa","none","other","","","53.7","2013-05-06"
"66075","http://radiofarda.com/","radiofarda.com","IRN","","fa","Islamic Republic of Iran","video_broadcast","","","4.84","2013-05-06"
"72361","http://english.farsnews.com/#spider","english.farsnews.com","IRN","","en","Tehrān","other","","","0.0","2017-10-16"
"77357","https://www.irib.ir/English/","irib.ir/english","IRN","","en","none","video_broadcast","","","0.0","2011-05-02"
"85055","http://www.parstimes.com/#spider","parstimes.com","IRN","","en","Islamic Republic of Iran","digital_native","","","0.0","2018-07-16"
"92052","http://www.khabaronline.ir/#spider","khabaronline.ir","IRN","","fa","none","digital_native","","","51.53","2017-11-06"
"109413","http://etemaad.ir/","etemaad.ir","IRN","IR-07","fa","none","print_native","","","3.2","2015-03-30"
"109459","http://tasnimnews.com/","tasnimnews.com","IRN","","fa","none","other","","","38.68","2017-10-30"
"110109","http://kayhan.ir/","kayhan.ir","IRN","IR-07","fa","Palestine","print_native","","","3.48","2018-06-18"
"110255","http://mfa.gov.ir/","mfa.gov.ir","IRN","","fa","","digital_native","","","0.0","2018-04-16"
"117131","http://irib.ir/","irib.ir","IRN","","fa","Islamic Republic of Iran","video_broadcast","","","0.0","2017-10-30"
"119193","http://www.irna.ir/en/","irna.ir/en","IRN","","en","Islamic Republic of Iran","other","","","2.3","2018-06-18"
"119651","http://isna.ir/","isna.ir","IRN","","fa","none","other","","","46.53","2017-11-06"
"125748","http://alef.ir/","alef.ir","IRN","","fa","none","digital_native","","","8.86","2017-11-06"
"158378","http://en.mehrnews.com/","en.mehrnews.com","IRN","","en","Islamic Republic of Iran","other","","","3.37","2016-08-15"
"217306","http://vatanemrooz.ir/","vatanemrooz.ir","IRN","IR-07","fa","none","print_native","","","2.13","2018-01-01"
"217441","http://donya-e-eqtesad.com/","donya-e-eqtesad.com","IRN","IR-07","fa","none","print_native","","","12.17","2017-12-04"
"217746","http://financialtribune.com/","financialtribune.com","IRN","IR-07","en","none","print_native","","","0.0","2017-12-04"
"218082","http://armandaily.ir/","armandaily.ir","IRN","IR-07","fa","none","print_native","","","0.01","2017-12-11"
"263954","http://irinn.ir/","irinn.ir","IRN","","fa","none","video_broadcast","","","80.5","2017-11-06"
"299965","http://en.mfa.ir/","Ministry of Foreign Affairs Islamic Republic of IRAN","IRN","","en","none","digital_native","","","0.0","2016-10-10"
"300004","http://iranfrontpage.com/","IFP News » Coverage and Views from Iranian Media Today","IRN","","en","Islamic Republic of Iran","digital_native","","","1.51","2016-08-08"
"300012","http://kayhan.ir/en","kayhan.ir | Mobile version","IRN","IR-07","en","none","print_native","","","3.06","2018-06-18"
"300081","http://tehrantelegram.com/index.php?lang=en","Tehran Telegram","IRN","","en","Islamic Republic of Iran","digital_native","","","0.0","2016-10-10"
