media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38740","http://lnr-dz.com/","lnr-dz","DZA","DZ-16","fr","none","print_native","","","0.11","2013-04-01"
"38836","http://www.lemidi-dz.com/","lemidi-dz","DZA","DZ-16","fr","none","print_native","","","0.0","2013-04-08"
"38954","http://www.lemaghrebdz.com/","lemaghrebdz","DZA","DZ-16","fr","none","print_native","","","0.01","2013-07-15"
"38992","http://www.lematindz.net/","lematindz","DZA","","fr","none","digital_native","","","0.0","2013-03-11"
"39202","http://www.depechedekabylie.com/","depechedekabylie","DZA","DZ-15","fr","People’s Democratic Republic of Algeria","print_native","","","0.0","2015-01-19"
"40048","http://www.lequotidien-oran.com/","lequotidien-oran","DZA","DZ-31","fr","People’s Democratic Republic of Algeria","print_native","","","0.0","2013-07-15"
"40140","http://www.liberte-algerie.com/","liberte-algerie","DZA","DZ-16","fr","none","print_native","","","0.22","2018-05-07"
"40341","http://www.aps.dz/","aps-dz","DZA","","none","none","other","","","0.0","2013-05-20"
"40381","http://www.elwaha-dz.com/","elwaha-dz","DZA","DZ-47","ar","none","print_native","","","0.12","2014-07-21"
"40509","http://www.lesoirdalgerie.com/","lesoirdalgerie","DZA","DZ-16","fr","Republic of France","print_native","","","2.66","2018-05-07"
"40533","http://www.infosoir.com/","infosoir","DZA","DZ-16","fr","Republic of France","print_native","","","0.12","2013-05-20"
"41210","http://www.echoroukonline.com/ara/","ech-chorouk-ar","DZA","DZ-16","ar","People’s Democratic Republic of Algeria","print_native","","","3.98","2013-03-18"
"41218","http://www.entv.dz/tvfr/","ENTV-fr","DZA","","fr","none","video_broadcast","","","0.0","2020-03-23"
"41243","http://www.elwatan.com/","elwatan","DZA","DZ-16","fr","none","print_native","","","0.01","2013-03-04"
"41253","http://www.lexpressiondz.com/","lexpressiondz","DZA","DZ-16","fr","none","print_native","","","0.0","2013-03-18"
"41486","http://www.ennaharonline.com/ar/","al-nahar","DZA","DZ-16","ar","none","print_native","","","0.0","2013-03-18"
"42159","http://www.lejourdalgerie.com/","lejourdalgerie","DZA","DZ-16","fr","none","print_native","","","1.0","2018-05-07"
"58678","http://lequotidienalgerie.org/","lequotidienalgerie.org","DZA","","fr","none","digital_native","","","0.16","2013-04-29"
"63018","http://algerie-focus.com/","algerie-focus.com","DZA","","fr","none","digital_native","","","0.8","2013-05-13"
"65212","http://ennaharonline.com/","ennaharonline.com","DZA","DZ-16","ar","none","print_native","","","0.0","2013-05-06"
"66934","http://www.almasreyeenalahrrar.org","الرئيسية","DZA","DZ-16","ar","none","print_native","","","0.0","2015-11-09"
"98441","http://www.elkhabar.com/#spider","elkhabar.com","DZA","DZ-16","ar","none","print_native","","","8.27","2017-10-30"
"258182","http://tsa-algerie.com/","tsa-algerie.com","DZA","","fr","none","digital_native","","","0.0","2018-03-05"
"299922","http://algeriatimes.info/index.php?lang=en","Algeria Times","DZA","","en","","digital_native","","","0.0","2017-08-14"
"300114","http://www.aboutalgeria.com/","About Algeria","DZA","","en","People’s Democratic Republic of Algeria","digital_native","","","0.0","2014-04-07"
"300127","http://www.algeriabusinessinfo.com/index.php?lang=en","Algeria Business Info","DZA","","en","none","digital_native","","","0.0","2016-10-10"
"300129","http://www.algeria-watch.org/index_en.htm","Algeria-Watch: Information on the Human Rights Situation in Algeria","DZA","","en","People’s Democratic Republic of Algeria","digital_native","","","0.0","2018-11-26"
"300155","http://www.aps.dz/en/","ALGERIA PRESS SERVICE | Home page","DZA","","en","People’s Democratic Republic of Algeria","other","","","0.0","2016-08-15"
"300257","http://www.echoroukonline.com/ara/english/index.1.html","English","DZA","DZ-16","ar","none","print_native","","","0.0","2016-08-15"
"300261","http://www.elmoudjahid.com/en","El MOUDJAHID.COM : Daily National Information","DZA","DZ-16","en","none","print_native","","","0.0","2016-08-08"
"331664","http://oranais.com/","oranais.com","DZA","DZ-31","fr","none","digital_native","","","0.11","2018-01-01"
"339597","http://algerie360.com/","algerie360.com","DZA","","fr","none","digital_native","","","1.74","2017-11-06"
"357185","http://tamurt.info/","tamurt.info","DZA","DZ-15","fr","Washington","digital_native","","","0.22","2017-12-04"
"358488","http://algerie1.com/","algerie1.com","DZA","","fr","none","digital_native","","","0.0","2016-12-12"
"558567","http://algeriepatriotique.com/","algeriepatriotique.com","DZA","","fr","Republic of France","digital_native","","","0.53","2017-11-06"
"623582","http://www.radioalgerie.dz/ar/","Radio Algerienne - Algeria (Arabic)","DZA","","ar","none","video_broadcast","","","0.0","2017-11-06"
"623583","http://www.radioalgerie.dz/fr/","Radio Algerienne - Algeria (French)","DZA","","fr","none","video_broadcast","","","0.0","2017-11-06"
"623584","http://www.entv.dz/tvar/","Television Algerienne - Algeria (Arabic)","DZA","","ar","none","video_broadcast","","","1.43","2020-05-11"
"623585","http://www.algerep.com/","Alger Republicain - Algeria (Arabic)","DZA","","ar","none","digital_native","","","0.0","2017-10-30"
"623586","http://www.alger-republicain.com/","Alger Republicain - Algeria (French)","DZA","","fr","none","digital_native","","","0.06","2017-09-18"
"623587","http://www.algeriatimes.net/","Algeria Times - Algeria (Arabic)","DZA","","none","United States","digital_native","","","1.72","2017-10-30"
"623588","http://www.algeria-watch.org/francais.htm","Algeria Watch - Algeria (French)","DZA","","fr","none","digital_native","","","0.01","2019-03-18"
"623589","http://algerienetwork.com/","Algerie Network","DZA","","fr","none","digital_native","","","0.01","2016-08-08"
"623590","http://www.djazairess.com/","Djazairess - Algeria (Arabic)","DZA","","ar","none","digital_native","","","10.72","2018-05-07"
"623591","http://www.djazairess.com/fr","Djazairess - Algeria (French)","DZA","","fr","none","digital_native","","","4.21","2017-10-30"
"623592","http://www.dzfoot.com/","DZ Foot","DZA","","fr","Republic of France","digital_native","","","0.73","2017-11-06"
"623593","http://www.impact24.info/","Impact 24","DZA","","fr","none","digital_native","","","0.01","2017-10-23"
"623594","http://www.livenewsalgerie.com/","Live News Algerie","DZA","","fr","none","digital_native","","","0.0","2016-06-20"
"623595","http://www.numidianewstv.com/","Nu Midia News","DZA","","fr","none","digital_native","","","0.0","2018-05-07"
"623596","http://www.eldjazaircom.dz/","El Djazair","DZA","","fr","none","print_native","","","0.0","2017-10-23"
"623597","http://www.actuel-dz.com/","L'Actuel","DZA","","fr","","print_native","","","0.0","2020-03-23"
"623598","http://www.ech-chaab.com/","Ech Chaab","DZA","DZ-16","","","print_native","","","0.0","2018-04-16"
"623599","http://www.echoroukonline.com/ara/francais/index.1.html","Ech Chorouk El Youmi - Algeria (French)","DZA","DZ-16","ar","none","print_native","","","0.0","2017-11-06"
"623600","http://www.elmoudjahid.com/ar","El Moudjahid - Algeria (Arabic)","DZA","DZ-16","fr","none","print_native","","","0.0","2017-10-30"
"623601","http://www.elmoudjahid.com/","El Moudjahid - Algeria (French)","DZA","DZ-16","fr","none","print_native","","","0.0","2018-04-16"
"623602","http://www.elmoudjahid.com/es","El Moudjahid - Algeria (Spanish)","DZA","DZ-16","fr","none","print_native","","","0.0","2017-10-23"
"623603","http://www.joradp.dz/HAR/Index.htm","Journal Officiel - Algeria (Arabic)","DZA","","fr","none","print_native","","","0.0","2017-10-30"
"623604","http://www.joradp.dz/HFR/Index.htm","Journal Officiel - Algeria (French)","DZA","","fr","none","print_native","","","0.0","2018-05-07"
"623606","http://www.newpressphoto.com/","New Press Algerie","DZA","","fr","","other","","","0.0","2018-07-30"
"651114","http://el-youm.info/","El Youm","DZA","DZ-16","","","print_native","","","0.0","2017-07-03"
"651116","http://www.aps.dz/ar/","Algerie Presse Service (Arabic)","DZA","","ar","none","other","","","0.0","2019-04-08"
"651119","http://www.competition.dz/","Competition","DZA","DZ-16","","","print_native","","","0.0","2017-12-04"
"651120","http://www.derbypresse.dz/","Derby","DZA","DZ-16","fr","none","print_native","","","0.66","2017-12-18"
"651121","http://www.dknews-dz.com/","DK News","DZA","DZ-16","fr","none","print_native","","","1.72","2018-05-07"
"651122","http://www.elahdath.net/","El Ahdath","DZA","DZ-16","ar","","print_native","","","0.0","2017-03-06"
"651124","http://www.elbilad.net/","El Bilad","DZA","DZ-16","none","none","print_native","","","2.56","2021-11-22"
"651126","http://www.elheddaf.com/","El Heddaf","DZA","DZ-16","ar","none","print_native","","","0.0","2018-05-07"
"651127","http://www.el-massa.com/","El Massa","DZA","DZ-16","","","print_native","","","0.0","2015-08-03"
"651128","http://elmassar-ar.com/","El Massar El Arabi","DZA","DZ-16","ar","none","print_native","","","0.0","2017-12-04"
"651130","http://elraaed.com/","El Raaed","DZA","DZ-16","ar","none","print_native","","","0.06","2017-12-04"
"651131","http://www.elwassat.com/","El Wassat","DZA","DZ-16","ar","none","print_native","","","0.0","2020-03-23"
"651132","http://elwatani.com/","El Watani","DZA","DZ-16","en","United States","print_native","","","0.01","2019-05-20"
"651133","http://www.ennaharonline.com/en/","Ennahar El Jadid (English)","DZA","DZ-16","ar","none","print_native","","","0.0","2017-12-04"
"651138","http://www.lautomarche.com/","L'Auto Marche","DZA","DZ-16","fr","none","print_native","","","0.07","2017-11-20"
"651139","http://www.lebuteur.com/","Le Buteur","DZA","DZ-16","fr","Republic of France","print_native","","","0.28","2018-05-07"
"651141","http://lecitoyendz.com/","Le Citoyen","DZA","DZ-16","fr","","print_native","","","0.0","2021-03-22"
"651142","http://lecourrier-dalgerie.com/","Le Courrier d'Algerie","DZA","DZ-16","fr","","print_native","","","0.0","2018-08-13"
"651146","http://www.letempsdz.com/","Le Temps d'Algerie","DZA","DZ-16","fr","","print_native","","","0.02","2017-05-08"
"651147","http://www.lesdebats.com/","Les Debats","DZA","DZ-16","fr","","print_native","","","0.86","2018-05-07"
"651148","http://www.planetesport.dz/","Planete Sport","DZA","DZ-16","fr","none","print_native","","","0.0","2020-03-09"
"651149","http://www.reporters.dz/","Reporters","DZA","DZ-16","fr","none","print_native","","","0.0","2017-12-11"
"651151","http://www.tribunelecteurs.com/","Tribune des Lecteurs","DZA","DZ-16","fr","none","print_native","","","0.0","2017-12-04"
"651152","http://wakteldjazair.com/","Waqt El Djazair","DZA","DZ-16","ar","none","print_native","","","0.0","2017-12-04"
"651153","http://akhbarachark.dz/","Akhbar Achark","DZA","DZ-23","ar","none","print_native","","","0.17","2017-12-04"
"651154","http://www.annabacity.net/","Annaba City","DZA","DZ-23","fr","none","digital_native","","","0.76","2019-01-14"
"651156","http://www.lestrepublicain.com/","L'Est Republicain - Algeria","DZA","DZ-23","fr","","print_native","","","0.0","2022-05-14"
"651161","http://www.bordj.info/","Bord Bou Arreridj Info (French)","DZA","DZ-34","fr","","digital_native","","","0.01","2017-09-18"
"651162","http://www.annasronline.com/","An Nasr","DZA","DZ-25","","","print_native","","","0.0","2014-08-11"
"651163","http://www.constantine-aps.dz/index-ar.php","Constantine APS (Arabic)","DZA","DZ-25","fr","none","other","","","0.0","2017-12-04"
"651165","http://www.elacil.com/","El Acil","DZA","DZ-25","fr","","print_native","","","0.0","2017-12-04"
"651167","http://www.lequotidiendeconstantine.com/","Le Quotidien de Constantine","DZA","DZ-25","fr","","print_native","","","0.0","2018-02-05"
