media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38725","http://www.laprensagrafica.com/","laprensagrafica","SLV","SV-SS","es","none","print_native","","","5.99","2013-03-11"
"40049","http://www.elsalvador.com/","elsalvador","SLV","SV-SS","es","United States","print_native","","","3.26","2016-09-12"
"41621","http://www.diariocolatino.com/","diariocolatino","SLV","SV-SS","es","none","print_native","","","1.22","2015-03-09"
"58083","http://elfaro.net/","elfaro.net","SLV","","es","none","digital_native","","","0.4","2013-04-29"
"105845","http://elblog.com/#spider","elblog.com","SLV","","es","none","digital_native","","","0.0","2016-11-28"
"116031","http://lapagina.com.sv/","lapagina.com.sv","SLV","","es","United States","digital_native","","","2.38","2016-12-26"
"116297","http://contrapunto.com.sv/","contrapunto.com.sv","SLV","","none","none","digital_native","","","0.73","2021-05-31"
"195484","http://diario1.com/","diario1.com","SLV","","es","none","digital_native","","","1.53","2017-10-30"
"287426","http://elmundo.sv/","elmundo.sv","SLV","SV-SS","es","United States","print_native","","","0.0","2018-10-15"
"331707","http://elmetropolitanodigital.com/","elmetropolitanodigital.com","SLV","","es","United States","digital_native","","","0.41","2017-10-30"
"332900","http://elsalvadornoticias.net/","elsalvadornoticias.net","SLV","","es","none","digital_native","","","0.0","2016-12-26"
"339262","http://mas.sv/","mas.sv","SLV","SV-SS","es","none","print_native","","","2.98","2018-06-04"
"345916","http://elpais.com.sv/","elpais.com.sv","SLV","SV-SA","es","Argentine Republic","print_native","","","0.21","2017-12-04"
"347055","http://verdaddigital.com/","verdaddigital.com","SLV","","es","none","digital_native","","","0.63","2019-06-03"
"353072","http://periodicoequilibrium.com/","periodicoequilibrium.com","SLV","","es","none","digital_native","","","0.31","2017-10-30"
"359459","http://diariolahuella.com/","diariolahuella.com","SLV","","es","United States","digital_native","","","1.66","2017-12-18"
"361239","http://www.canal12.com.sv/","El Salvador en vivo ¡Disfruta lo mejor de nuestra programación y conéctate a nuestra señal! - Canal 12","SLV","","es","none","video_broadcast","","","0.02","2018-01-08"
"361240","http://www.megavision.com.sv/","Grupo Megavisión - Tome El Control","SLV","","es","","video_broadcast","","","0.81","2021-06-07"
"361241","http://www.newsmillenium.com/","Noticias regionales como nacionales de El Salvador","SLV","","es","none","digital_native","","","0.51","2016-12-19"
"363625","http://elsalvadortimes.com/","elsalvadortimes.com","SLV","","es","none","digital_native","","","0.53","2017-11-06"
"552380","http://102nueve.com/","102nueve.com","SLV","SV-SS","es","United States","video_broadcast","","","0.54","2018-06-11"
"623607","http://cronio.sv/","Diario Digital Cronio","SLV","","es","Republic of El Salvador","digital_native","","","2.08","2018-06-11"
"623608","http://www.noticiaslagaceta.com/","La Gaceta - El Salvador","SLV","","es","none","digital_native","","","1.84","2019-09-09"
"624226","http://www.eldiariodehoy.com/","El Diario de Hoy - El Salvador (Spanish)","SLV","","es","United States","digital_native","","","0.0","2017-10-30"
"651285","http://www.elgrafico.com/","El Grafico - El Salvador","SLV","SV-SS","es","none","print_native","","","2.66","2015-12-07"
"655722","http://www.nuevaimagen.com.sv/","Nueva Imagen","SLV","SV-SS","es","none","print_native","","","0.12","2018-05-28"
"655723","http://www.radioyskl.com/","Radio YSKL","SLV","SV-SS","es","none","video_broadcast","","","1.1","2020-06-01"
"655724","http://www.salvadorcumple.com/","Salvador Cumple","SLV","SV-SS","es","","digital_native","","","0.02","2020-07-27"
"655725","http://elvicentino.com/","El Vicentino","SLV","SV-SV","es","none","digital_native","","","0.04","2017-11-20"
"655726","http://elcenit.com.sv/","El Cenit","SLV","SV-SA","es","Republic of El Salvador","digital_native","","","0.12","2017-11-27"
