media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38784","http://www.lidovky.cz/","lidovky","CZE","","cs","none","print_native","","","4.74","2013-03-11"
"38932","http://www.ceskenoviny.cz/","ceskenoviny","CZE","","cs","none","digital_native","","","9.58","2013-05-20"
"39169","http://www.praguemonitor.com/","praguemonitor","CZE","","en","Czech Republic","digital_native","","","0.11","2013-03-11"
"39216","http://respekt.ihned.cz/","respekt","CZE","","cs","none","print_native","","","1.76","2012-12-10"
"40092","http://pravo.novinky.cz/","Pravo","CZE","","cs","none","print_native","","","16.01","2013-05-20"
"40233","http://www.praguepost.com/","PraguePost","CZE","","en","Czech Republic","digital_native","","","0.13","2013-03-11"
"40312","http://www.ceskenoviny.cz/news/","ceskenoviny-en","CZE","","en","none","digital_native","","","9.57","2013-03-11"
"40350","http://www.parlamentnilisty.cz/","parlamentnilisty","CZE","","cs","none","digital_native","","","7.8","2013-03-18"
"40548","http://ekonom.ihned.cz/","ekonom","CZE","","cs","United States","print_native","","","6.6","2015-09-28"
"40556","http://ihned.cz/","ihned","CZE","","cs","none","print_native","","","6.48","2013-03-18"
"40935","http://www.ahasweb.cz/","ahasweb","CZE","","cs","","digital_native","","","0.0","2013-05-20"
"40948","http://www.novinky.cz/","novinky","CZE","","cs","none","digital_native","","","8.91","2013-03-18"
"41011","http://www.rozhlas.cz/portal/portal/","rozhlas-cz","CZE","","cs","none","video_broadcast","","","4.66","2013-03-18"
"41213","http://www.metro.cz/","metro","CZE","","cs","Czech Republic","print_native","","","1.37","2013-05-20"
"41268","http://www.denik.cz/","denik","CZE","","cs","none","digital_native","","","0.7","2013-05-20"
"41397","http://www.halonoviny.cz","halonoviny","CZE","","cs","none","print_native","","","0.0","2013-03-18"
"41533","http://www.blesk.cz/","blesk","CZE","","cs","none","print_native","","","6.48","2013-03-18"
"41881","http://www.ctk.cz/","ctk","CZE","","cs","none","other","","","0.12","2018-10-22"
"41943","http://www.tyden.cz","tyden","CZE","","cs","none","print_native","","","3.29","2013-03-11"
"42026","http://www.e15.cz/","e15","CZE","","cs","none","print_native","","","1.74","2013-03-18"
"42219","http://www.ceskatelevize.cz/","ceskatelevize","CZE","","cs","none","video_broadcast","","","15.02","2018-01-22"
"50556","http://blisty.cz/#spider","blisty.cz","CZE","","cs","none","other","","","1.74","2017-10-30"
"106314","http://idnes.cz/","idnes.cz","CZE","","cs","none","print_native","","","14.63","2017-11-06"
"106588","http://aktualne.cz/","aktualne.cz","CZE","","cs","none","digital_native","","","4.18","2017-11-06"
"280402","https://volny.cz/","volny.cz","CZE","","cs","","digital_native","","","0.0","2018-06-25"
"282310","http://tn.nova.cz/","tn.nova.cz","CZE","","cs","none","video_broadcast","","","4.5","2017-11-06"
"297736","http://archiv.ihned.cz/","archiv.ihned.cz","","","","","","","","1.89","2020-10-12"
"299631","http://ceskokrumlovsky.denik.cz/","ceskokrumlovsky.denik.cz","CZE","","cs","none","print_native","","","0.68","2017-12-04"
"299681","http://ceskobudejovicky.denik.cz/","ceskobudejovicky.denik.cz","CZE","","cs","none","print_native","","","0.81","2017-12-04"
"300233","http://www.cnie.cz/","Služby, firmy, e-shopy - Informace","CZE","","en","","digital_native","","","0.0","2016-04-11"
"300235","http://www.ctk.eu/","page | Czech News Agency (CTK)","CZE","","en","Czech Republic","other","","","0.0","2016-10-10"
"300237","http://www.czechjournal.cz/","The Czech Journal","CZE","","en","","digital_native","","","0.0","2016-01-11"
"300274","http://www.financninoviny.cz/english/","Ekonomika | ČeskéNoviny.cz","CZE","","en","none","digital_native","","","9.1","2016-08-08"
"300496","http://www.radio.cz/en/","Radio Prague - Český rohlas","CZE","","en","Czech Republic","video_broadcast","","","5.14","2016-08-01"
"341249","http://reflex.cz/","reflex.cz","CZE","","cs","none","print_native","","","1.18","2017-10-23"
"538026","http://trebicsky.denik.cz/","trebicsky.denik.cz","CZE","","cs","none","print_native","","","0.6","2017-11-27"
"623609","http://www.ceskatelevize.cz/teletext/ct/","Ceska Televize - Czech Republic (Czech)","CZE","","cs","none","video_broadcast","","","14.96","2018-06-04"
"623610","http://www.ceskatelevize.cz/ct24/","CT24","CZE","","cs","none","video_broadcast","","","6.92","2017-11-06"
"623611","http://www.radio.cz/cz/","Radio Praha - Czech Republic (Czech)","CZE","","cs","none","video_broadcast","","","2.66","2017-10-30"
"623612","http://www.radio.cz/de/","Radio Praha - Czech Republic (German)","CZE","","de","none","video_broadcast","","","2.46","2017-10-30"
"623613","http://www.radio.cz/fr/","Radio Praha - Czech Republic (French)","CZE","","fr","Czech Republic","video_broadcast","","","2.09","2017-10-30"
"623614","http://www.radio.cz/ru/","Radio Praha - Czech Republic (Russian)","CZE","","ru","none","video_broadcast","","","2.26","2017-10-30"
"623615","http://www.radio.cz/es/","Radio Praha - Czech Republic (Spanish)","CZE","","es","Czech Republic","video_broadcast","","","2.23","2017-10-30"
"623616","http://ceskapozice.lidovky.cz/","Ceska Pozice","CZE","","cs","United States","digital_native","","","2.89","2017-10-30"
"623617","http://www.financninoviny.cz/","Financni Noviny - Czech Republic (Czech)","CZE","","cs","Ankara","digital_native","","","9.41","2017-10-30"
"623618","http://neviditelnypes.lidovky.cz/","Neviditelny Pes","CZE","","cs","none","digital_native","","","0.64","2017-10-30"
"623619","http://www.newstin.cz/","Newstin","CZE","","cs","","digital_native","","","0.01","2017-10-23"
"623620","http://www.novoya.com/","Novoya","CZE","","en","none","digital_native","","","3.96","2018-01-01"
"623621","http://www.numberczech.cz/","Number CZ","CZE","","cs","","digital_native","","","0.0","2017-06-12"
"623622","http://pravednes.cz/top.news","Prave DNES","CZE","","cs","Palo Alto","digital_native","","","3.12","2019-06-10"
"623623","http://www.regionalninovinky.cz/","Regionalni Noviny","CZE","","cs","none","digital_native","","","0.0","2017-10-30"
