media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"56475","http://santiagotimes.cl/","santiagotimes.cl","CHL","","en","Republic of Chile","print_native","","","0.0","2016-07-04"
"57385","http://lasegunda.com/","lasegunda.com","CHL","","es","none","print_native","","","0.0","2013-07-15"
"58002","http://elvacanudo.cl/","elvacanudo.cl","CHL","","es","none","digital_native","","","0.0","2013-04-29"
"58056","http://elmostrador.cl/","elmostrador.cl","CHL","","es","none","digital_native","","","5.4","2013-05-06"
"59844","http://latercera.com/","latercera.com","CHL","","es","none","print_native","","","14.44","2013-05-06"
"60002","http://elamaule.cl/","elamaule.cl","CHL","","es","none","digital_native","","","0.0","2013-04-29"
"60269","http://lanacion.cl/","lanacion.cl","CHL","","es","none","print_native","","","1.21","2013-04-29"
"61318","http://ilovechile.cl/","ilovechile.cl","CHL","","en","Republic of Chile","digital_native","","","0.0","2013-05-06"
"62124","http://cooperativa.cl/","cooperativa.cl","CHL","","es","none","video_broadcast","","","36.0","2013-03-25"
"62217","http://theclinic.cl/","theclinic.cl","CHL","","es","none","digital_native","","","2.87","2013-05-06"
"64420","http://terra.cl/","terra.cl","CHL","","es","United States","digital_native","","","0.0","2013-05-06"
"64882","http://emol.com/","emol.com","CHL","","es","none","print_native","","","0.0","2013-05-06"
"66351","http://elciudadano.cl/","elciudadano.cl","CHL","","es","United States","print_native","","","5.62","2014-08-04"
"66534","http://elparadiario14.cl/","elparadiario14.cl","CHL","","es","none","digital_native","","","0.0","2013-05-06"
"73926","http://www.eldinamo.cl/#spider","eldinamo.cl","CHL","","es","none","digital_native","","","0.0","2015-06-22"
"75775","http://www.mercuriovalpo.cl/#spider","mercuriovalpo.cl","CHL","","es","none","print_native","","","1.24","2014-03-24"
"105364","http://elquehaydecierto.cl/#spider","elquehaydecierto.cl","CHL","","es","none","digital_native","","","0.0","2016-12-26"
"111577","http://biobiochile.cl/","biobiochile.cl","CHL","","es","United States","video_broadcast","","","11.32","2016-12-26"
"200954","http://www.elgraficochile.cl/","El Gráfico Chile - La plataforma deportiva más grande de Chile","CHL","","es","Texas","print_native","","","0.0","2016-09-05"
"200955","http://www.diariooficial.interior.gob.cl/","Diario Oficial – República de Chile","CHL","","es","none","print_native","","","0.0","2014-11-24"
"200957","http://www.estrategia.cl/","ESTRATEGIA ON LINE","CHL","","es","United States","print_native","","","0.87","2018-06-04"
"200959","http://www.lacuarta.com/","La Cuarta: El Diario popular, noticias de Chile y el mundo para la barra pop","CHL","","es","none","print_native","","","0.0","2014-12-08"
"200960","http://www.lahora.cl/","La Hora","CHL","","es","none","print_native","","","0.0","2019-09-30"
"200961","http://www.lun.com/","www.lun.com - Diario Las Ultimas Noticias","CHL","","es","none","print_native","","","0.0","2014-12-08"
"200962","http://www.publimetro.cl/","Publimetro, Noticias, Actualidad y Blogs en Chile – Publimetro","CHL","","es","United States","print_native","","","0.0","2014-12-08"
"200963","http://www.pulso.cl/","PULSO","CHL","","es","none","print_native","","","0.0","2014-12-08"
"200965","http://www.diarioviregion.cl/","Diario VI Región","CHL","","es","none","print_native","","","0.04","2014-12-08"
"200967","http://www.diarioelcentro.cl/","Portada - Diario EL CENTRO.cl","CHL","","es","none","print_native","","","0.0","2019-06-03"
"200968","http://diarioeldia.cl/","Diario El Día | Noticias de la Región de Coquimbo, La Serena, Coquimbo","CHL","","es","none","print_native","","","0.0","2014-12-08"
"200973","http://diarioaysen.cl","Diario de Aysén","CHL","","es","none","print_native","","","0.13","2015-11-16"
"200975","http://www.elheraldoaustral.cl/","El Heraldo Austral | Contigo desde 1951","CHL","","es","none","print_native","","","0.0","2014-12-08"
"200976","http://www.diarioelheraldo.cl/","el heraldo","CHL","","es","none","print_native","","","2.52","2016-08-01"
"200982","http://www.elovallino.cl/","El Ovallino","CHL","","es","none","print_native","","","0.33","2015-01-19"
"200983","http://www.elpinguino.com/","ELPINGUINO.COM | Punta Arenas, Chile, 2014","CHL","","es","none","print_native","","","0.0","2014-12-08"
"200985","http://www.soychile.cl/arauco/","Arauco - Región del Bío Bío | soyarauco.cl","CHL","","es","none","digital_native","","","0.44","2013-10-14"
"200988","http://eltipografo.cl/","@ElTipografo","CHL","","es","none","digital_native","","","0.0","2015-01-26"
"200990","http://www.ladiscusion.cl/","LaDiscusion.cl","CHL","","es","none","print_native","","","1.91","2019-06-03"
"201007","https://www.df.cl/","Diario Financiero","CHL","","es","none","print_native","","","3.6","2014-12-08"
"201010","http://www.elmagallanews.cl/","El Magallanews.cl, Noticias de Punta Arenas y Magallanes, Punta Arenas, fernando paredes mansilla, Consejo para la Transparencia","CHL","","es","none","digital_native","","","0.0","2014-12-08"
"201011","http://www.elmartutino.cl/","El Martutino.cl, Noticias de Valparaíso y Viña del Mar, Valparaíso, Parque Cultural de Valparaíso, chespirito, PCdV, El Chavo de","CHL","","es","none","digital_native","","","0.0","2014-12-08"
"201014","http://www.radioagricultura.cl/","Radio Agricultura | 100% Opinión","CHL","","es","none","video_broadcast","","","5.1","2014-12-08"
"201016","http://www.24horas.cl/","24horas","CHL","","es","United States","video_broadcast","","","0.0","2014-12-08"
"201028","http://www.infinita.cl/","Infinita | idioma universal","CHL","","es","none","video_broadcast","","","1.07","2014-12-08"
"201034","http://www.capital.cl/","Revista Capital","CHL","","es","United States","print_native","","","0.0","2014-12-08"
"201037","http://www.elsiglo.cl/","El Siglo","CHL","","es","Republic of Chile","print_native","","","0.43","2017-05-15"
"201043","http://www.puntofinal.cl/",".:: Revista Punto Final ::.","CHL","","es","none","print_native","","","0.0","2014-12-08"
"201044","http://www.quepasa.cl/","Revista Qué Pasa","CHL","","es","none","print_native","","","0.0","2014-12-01"
"263463","http://servicioweb.cl/","servicioweb.cl","CHL","","es","none","digital_native","","","0.28","2017-02-13"
"280272","http://elrancahuaso.cl/","elrancahuaso.cl","CHL","","es","Kingdom of Sweden","digital_native","","","0.0","2016-12-26"
"280296","http://soychile.cl/","soychile.cl","CHL","","es","none","digital_native","","","0.0","2016-12-19"
"287419","http://elrepuertero.cl/","elrepuertero.cl","CHL","","es","Wien","digital_native","","","0.0","2016-12-26"
"287477","http://estrellaarica.cl/","estrellaarica.cl","CHL","","es","none","print_native","","","3.4","2018-06-11"
"324807","http://chilevision.cl/","chilevision.cl","CHL","","es","none","video_broadcast","","","0.0","2017-03-27"
"326216","http://redohiggins.com/","redohiggins.com","CHL","","es","","digital_native","","","0.0","2016-11-28"
"329300","http://diarioelmarino.cl/","diarioelmarino.cl","CHL","","es","none","digital_native","","","0.62","2018-05-07"
"330963","http://elobservatodo.cl/","elobservatodo.cl","CHL","","es","none","digital_native","","","0.0","2016-12-26"
"332246","http://redcoquimbo.com/","redcoquimbo.com","CHL","","es","","digital_native","","","0.0","2016-11-28"
"334148","http://redaraucania.com/","redaraucania.com","CHL","","es","","digital_native","","","0.0","2016-11-28"
"336392","http://cronicadigital.cl/","cronicadigital.cl","CHL","","es","Republic of Chile","digital_native","","","0.0","2014-03-10"
"337530","http://elrancaguino.cl/","elrancaguino.cl","CHL","","es","none","print_native","","","1.67","2016-12-26"
"337902","http://laprensaaustral.cl/","laprensaaustral.cl","CHL","","es","none","print_native","","","1.37","2016-12-26"
"337944","http://lamejor.cl/","lamejor.cl","CHL","","es","Republic of Chile","video_broadcast","","","0.0","2017-04-17"
"338616","http://radiopolar.com/","radiopolar.com","CHL","","es","","video_broadcast","","","0.0","2020-06-01"
"339085","http://elmorrocotudo.cl/","elmorrocotudo.cl","CHL","","es","none","digital_native","","","0.0","2016-12-26"
"339559","http://redloslagos.com/","redloslagos.com","CHL","","es","","digital_native","","","0.0","2016-11-28"
"339910","http://elnortero.cl/","elnortero.cl","CHL","","es","none","digital_native","","","0.0","2016-12-26"
"340219","http://opinionsur.cl/","opinionsur.cl","CHL","","es","Republic of Chile","digital_native","","","0.31","2019-06-03"
"340918","http://hoyxhoy.cl/","hoyxhoy.cl","CHL","","es","none","print_native","","","2.98","2018-09-10"
"344062","http://radiomagallanes.cl/","radiomagallanes.cl","CHL","","es","Estado de Nuevo León","video_broadcast","","","0.0","2017-01-16"
"345377","http://diariolaprensa.cl/","diariolaprensa.cl","CHL","","es","none","print_native","","","0.0","2016-12-26"
"346555","http://elboyaldia.cl/","elboyaldia.cl","CHL","","es","none","digital_native","","","0.0","2013-06-03"
"348195","http://vi.cl/","vi.cl","CHL","","es","Republic of the Philippines","digital_native","","","0.14","2016-12-19"
"349430","http://redmagallanes.com/","redmagallanes.com","CHL","","es","","digital_native","","","0.0","2016-12-05"
"353521","http://laopinon.cl/","laopinon.cl","CHL","","es","none","digital_native","","","0.0","2016-12-26"
"356458","http://redatacama.com/","redatacama.com","CHL","","es","","digital_native","","","0.0","2020-06-01"
"357996","http://cambio21.cl/","cambio21.cl","","","","","","","","3.16","2020-10-12"
"359022","http://chilenoticias.cl/","chilenoticias.cl","CHL","","es","none","other","","","0.01","2016-12-26"
"359312","http://diarioconcepcion.cl/","diarioconcepcion.cl","CHL","","es","","print_native","","","1.6","2021-05-31"
"361213","http://www.13.cl/","Inicio | 13.cl","CHL","","es","none","video_broadcast","","","1.86","2020-10-05"
"361215","http://www.asuntospublicos.cl/","Asuntos Publicos","CHL","","es","none","digital_native","","","0.06","2016-11-14"
"361216","http://www.diariosenred.com/","DIARIOSENRED","CHL","","la","none","digital_native","","","0.0","2017-05-01"
"361217","http://www.laaldea.cl/","La Aldea | El diario universitario del sur de Chile","CHL","","es","","digital_native","","","0.0","2016-12-19"
"361218","http://www.mundoagropecuario.cl/","Mundo Agropecuario","CHL","","es","none","digital_native","","","0.28","2018-06-04"
"361220","http://www.elperiodista.cl/","El Periodista","CHL","","es","none","print_native","","","2.34","2019-08-19"
"361221","http://www.fortinmapocho.com/","Fortin Mapocho","CHL","","es","none","print_native","","","0.0","2016-12-26"
