media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"58115","http://primerahora.com/","primerahora.com","PRI","","es","none","print_native","","","0.0","2013-07-15"
"61980","http://notiuno.com/","notiuno.com","PRI","","es","Washington","video_broadcast","","","0.0","2013-05-06"
"62552","http://elnuevodia.com/","El Nuevo Dia","PRI","","","","print_native","","","0.31","2017-10-02"
"64483","http://wapa.tv/","wapa.tv","PRI","","es","Puerto Rico","video_broadcast","","","0.0","2013-05-06"
"65381","http://claridadpuertorico.com/","claridadpuertorico.com","PRI","","es","Mexico","print_native","","","0.14","2020-03-09"
"107691","http://elvocero.com/","elvocero.com","PRI","","es","United States","print_native","","","0.0","2014-01-13"
"246641","http://periodicolaperla.com/","periodicolaperla.com","PRI","","es","none","print_native","","","1.92","2016-08-08"
"269557","http://noticel.com/","noticel.com","PRI","","es","Puerto Rico","digital_native","","","0.24","2017-01-09"
"282302","http://metro.pr/","metro.pr","PRI","","es","none","print_native","","","0.0","2018-08-27"
"287574","http://telemundopr.com/","telemundopr.com","PRI","","es","United States","video_broadcast","","","4.76","2016-05-23"
"287673","http://caribbeanbusiness.com/","caribbeanbusiness.com","PRI","","en","Puerto Rico","print_native","","","0.17","2017-09-18"
"287856","http://puertoricoreport.com/","puertoricoreport.com","PRI","","en","Puerto Rico","digital_native","","","0.13","2015-01-12"
"300488","http://www.puertoricotribune.com/","Puerto Rico News","PRI","","en","none","digital_native","","","2.86","2016-08-15"
"320358","http://tunoticiapr.com/","tunoticiapr.com","PRI","","es","United States","digital_native","","","1.83","2017-11-06"
"325465","http://radioisla1320.com/","radioisla1320.com","PRI","","es","none","video_broadcast","","","1.43","2017-12-11"
"327704","http://indicepr.com/","indicepr.com","PRI","","es","none","print_native","","","0.03","2015-06-15"
"333109","http://elexpresso.com/","elexpresso.com","PRI","","es","none","print_native","","","0.49","2019-09-02"
"334814","http://elmundo.pr/","elmundo.pr","PRI","","","","digital_native","","","0.74","2016-06-27"
"339893","http://woratv.com/","woratv.com","PRI","","es","none","video_broadcast","","","0.4","2017-12-04"
"362348","http://noticiassomosponce.net/","noticiassomosponce.net","PRI","","es","none","digital_native","","","0.01","2017-12-04"
"363669","http://diariodepuertorico.com/","diariodepuertorico.com","PRI","","es","Puerto Rico","digital_native","","","0.18","2017-10-30"
"370146","http://cb.pr/","cb.pr","PRI","","es","none","print_native","","","0.12","2017-12-04"
"399541","http://laesquina.com/","laesquina.com","PRI","","es","United States","print_native","","","0.0","2014-09-29"
"544876","http://bandera.org/","bandera.org","PRI","","es","none","digital_native","","","0.07","2017-07-31"
"558803","http://wipr.pr/","wipr.pr","PRI","","es","none","video_broadcast","","","0.92","2017-12-11"
"623629","http://newsismybusiness.com/","News Is My Business","PRI","","en","Puerto Rico","digital_native","","","0.46","2013-06-24"
"651326","http://lacallerevista.com/","La Calle - Puerto Rico","PRI","","es","none","print_native","","","0.28","2017-12-04"
"651444","http://www.elorientalpr.net/","El Oriental - Puerto Rico","PRI","","es","Provincia de San Juan","print_native","","","0.84","2018-01-22"
"655151","http://periodicovision.com/","Vision - Puerto Rico","PRI","","es","United States","print_native","","","0.34","2018-07-16"
"657416","http://www.presenciapr.com/","Presencia","PRI","","es","United States","print_native","","","0.72","2017-12-04"
"657417","http://www.lacordillera.net/","La Cordillera","PRI","","es","","print_native","","","0.0","2022-05-14"
"657418","http://www.elregionalpr.com/","El Regional de Guayama","PRI","","es","none","print_native","","","0.0","2017-08-28"
"657420","http://noticiasdeponce.net/","Noticias de Ponce","PRI","","es","Puerto Rico","digital_native","","","0.0","2017-12-04"
"657421","http://www.sanjuanweeklypr.com/","San Juan Daily Star","PRI","","en","","print_native","","","0.02","2018-07-02"
"657422","http://www.univision.com/puerto-rico/wkaq-am","WKAQ 580 AM","PRI","","none","New York City","audio_broadcast","","","0.0","2017-12-11"
"657423","http://www.univision.com/puerto-rico/wlii","WLII","PRI","","es","Puerto Rico","video_broadcast","","","0.0","2017-12-18"
"657424","http://www.utuadohoy.com/","Utuado Hoy","PRI","","es","none","digital_native","","","0.11","2018-01-15"
"1324279","http://todaspr.com/","todaspr.com","PRI","","","","digital_native","","","0.17","2019-09-09"
"1623442","https://periodismoinvestigativo.com/","Centro de Periodismo Investigativo","PRI","","","","digital_native","","","0.12","2020-07-20"
