media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38806","http://www.demorgen.be/","demorgen","BEL","","nl","none","print_native","","","2.61","2013-03-11"
"39093","http://vtm.be/nieuws","VTM","BEL","","nl","none","video_broadcast","","","0.0","2016-03-28"
"39138","http://www.nieuwsblad.be","nieuwsblad","BEL","","nl","none","print_native","","","39.87","2015-04-06"
"39566","http://www.standaard.be","standaard","BEL","","nl","United States","print_native","","","4.96","2013-05-20"
"40416","http://www.tijd.be/","tijd","BEL","","nl","none","print_native","","","0.03","2013-05-27"
"41197","http://www.hbvl.be/","hbvl","BEL","BE-VLI","nl","none","print_native","","","18.38","2013-03-18"
"41719","http://www.7sur7.be/","7sur7","BEL","","fr","none","digital_native","","","7.13","2013-05-20"
"42065","http://www.deredactie.be/cm/vrtnieuws","deredactie","BEL","","nl","none","video_broadcast","","","9.81","2013-03-25"
"43526","http://www.lesoir.be/#spider","lesoir.be","BEL","","fr","none","print_native","","","18.96","2017-11-06"
"56332","http://rtbf.be/","rtbf.be","BEL","","fr","none","video_broadcast","","","10.03","2020-03-23"
"64233","http://lalibre.be/","lalibre.be","BEL","","fr","Castilla-La Mancha","print_native","","","12.27","2013-05-06"
"74670","http://www.lavenir.net/#spider","lavenir.net","BEL","BE-WNA","fr","none","digital_native","","","33.12","2015-09-14"
"107587","http://nieuws.vtm.be/","nieuws.vtm.be","","","nl","Republic of Poland","","","","0.36","2019-04-08"
"108669","http://knack.be/","knack.be","BEL","","nl","United States","print_native","","","0.73","2017-12-04"
"110167","http://lacapitale.be/","lacapitale.be","BEL","","fr","Kingdom of Belgium","print_native","","","17.8","2017-12-04"
"110544","http://hln.be/","hln.be","BEL","","nl","none","print_native","","","18.69","2017-11-06"
"110979","http://rtl.be/","rtl.be","BEL","","fr","none","video_broadcast","","","14.63","2015-05-11"
"119884","http://gva.be/","gva.be","BEL","BE-VAN","nl","none","print_native","","","12.69","2014-07-14"
"120818","http://dewereldmorgen.be/","dewereldmorgen.be","","","nl","none","","","","0.0","2019-03-25"
"125180","http://levif.be/","levif.be","BEL","","fr","United States","print_native","","","0.63","2017-12-04"
"257138","http://mo.be/","mo.be","BEL","","nl","none","print_native","","","0.26","2017-10-23"
"258173","http://dhnet.be/","dhnet.be","BEL","","fr","none","print_native","","","11.11","2017-11-06"
"258275","http://sudinfo.be/","sudinfo.be","BEL","BE-WNA","fr","none","digital_native","","","7.74","2017-12-11"
"258541","http://trends.levif.be/","trends.levif.be","BEL","","fr","United States","print_native","","","1.61","2017-12-04"
"263671","http://brf.be/","brf.be","BEL","BE-WLG","de","none","video_broadcast","","","3.4","2017-12-04"
"299951","http://deredactie.be/cm/vrtnieuws.english","flandersnews.be","BEL","","en","Kingdom of Belgium","video_broadcast","","","9.87","2019-03-25"
"330440","http://lecho.be/","lecho.be","BEL","","fr","none","print_native","","","0.0","2018-02-05"
"332426","http://lameuse.be/","lameuse.be","BEL","BE-WLG","fr","Kingdom of Belgium","digital_native","","","18.51","2017-12-04"
"335835","http://radio1.be/","radio1.be","BEL","","nl","","video_broadcast","","","0.0","2016-11-28"
"360454","http://trends.knack.be/","trends.knack.be","BEL","","nl","United States","print_native","","","0.72","2017-12-04"
"560473","http://bx1.be/","bx1.be","BEL","","fr","Bruxelles-Capitale","video_broadcast","","","1.88","2017-12-04"
"566812","http://nl.express.live/","nl.express.live","","","nl","none","","","","2.76","2019-12-23"
"605258","http://vvb.org/","vvb.org","BEL","","nl","","digital_native","","","0.14","2018-06-25"
"623630","http://www.een.be/","EEN - Belgium (Dutch)","BEL","","nl","","video_broadcast","","","0.01","2017-10-30"
"623631","http://kanaalz.rnews.be/","Kanaal Z","BEL","","nl","","video_broadcast","","","0.0","2017-10-30"
"623632","http://www.radiovisie.eu/","Radio Visie","BEL","","nl","none","video_broadcast","","","0.51","2017-10-30"
"623633","http://www.rtbf.be/services/teletexte/","RTBF - Belgium (French)","BEL","","fr","","video_broadcast","","","0.0","2017-10-30"
"623634","http://deredactie.be/cm/vrtnieuws.francais","VRT - Belgium (French)","BEL","","fr","none","video_broadcast","","","0.0","2017-10-30"
"623635","http://www.hoofdpunten.be/","Hoofdpunten","BEL","","nl","none","digital_native","","","0.01","2017-11-06"
"623638","http://www.tscheldt.be/","''t Scheldt","BEL","","nl","New Brunswick","digital_native","","","0.0","2019-03-25"
"623639","http://www.waalsweekblad.be/","Waals Weekblad","BEL","","nl","","digital_native","","","0.0","2017-10-30"
"623640","http://www.meervoud.org/","Meervoud","BEL","","nl","","print_native","","","0.01","2017-10-30"
"623641","http://www.ejustice.just.fgov.be/cgi/welcome.pl","Belgisches Staatsblatt - Belgium (Dutch)","BEL","","de","","print_native","","","0.0","2017-10-30"
"623642","http://www.nieuwsblad.be/?ref=dg","De Gentenaar","BEL","","nl","United States","print_native","","","40.72","2013-06-03"
"623643","http://www.nieuwsblad.be/sportwereld","Sportwereld","BEL","","nl","United States","print_native","","","41.13","2018-04-16"
"623644","http://www.belga.be/fr/","Belga - Belgium (French)","BEL","","fr","","other","","","0.0","2022-05-14"
"624228","http://deredactie.be/cm/vrtnieuws.deutsch","VRT - Belgium (German)","BEL","","de","none","video_broadcast","","","0.0","2017-10-30"
"624229","http://www.belga.be/nl/","Belga - Belgium (Dutch)","BEL","","nl","","other","","","0.0","2022-05-14"
"651231","http://atv.be/","ATV - Belgium","BEL","BE-VAN","nl","none","video_broadcast","","","11.09","2017-12-04"
"653559","http://www.expatica.com/be/main.html","Expatica - Belgium","BEL","","en","Kingdom of Belgium","digital_native","","","0.12","2019-03-11"
"653564","http://www.lavenir.net/extra/bw-info","L'Avenir Brabant Wallon","BEL","BE-WBR","fr","none","print_native","","","38.43","2017-12-04"
"653565","http://www.brusselstimes.com/","Brussels Times","BEL","","en","Kingdom of Belgium","print_native","","","0.04","2019-06-03"
