media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"87039","http://www.guardian.bz/#spider","guardian.bz","BLZ","","en","Belize","print_native","","","0.0","2020-03-23"
"179642","http://7newsbelize.com/","7newsbelize.com","BLZ","","en","Belize","video_broadcast","","","0.92","2016-08-15"
"189027","http://amandala.com.bz/","amandala.com.bz","BLZ","","en","Belize","print_native","","","0.27","2017-10-30"
"283815","http://ctv3belizenews.com/","ctv3belizenews.com","BLZ","BZ-OW","en","","video_broadcast","","","0.0","2016-05-09"
"287373","http://breakingbelizenews.com/","breakingbelizenews.com","BLZ","","en","Belize","digital_native","","","1.9","2017-11-13"
"287456","http://reporter.bz/","reporter.bz","BLZ","","en","Belize","print_native","","","0.0","2017-02-06"
"287827","http://edition.channel5belize.com/","edition.channel5belize.com","BLZ","","en","Belize","video_broadcast","","","1.42","2016-08-15"
"298427","http://sanpedrosun.com/","sanpedrosun.com","BLZ","","en","Belize","print_native","","","0.3","2017-12-04"
"300019","http://lovefm.com/","Love FM – News & Music Power -","BLZ","","en","Belize","video_broadcast","","","0.36","2016-09-12"
"589994","http://ambergristoday.com/","ambergristoday.com","BLZ","","en","","digital_native","","","0.0","2014-02-17"
"623650","http://www.plustvbelize.com/","Plus TV","BLZ","","en","Belize","video_broadcast","","","0.0","2015-05-11"
"653627","http://www.placencia.com/tag/the-placencia-breeze/","Placencia Breeze","BLZ","BZ-OW","en","","print_native","","","0.0","2017-09-04"
"653628","http://pgtvbelize.com/","PGTV","BLZ","BZ-TOL","en","Belize","video_broadcast","","","0.11","2017-11-13"
"1702168","https://belizetimes.biz/","Belize Times","","","","","","","","0.0","2020-09-28"
"1702169","http://www.cayecaulkerchronicles.com/","Cayecaulkerchronicles.com: Situs Judi Slot Online Terpercaya","","","","","","","","0.0","2020-08-24"
