media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"23931","urn://archive.org/China_News","China News","HKG","","zh","","other","","","0.0","2022-05-14"
"38748","http://www.metrohk.com.hk/","metrohk","HKG","","zh","none","print_native","","","0.63","2013-03-11"
"40088","http://www.hkcd.com.hk/","hkcd","HKG","","zh","none","print_native","","","0.0","2017-01-09"
"40365","http://www.mingpao.com/","mingpao","HKG","","zh","none","digital_native","","","31.76","2017-07-24"
"40488","http://www.wenweipo.com/","wenweipo","HKG","","en","none","print_native","","","0.0","2013-06-10"
"41686","http://orientaldaily.on.cc/","orientaldaily","HKG","","zh","none","print_native","","","0.0","2013-05-20"
"55573","http://thestandard.com.hk/","thestandard.com.hk","HKG","","en","People’s Republic of China","print_native","","","0.0","2013-04-29"
"57774","http://hk.apple.nextmedia.com/","hk.apple.nextmedia.com","HKG","","zh","none","print_native","","","0.0","2017-07-17"
"63617","http://the-sun.on.cc/","the-sun.on.cc","HKG","","zh","none","print_native","","","0.0","2013-05-06"
"64152","http://rthk.org.hk/","rthk.org.hk","HKG","","zh","none","video_broadcast","","","0.0","2013-07-15"
"250787","https://hk.news.yahoo.com/","hk.news.yahoo.com","HKG","","none","none","digital_native","","","22.84","2017-05-01"
"270966","https://hongkongfp.com/","hongkongfp.com","HKG","","en","Hong Kong Special Administrative Region","digital_native","","","0.99","2016-01-04"
"300509","http://www.rthk.hk/?lang=en","rthk.hk English News","HKG","","en","none","video_broadcast","","","2.09","2017-07-17"
"300517","http://www.scmp.com/frontpage/international","International Edition","HKG","","en","none","print_native","","","32.38","2016-08-08"
"371596","http://www.hkpost.com.hk/","香港ポスト - 香港日本語新聞","HKG","","ja","none","print_native","","","0.0","2017-07-10"
"440040","http://news.tvb.com/","無綫新聞 - 新聞首頁","HKG","","none","none","video_broadcast","","","0.0","2017-07-10"
"440041","http://hk.on.cc/hk/news/","Oriental Daily - on.cc東網 - 東方報業集團","HKG","","zh","none","digital_native","","","0.0","2013-10-28"
"440042","http://sina.com.hk/news/?cf=o.news","新聞- 香港新浪 Sina HK News","HKG","","none","none","digital_native","","","0.0","2017-09-11"
"440043","http://www.msn.com/zh-hk/news","MSN 新聞 – 即時新聞、本地及環球重點新聞","HKG","","none","none","digital_native","","","0.0","2017-07-10"
"440046","http://std.stheadline.com/","星島日報","AUS","","none","none","print_native","","","0.0","2017-07-31"
"440047","http://hd.stheadline.com","頭條日報 Headline Daily","HKG","","none","none","print_native","","","2.53","2017-07-17"
"440051","https://www.am730.com.hk/","首頁 - am730","HKG","","none","none","print_native","","","0.0","2017-07-10"
"440055","http://www.hket.com/eti/","香港經濟日報網站 www.hket.com - 主頁","HKG","","none","United States","print_native","","","8.86","2018-01-22"
"616207","http://takungpao.com/","takungpao.com","HKG","","zh","","print_native","","","0.0","2017-12-11"
"623651","http://www.881903.com/Page/ZH-TW/index.aspx","Commercial Radio","HKG","","zh","","video_broadcast","","","0.0","2017-11-13"
"623652","http://www.yzzk.com/","Yazhou Khoukan","HKG","","zh","","print_native","","","0.0","2018-04-16"
"623653","http://www.mingpaonews.com/","Ming Pao - Hong Kong (Chinese)","HKG","","none","Hong Kong","print_native","","","32.28","2018-03-26"
"655255","http://www.chinanews.com/gangao/","China News - Hong Kong","HKG","","zh","United States","other","","","49.39","2017-12-04"
"656107","http://www.hongkongnews.net/","Hong Kong News","HKG","","en","Hong Kong","digital_native","","","0.82","2018-05-07"
"656108","http://www.hkej.com/template/landing11/jsp/main.jsp","Hong Kong Economic Journal","HKG","","none","United States","print_native","","","0.0","2017-12-04"
"656109","http://kkp.catholic.org.hk/","Kung Kao Po","HKG","","zh","","print_native","","","0.0","2017-12-18"
"656110","http://www.metroradio.com.hk/MetroFinance/Default.aspx","Metro Finance","HKG","","zh","","video_broadcast","","","0.0","2017-12-04"
