media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"129289","http://cocorioko.net/","cocorioko.net","","","","","","","","0.28","2020-10-12"
"143665","http://politicosl.com/","politicosl.com","SLE","","en","Republic of Sierra Leone","print_native","","","0.0","2020-02-17"
"143900","http://thepatrioticvanguard.com/","thepatrioticvanguard.com","SLE","","en","Republic of Sierra Leone","digital_native","","","0.17","2017-11-20"
"143928","http://sierraexpressmedia.com/","sierraexpressmedia.com","SLE","","en","","print_native","","","0.0","2014-08-04"
"143960","http://statehouse.gov.sl/","statehouse.gov.sl","SLE","","en","Republic of Sierra Leone","digital_native","","","0.23","2014-09-22"
"144269","http://awoko.org/","awoko.org","SLE","","en","Republic of Sierra Leone","print_native","","","0.0","2016-08-15"
"144398","http://news.sl/","news.sl","SLE","","","","print_native","","","0.0","2012-04-16"
"144507","http://thesierraleonetelegraph.com/","thesierraleonetelegraph.com","SLE","","en","Republic of Sierra Leone","digital_native","","","0.18","2017-10-30"
"178588","http://sierraleonetimes.com/","sierraleonetimes.com","SLE","","en","none","digital_native","","","0.59","2017-11-20"
"178789","http://standardtimespress.org/","standardtimespress.org","SLE","","en","Republic of Sierra Leone","print_native","","","0.02","2016-08-08"
"178812","http://slbc.sl/","slbc.sl","SLE","","en","Republic of Sierra Leone","video_broadcast","","","0.0","2016-08-08"
"179833","http://globaltimes-sl.com/","globaltimes-sl.com","SLE","","en","Republic of Sierra Leone","print_native","","","0.12","2017-11-27"
"180099","http://voice-of-binkongoh.info/","voice-of-binkongoh.info","SLE","","en","Republic of Sierra Leone","video_broadcast","","","0.0","2017-11-27"
"300032","http://mysierraleoneonline.com/","News in Sierra Leone","SLE","","en","none","digital_native","","","0.0","2019-07-15"
"300068","http://slconcordtimes.com/","Sierra Leone Concord Times","SLE","","en","Republic of Sierra Leone","print_native","","","0.91","2016-08-15"
"300153","http://www.apctimes.com/","APC Times | Latest News From Sierra Leone & Africa","SLE","","en","Republic of Sierra Leone","digital_native","","","0.07","2016-08-22"
"300513","http://www.salonetoday.com/","Sierra Leone news","SLE","","en","Republic of Sierra Leone","digital_native","","","0.0","2016-09-12"
"300525","http://www.sierraleonenews.net/","Sierra Leone Daily News Updates | Sierra Leone News.Net","SLE","","en","United States","digital_native","","","0.61","2016-08-15"
"300526","http://www.sierraleonepress.com/","Sierra Leone Press | Just another WordPress site","SLE","","en","none","digital_native","","","0.11","2016-08-15"
"300549","http://www.switsalone.com/","Sierra Leone News | Swit Salone","SLE","","en","Republic of Sierra Leone","digital_native","","","0.14","2016-07-25"
"300576","http://www.thisissierraleone.com/","http://www.thisissierraleone.com/","SLE","","en","","digital_native","","","0.0","2016-06-06"
"300650","https://makonitimes.wordpress.com/","Makoni Times","SLE","","","","digital_native","","","0.06","2016-08-08"
"300652","https://slpublicopinion.wordpress.com/","Sierra Leone Puplic Opinion","SLE","","en","","digital_native","","","0.0","2016-05-02"
"623654","http://www.critiqueecho.com/","Critique Echo Newspaper","SLE","","en","Republic of Sierra Leone","digital_native","","","0.02","2017-09-25"
"623655","http://www.expotimesonline.net/","Expo Times","SLE","","en","Republic of Sierra Leone","digital_native","","","0.0","2017-10-16"
"623656","http://www.ktvsl.com/","KTV Sierra Leone","SLE","","en","","digital_native","","","0.0","2017-04-10"
"623658","http://thenewrisingsun.net/","New Rising Sun","SLE","","en","","digital_native","","","0.0","2018-04-16"
"623660","http://salonepost.com/","Salone Post","SLE","","en","","digital_native","","","0.0","2017-10-30"
"657749","http://www.premiermedia.sl/","Premier News","SLE","","","","print_native","","","0.0","2019-08-26"
"657750","http://radiodemocracy.sl/","Radio Democracy","SLE","","en","Republic of Sierra Leone","video_broadcast","","","0.0","2017-12-11"
"657751","http://www.salonereporter.net/","Salone Reporter","SLE","","en","","print_native","","","0.0","2017-10-09"
"1720547","http://peepsierraleone.com/","Peep Magazine – Providing you the Best things in Life","","","","","","","","0.01","2016-09-05"
