media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38789","http://apsnypress.info/","apsnypress-ru","GEO","GE-AB","ru","none","other","","","0.82","2013-03-11"
"39080","http://www.civil.ge/rus/","civil-ru","GEO","","ru","none","other","","","0.0","2013-03-11"
"39220","http://www.civil.ge/geo/","civil-ka","GEO","","ka","none","other","","","0.0","2013-03-11"
"39323","http://www.civil.ge/eng/","civil-en","GEO","","en","Georgia","other","","","0.43","2013-03-11"
"39581","http://apsnypress.info/en/","apsnypress","GEO","GE-AB","en","none","other","","","0.12","2013-03-11"
"39976","http://www.messenger.com.ge/","messenger","GEO","","en","","print_native","","","0.0","2012-04-30"
"40243","http://www.georgiatoday.ge/","georgiatoday","GEO","","en","Georgia","print_native","","","0.63","2016-10-10"
"55458","http://rustavi2.com/","rustavi2.com","GEO","","en","none","video_broadcast","","","0.0","2016-05-23"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"64266","http://tavisupleba.org/","tavisupleba.org","GEO","","ka","none","video_broadcast","","","3.34","2016-03-07"
"90145","http://finchannel.com/#spider","finchannel.com","GEO","","en","none","print_native","","","0.41","2018-02-19"
"299917","http://1tv.ge/en/home","1TV.GE » პირველი არხი | პირველი არხი","GEO","","en","none","video_broadcast","","","0.0","2016-10-10"
"299918","http://2tv.ge/en/home","2TV.GE » მეორე არხი | მეორე არხი","GEO","","en","none","video_broadcast","","","0.0","2016-10-10"
"299950","http://commersant.ge/?lang=2","Commersant - მთავარი","GEO","","en","none","video_broadcast","","","0.0","2016-10-10"
"299988","http://gpb.ge/en/home","GPB.GE » | პირველი არხი","GEO","","en","none","video_broadcast","","","0.0","2016-10-10"
"300028","http://medianews.ge/index.php/en/","Medianews - Home""","GEO","","en","none","other","","","0.0","2016-08-15"
"300055","http://radio1.ge/en/home","Radio1.Ge » რადიო 1 | რადიო 1","GEO","","en","none","video_broadcast","","","0.0","2016-10-10"
"300266","http://www.eng.ghn.ge/","Georgia, News Agency - GHN, Tbilisi | News Agency - GHN","GEO","","en","Georgia","other","","","0.07","2019-12-02"
"300284","http://www.gbc.ge/?lang=eng","GBC - home","GEO","","en","Georgia","digital_native","","","0.0","2016-09-12"
"300321","http://www.interpressnews.ge/en/","interpressnews","GEO","","en","Georgia","other","","","0.0","2016-10-10"
"300515","http://www.sarke.com/cgi/system/english.asp","Sarke Information Agency: Tbilisi, Georgia","GEO","","en","Georgia","other","","","0.0","2016-10-10"
"300550","http://www.tabula.ge/en","Tabula","GEO","","en","Georgia","print_native","","","0.0","2016-08-15"
