media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"40060","http://www.thepoint.gm/","thepoint","GMB","GM-B","en","","print_native","","","0.34","2020-08-24"
"180035","http://jollofnews.com/","jollofnews.com","GMB","","en","Gambia","digital_native","","","0.04","2017-12-04"
"300297","http://www.grts.gm/","GRTS - Gambia Radio & Television Services","GMB","","en","none","video_broadcast","","","0.0","2019-02-04"
"308503","http://freedomnewspaper.com/","freedomnewspaper.com","GMB","","en","Gambia","digital_native","","","0.0","2017-12-04"
"310092","http://gainako.com/","gainako.com","GMB","","en","Gambia","digital_native","","","0.03","2016-10-17"
"540819","http://foroyaa.gm/","foroyaa.gm","GMB","GM-B","en","Gambia","print_native","","","0.22","2018-06-11"
"575772","http://thegambiaecho.com/","thegambiaecho.com","GMB","","en","","digital_native","","","0.0","2015-01-05"
"653455","https://dailynewsgm.com/","Daily News - Gambia","GMB","GM-B","","","print_native","","","0.11","2020-09-14"
"655972","http://www.banjulfocus.com/","Banjul Focus","GMB","","en","","digital_native","","","0.0","2017-11-27"
"655973","http://www.senegambianews.com/1333/s/front-page","Senegambia News","GMB","","en","","digital_native","","","0.0","2017-12-04"
"729192","http://standard.gm/","standard.gm","","","","","","","","0.43","2020-09-21"
"1697171","https://d-infodigest.com/","The Digest","","","","","","","","0.14","2020-09-21"
"1697172","https://foroyaa.net/","Gambia News, World News & More – Foroyaa Newspaper","","","","","","","","0.36","2020-09-21"
