media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38750","http://www.sunstar.com.ph/","sunstar","PHL","","en","Republic of the Philippines","digital_native","","","0.0","2015-03-30"
"39504","http://www.manilatimes.net/","manilatimes","PHL","PH-00","en","none","print_native","","","24.3","2016-07-11"
"40862","http://www.yehey.com/","yehey","PHL","","en","none","digital_native","","","0.06","2017-09-18"
"41673","http://www.mindanaoexaminer.com/","mindanaoexaminer","PHL","","en","Republic of the Philippines","print_native","","","0.81","2013-09-30"
"42085","http://www.abs-cbnnews.com/","abs-cbnnews","PHL","","en","Republic of the Philippines","video_broadcast","","","0.0","2013-03-25"
"57643","http://balita.ph/","balita.ph","PHL","","en","Republic of the Philippines","digital_native","","","0.0","2013-04-29"
"58914","http://thenewstoday.info/","thenewstoday.info","PHL","","","","print_native","","","0.0","2013-04-29"
"59226","http://philstar.com/","philstar.com","PHL","PH-00","en","Republic of the Philippines","print_native","","","16.33","2013-04-29"
"63501","http://pinoyweekly.org/","pinoyweekly.org","PHL","","tl","none","print_native","","","0.0","2013-04-29"
"66236","http://thepinoy.net/","thepinoy.net","PHL","","en","Republic of the Philippines","digital_native","","","0.0","2013-04-22"
"69742","http://www.interaksyon.com/#spider","interaksyon.com","PHL","","en","none","video_broadcast","","","1.0","2017-08-14"
"69844","http://www.tempo.com.ph/#spider","tempo.com.ph","PHL","PH-00","en","Republic of the Philippines","print_native","","","0.78","2017-12-04"
"73047","http://www.rappler.com/#spider","rappler.com","PHL","","","","digital_native","","","5.31","2016-08-15"
"88357","http://www.gmanetwork.com/#spider","gmanetwork.com","PHL","","en","none","video_broadcast","","","3.31","2016-08-22"
"91851","http://www.tribune.net.ph/#spider","tribune.net.ph","PHL","PH-00","en","none","print_native","","","6.96","2018-07-30"
"94862","http://www.pinoyparazzi.com/#spider","pinoyparazzi.com","PHL","PH-00","tl","none","print_native","","","0.0","2016-11-28"
"125802","http://davaotoday.com/","davaotoday.com","PHL","","en","Republic of the Philippines","digital_native","","","0.04","2017-12-04"
"126899","http://bworldonline.com/","bworldonline.com","PHL","PH-00","en","National Capital Region","print_native","","","1.98","2017-08-21"
"134038","http://philippinestoday.net/","philippinestoday.net","PHL","","","","print_native","","","0.0","2011-05-09"
"134881","http://malaya.com.ph/","malaya.com.ph","PHL","PH-00","en","none","print_native","","","3.58","2016-08-15"
"144905","http://inquirer.net/","inquirer.net","PHL","PH-00","en","Republic of the Philippines","print_native","","","7.22","2018-07-16"
"170807","http://businessmirror.com.ph/","businessmirror.com.ph","PHL","PH-00","en","Republic of the Philippines","print_native","","","5.48","2017-12-11"
"257184","http://manilastandardtoday.com/","manilastandardtoday.com","PHL","PH-00","en","Republic of the Philippines","print_native","","","0.0","2016-08-15"
"263332","http://philnews.com/","philnews.com","PHL","","en","Republic of the Philippines","digital_native","","","0.07","2013-01-28"
