media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"40144","http://www.jurnal.md/","jurnal","MDA","MD-CU","ro","Republic of Moldova","print_native","","","4.33","2013-03-11"
"40348","http://www.cuvantul-liber.ro","cuvantul-liber","ROU","RO-MS","ro","none","print_native","","","0.49","2013-07-15"
"40603","http://press.try.md/","press-try","MDA","","ru","Republic of Moldova","digital_native","","","0.0","2013-05-27"
"41633","http://www.flux.md/","flux","MDA","MD-CU","ro","none","print_native","","","0.0","2013-03-18"
"47226","http://www.kp.md/#spider","kp.md","MDA","MD-CU","ru","none","print_native","","","1.11","2020-11-30"
"50203","http://www.europalibera.org/#spider","europalibera.org","ROU","","ro","none","video_broadcast","","","0.78","2017-12-04"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"300175","http://www.azi.md/en","Moldova Azi","MDA","","en","","digital_native","","","0.0","2011-07-25"
"300320","http://www.interlic.md/index.php?lang=eng","Moldova - Ştiri şi informaţii din Republica Moldova, Portal de ştiri din Moldova","MDA","","en","none","other","","","0.0","2016-08-15"
"300326","http://www.ipn.md/en/","IPN","MDA","","en","Republic of Moldova","other","","","1.07","2016-08-15"
"300490","http://www.qatarchronicle.com/","Welcome to nginx!","QAT","MD-UN","en","none","print_native","","","0.0","2021-06-28"
"307346","http://protv.md/","protv.md","MDA","MD-CU","ro","none","video_broadcast","","","0.0","2017-12-04"
"500700","http://omg.md/","omg.md","MDA","","ru","Moskva","other","","","0.43","2017-10-30"
"540101","http://unimedia.info/","unimedia.info","MDA","","ro","United States","digital_native","","","4.2","2017-10-30"
"542182","http://moldova.org/","moldova.org","MDA","","ro","Republic of Moldova","digital_native","","","0.38","2017-12-04"
"552162","http://ziarulnational.md/","ziarulnational.md","MDA","MD-CU","ro","United States","print_native","","","3.57","2017-11-06"
"567095","http://jc.md/","jc.md","","","","","","","","0.0","2020-03-23"
"567435","http://yam.md/","yam.md","MDA","","ro","none","digital_native","","","37.4","2017-11-06"
"623685","http://www.24h.md/","24H","MDA","","ro","none","digital_native","","","0.72","2017-11-06"
"623686","http://www.hotnews.md/","Hot News - Moldova","MDA","","ro","none","digital_native","","","1.0","2017-11-06"
"623687","http://www.infomarket.md/","Info Market","MDA","","ro","","digital_native","","","0.0","2018-04-16"
"623688","http://mybusiness.md/","My Business","MDA","","ru","","digital_native","","","0.0","2022-05-14"
"623689","http://www.puls.md/","Puls","MDA","","ru","","digital_native","","","0.0","2013-10-21"
"623691","http://www.vesti.md/","Vesti - Moldova","MDA","","ru","none","digital_native","","","0.0","2017-10-30"
"623692","http://www.timpul.md/","Timpul","MDA","MD-CU","ro","United States","print_native","","","2.6","2017-11-06"
"623693","http://www.infotag.md/en/","Info Tag - Moldova (English)","MDA","","en","Republic of Moldova","other","","","0.07","2017-10-30"
"623694","http://www.infotag.md/ro/","Info Tag - Moldova (Romanian)","MDA","","ro","","other","","","0.0","2018-04-16"
"623695","http://www.infotag.md/ru/","Info Tag - Moldova (Russian)","MDA","","ru","","other","","","0.0","2018-04-16"
"653473","http://aif.md/","Argumenty i Fakty - Moldova","MDA","MD-CU","ru","none","print_native","","","2.26","2017-12-04"
"656852","http://www.moldova.org/rus/","Moldova (Russian)","MDA","","ro","Georgia","digital_native","","","0.38","2017-12-04"
"656853","http://adevarul.ro/moldova/","Adevarul - Moldova","MDA","MD-CU","ro","none","print_native","","","1.16","2017-12-04"
"656854","http://www.vedomosti.md/","Moldavskie Vedomosti","MDA","MD-CU","ru","none","print_native","","","0.96","2015-05-04"
"656855","http://moldova-suverana.md/","Moldova Suverana","MDA","MD-CU","ro","","print_native","","","0.0","2017-12-04"
"656856","http://zdg.md/eng/","Ziarul de Garda (English)","MDA","MD-CU","en","Republic of Moldova","print_native","","","0.01","2019-06-10"
"656857","http://www.zdg.md/","Ziarul de Garda (Romanian)","MDA","MD-CU","ro","none","print_native","","","1.87","2017-12-11"
"656858","http://gazetadesud.md/","Gazeta de Sud - Moldova","MDA","MD-CM","ro","United States","print_native","","","0.18","2017-12-11"
"656859","http://estcurier.md/","Est Curier","MDA","MD-CR","ro","none","print_native","","","0.17","2017-11-20"
"656860","http://cuvintul.md/","Cuvantul","MDA","MD-RE","ro","none","print_native","","","0.03","2017-12-04"
"656861","http://novostipmr.com/en","Novosti Pridnestrovia (English)","MDA","","en","Republic of Moldova","other","","","0.38","2018-05-14"
"656862","http://novostipmr.com/ru","Novosti Pridnestrovia (Russian)","MDA","","ru","none","other","","","2.51","2018-05-14"
"656863","http://unghiul.info/","Unghiul","MDA","MD-UN","ro","none","print_native","","","0.37","2017-12-11"
"988023","http://apropomagazin.md/","apropomagazin.md","","","","","","","","0.0","2017-12-11"
"1079215","http://contrafort.md/","contrafort.md","","","","","","","","0.0","2020-09-21"
"1720453","https://unghiul.com/","Unghiul – Vezi lumea aşa cum e ea!","","","","","","","","0.42","2020-10-12"
"1720454","https://luminatorul.wordpress.com/","LUMINĂTORUL","","","","","","","","0.0","2022-05-14"
