media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39519","http://www.almessa.net.eg/","almessa","EGY","","ar","none","print_native","","","0.0","2013-07-15"
"39732","http://www.lagachettedumaroc.com/","lagachettedumaroc","MAR","","fr","","print_native","","","0.0","2013-03-11"
"39822","http://www.libe.ma/","libe","MAR","MA-08","fr","none","print_native","","","0.96","2013-05-20"
"40357","http://www.maroc-hebdo.press.ma/","maroc-hebdo","MAR","MA-08","fr","none","print_native","","","0.0","2011-06-06"
"40520","http://www.yabiladi.com/","yabiladi","MAR","","fr","none","video_broadcast","","","2.18","2013-03-11"
"40638","http://www.lnt.ma/","lnt","MAR","MA-08","fr","none","print_native","","","1.84","2013-03-18"
"40929","http://www.leconomiste.com","leconomiste","MAR","MA-08","fr","none","print_native","","","1.34","2013-03-18"
"41341","http://www.lopinion.ma/","lopinion","","","en","none","","","","2.96","2020-09-07"
"41360","http://www.lavieeco.com/","lavieeco","MAR","MA-08","fr","none","print_native","","","1.26","2013-03-11"
"41889","http://albayane.press.ma/","albayane","MAR","MA-08","fr","none","print_native","","","0.68","2013-05-20"
"55564","http://aujourdhui.ma/","aujourdhui.ma","MAR","MA-08","fr","none","print_native","","","1.72","2016-07-11"
"57235","http://oujdacity.net/","oujdacity.net","MAR","","ar","Kingdom of Morocco","digital_native","","","0.79","2013-04-29"
"62922","http://emarrakech.info/","emarrakech.info","MAR","","fr","none","digital_native","","","0.0","2013-05-06"
"64612","http://lematin.ma/","lematin.ma","MAR","MA-08","fr","Kingdom of Morocco","print_native","","","11.94","2015-12-14"
"109349","http://moroccantimes.com/","moroccantimes.com","MAR","","en","Kingdom of Morocco","digital_native","","","0.02","2016-09-05"
"109531","http://telquel.ma/","telquel.ma","MAR","","fr","United States","print_native","","","2.7","2017-10-30"
"109556","http://moroccoworldnews.com/","moroccoworldnews.com","MAR","","en","Kingdom of Morocco","digital_native","","","0.0","2016-08-15"
"300026","http://marocgazette.com/index.php?lang=en","Morocco News Gazette","MAR","","en","","digital_native","","","0.0","2017-12-11"
"300130","http://www.al-jarida.net/","http://www.al-jarida.net/","MAR","","en","none","digital_native","","","0.03","2016-10-10"
"300378","http://www.marocpress.com/en/","MarocPress.com","MAR","","en","Kingdom of Morocco","digital_native","","","0.0","2020-02-10"
"300399","http://www.moroccobusinessnews.com/","Morocco Business News | Morocco Investment","MAR","","en","Kingdom of Morocco","digital_native","","","0.0","2016-10-10"
"499475","http://moroccomedia.com/","moroccomedia.com","MAR","","en","","digital_native","","","0.0","2016-11-07"
"565035","http://medi1.com/","medi1.com","MAR","","ar","none","video_broadcast","","","0.0","2017-11-06"
"623696","http://lobservateurdumaroc.info/","L'Observateur","MAR","","fr","none","digital_native","","","0.0","2018-02-26"
