media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39553","http://www.nacional.hr/","nacional","HRV","","hr","none","print_native","","","0.0","2015-01-26"
"39596","http://www.hic.hr/english/","hic-en","HRV","","en","Republic of Croatia","digital_native","","","0.0","2013-05-20"
"39659","http://www.net.hr/","net","HRV","","hr","none","digital_native","","","11.8","2015-09-28"
"39721","http://dalje.com/en/","javno-en","HRV","","en","none","digital_native","","","0.0","2013-03-11"
"39969","http://www.monitor.hr/","monitor","HRV","","hr","none","digital_native","","","1.48","2013-03-11"
"40485","http://www.glasistre.hr/","glasistre","HRV","","hr","none","print_native","","","16.04","2019-06-10"
"41507","http://www.tportal.hr/","tportal","HRV","","hr","none","digital_native","","","15.02","2013-03-18"
"41513","http://www.poslovni.hr","poslovnidnevnik","HRV","","hr","none","print_native","","","1.99","2013-03-18"
"41610","http://business.hr","business","HRV","","hr","Haute-Normandie","print_native","","","0.0","2013-03-11"
"41691","http://www.index.hr/","index-hr","HRV","","hr","none","digital_native","","","19.67","2018-06-04"
"58090","http://dalje.com/","dalje.com","HRV","","hr","Republic of Croatia","digital_native","","","0.01","2013-04-29"
"63010","http://jutarnji.hr/","jutarnji.hr","HRV","","hr","United States","print_native","","","0.01","2013-05-06"
"65474","http://hrt.hr/","hrt.hr","HRV","","hr","Republic of Ghana","video_broadcast","","","18.68","2013-05-06"
"66171","http://croatiantimes.com/","croatiantimes.com","HRV","","en","none","digital_native","","","0.0","2013-04-29"
"108518","http://dnevnik.hr/","dnevnik.hr","HRV","","hr","none","digital_native","","","5.26","2017-11-06"
"250574","http://vecernji.hr/","vecernji.hr","HRV","","hr","none","print_native","","","13.36","2017-08-07"
"258264","http://24sata.hr/","24sata.hr","HRV","","hr","none","print_native","","","16.94","2017-11-06"
"258473","http://slobodnadalmacija.hr/","slobodnadalmacija.hr","HRV","","hr","none","print_native","","","16.08","2017-12-04"
