media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"29373","http://www.bangkokpost.com#spider","bangkokpost.com","THA","","","","print_native","","","4.74","2017-12-04"
"40340","http://www.bangkokbiznews.com/","bangkokbiznews","THA","","th","none","print_native","","","0.0","2013-03-18"
"40861","http://www.manager.co.th/","manager-th","THA","","da","none","print_native","","","0.0","2013-05-27"
"41324","http://dailynews.co.th/","dailynews-th","THA","","th","none","print_native","","","0.0","2016-10-10"
"62821","http://thairath.co.th/","thairath.co.th","THA","","th","none","print_native","","","10.14","2013-05-06"
"170412","http://chiangmainews.com/","chiangmainews.com","THA","TH-50","en","","print_native","","","0.0","2021-01-11"
"267496","http://pattayatoday.net/","pattayatoday.net","THA","TH-20","en","Kingdom of Thailand","print_native","","","0.4","2018-07-23"
"284797","http://thephuketnews.com/","thephuketnews.com","THA","TH-83","en","Kingdom of Thailand","print_native","","","2.72","2016-06-13"
"290717","http://posttoday.com/","posttoday.com","THA","","th","none","print_native","","","4.91","2017-12-04"
"299976","http://englishnews.thaipbs.or.th/","Thai PBS English News - The Broadcaster You Can Trust","THA","","en","Kingdom of Thailand","video_broadcast","","","1.86","2016-08-15"
"300082","http://thailand.prd.go.th/","http://thailand.prd.go.th/","THA","","en","none","video_broadcast","","","0.0","2022-05-14"
"300385","http://www.mcot.net/news/enews","MCOT.net - Enews News","THA","","en","none","other","","","0.0","2016-10-10"
"300555","http://www.thaiexaminer.com/","Thai Examiner – Thailand's news for foreigners","THA","","en","Kingdom of Thailand","digital_native","","","0.28","2018-07-16"
"300556","http://www.thailand4.com/","Thailand Press Releases","THA","","en","Kingdom of Thailand","digital_native","","","0.0","2016-08-15"
"311082","http://thailandnews.net/","thailandnews.net","THA","","en","Kingdom of Thailand","digital_native","","","0.71","2018-05-07"
"316150","http://phuketgazette.net/","phuketgazette.net","THA","TH-83","en","Kingdom of Thailand","print_native","","","1.89","2017-12-11"
"316754","http://bangkoknews.net/","bangkoknews.net","THA","","en","Kingdom of Thailand","digital_native","","","0.72","2018-05-07"
"354501","http://chiangraitimes.com/","chiangraitimes.com","THA","TH-57","en","Kingdom of Thailand","digital_native","","","2.09","2017-12-11"
"375811","http://www.bangkokshuho.com/","タイのビジネスニュース、バンコク週報","THA","","ja","none","print_native","","","0.39","2017-11-27"
"409905","http://komchadluek.net/","komchadluek.net","THA","","th","none","print_native","","","0.01","2017-11-13"
"503608","http://2bangkok.com/","2bangkok.com","THA","","en","Kingdom of Thailand","digital_native","","","0.0","2013-06-10"
"505328","http://prachachat.net/","prachachat.net","THA","","th","none","print_native","","","8.56","2017-12-11"
"508562","http://pattayamail.com/","pattayamail.com","THA","TH-20","en","none","print_native","","","1.36","2017-12-04"
"531247","http://chiangmai-mail.com/","chiangmai-mail.com","THA","TH-50","en","","print_native","","","0.0","2018-03-26"
"623715","http://ch7.com/","BBTV","THA","","th","none","video_broadcast","","","0.0","2017-11-20"
"623717","http://www.nationtv.tv/","Nation - Thailand","THA","","th","People’s Republic of China","video_broadcast","","","0.01","2017-11-13"
"623718","http://www.prd.go.th/","PRD - Thailand (Thai)","THA","","th","none","video_broadcast","","","0.0","2017-11-13"
"623719","http://www.tnews.co.th/","T News","THA","","th","none","video_broadcast","","","0.0","2019-11-25"
"623720","http://www.thaipbs.or.th/","Thai PBS - Thailand (Thai)","THA","","th","none","video_broadcast","","","2.73","2017-11-06"
"623721","http://www.krobkruakao.com/","Thai TV 3","THA","","th","Kingdom of Thailand","video_broadcast","","","0.0","2017-10-30"
"623722","http://www.tnnthailand.com/","TNN 24","THA","","th","Kingdom of Thailand","video_broadcast","","","0.0","2017-11-13"
"623723","http://www.tv5.co.th/","TV 5 - Thailand","THA","","th","","video_broadcast","","","0.0","2017-10-30"
"623724","http://www.nationweekend.com/","Nation Weekend","THA","","th","","print_native","","","0.0","2018-09-03"
"623725","http://www.khaosod.co.th/","Khao Sod","THA","","th","Kingdom of Thailand","print_native","","","21.27","2017-12-11"
"623726","https://www.matichon.co.th/home","Matichon","THA","","th","Kingdom of Thailand","print_native","","","17.28","2018-07-30"
"623727","http://www.naewna.com/","Naew Na","THA","","th","","print_native","","","0.0","2018-02-12"
"652107","http://www.lepetitjournal.com/bangkok","Le Petit Journal - Thailand","THA","","fr","","digital_native","","","0.0","2020-08-24"
"658250","http://www.pattayablatt.com/","Pattaya Blatt","THA","TH-20","de","","print_native","","","0.18","2021-08-16"
"658252","http://www.pattayaone.net/","Pattaya One","THA","TH-20","en","Kingdom of Thailand","digital_native","","","1.02","2017-08-28"
"658253","http://www.pattayapeople.com/","Pattaya People","THA","TH-20","en","Kingdom of Thailand","print_native","","","0.0","2018-01-22"
"658255","http://www.banmuang.co.th/","Ban Muang","THA","","th","","print_native","","","0.0","2018-06-18"
"658256","http://www.siamsport.co.th/","Siam Keela","THA","","th","","print_native","","","0.0","2018-06-18"
"658257","http://www.siamrath.co.th/","Siam Rath","THA","","th","none","print_native","","","0.34","2017-12-11"
"658258","http://www.siamturakij.com/","Siam Turakij","THA","","th","","print_native","","","0.0","2018-02-12"
"658259","http://www.thaipost.net/","Thai Post","THA","","th","none","print_native","","","0.0","2018-03-19"
"658260","http://www.thanonline.com/","Than Settakij","THA","","en","none","print_native","","","0.0","2017-12-04"
"658262","http://www.thaiwave.com/bonjoursiam/","Bonjour Siam","THA","TH-83","fr","","digital_native","","","0.0","2017-12-04"
