media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38942","http://www.newera.com.na/","newera","NAM","NA-KH","en","Republic of Namibia","print_native","","","0.0","2018-06-18"
"40700","http://www.namibian.com.na/","namibian","NAM","NA-KH","en","Republic of Namibia","print_native","","","1.39","2013-05-20"
"41038","http://www.az.com.na/","AZ","NAM","NA-KH","de","Khomas","print_native","","","0.0","2013-03-18"
"42105","http://www.economist.com.na/","economist-na","NAM","NA-KH","en","Republic of Namibia","print_native","","","1.51","2016-12-05"
"300314","http://www.informante.web.na/","Informante","NAM","","en","Republic of Namibia","print_native","","","0.9","2016-11-21"
"300410","http://www.nampa.org/","Namibia Press Agency","NAM","","en","none","other","","","0.0","2016-10-10"
"300413","http://www.nbc.na/","NBC |","NAM","","en","Republic of Namibia","video_broadcast","","","0.0","2016-08-15"
"509646","http://southernafrican.news/","southernafrican.news","NAM","NA-KH","en","none","print_native","","","0.31","2017-11-27"
"530763","http://republikein.com.na/","republikein.com.na","NAM","NA-KH","af","none","print_native","","","0.0","2017-12-04"
"541904","http://namibiansun.com/","namibiansun.com","","","","","","","","0.0","2020-10-12"
"655152","http://www.thevillager.com.na/","Villager - Namibia","NAM","NA-KH","en","","print_native","","","0.0","2017-12-04"
"656888","http://observer24.com.na/","Windhoek Observer","NAM","NA-KH","en","Republic of Namibia","print_native","","","0.17","2017-12-11"
