media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"299989","http://grenadachronicle.com/","Grenada News","GRD","","en","none","digital_native","","","1.72","2016-08-15"
"299990","http://grenadasports.gd/","GrenadaSports - Highlighting the performances of Grenadian and other Caribbean sporting personalities","GRD","","en","none","digital_native","","","0.0","2016-08-01"
"300045","http://nowgrenada.com/","NOW Grenada - Grenada news, business, sports, culture, history","GRD","","en","Grenada","digital_native","","","0.61","2016-08-15"
"300071","http://spiceislander.com/","http://spiceislander.com/","GRD","","en","none","digital_native","","","0.22","2016-02-29"
"300088","http://thenewtoday.gd/","FRONT","GRD","GD-03","en","Grenada","print_native","","","0.36","2016-08-08"
"300296","http://www.grenadabroadcast.com/","Grenada Broadcast - George Grant - Grenada Broadcast","GRD","","en","Grenada","video_broadcast","","","0.0","2016-08-15"
"300535","http://www.spicegrenada.com/","SpiceGrenada | Grenada online, one Byte at a time!","GRD","","en","Grenada","digital_native","","","0.0","2016-08-15"
"300536","http://www.spicevibes.com/","SpiceVibes","GRD","","en","","digital_native","","","0.0","2018-06-11"
"415824","http://english-1329329990.spampoison.com/","english-1329329990.spampoison.com","GRD","GD-03","","","print_native","","","0.0","2018-04-23"
"623729","http://www.gbn.gd/","Grenada Broadcasting Network","GRD","","en","Grenada","video_broadcast","","","0.23","2019-06-10"
"656078","https://www.thebarnaclenews.com/","Barnacle","GRD","GD-03","en","none","print_native","","","0.27","2017-12-04"
"656079","http://drealfmgrenada.com/","Real FM","GRD","GD-03","en","none","video_broadcast","","","0.14","2017-12-04"
"656080","http://www.weefmgrenada.com/","Wee FM","GRD","GD-03","en","Grenada","video_broadcast","","","0.29","2018-02-19"
"1539055","http://thenewtodaygrenada.com/","thenewtodaygrenada.com","","","","","","","","0.04","2020-03-23"
"1714789","https://thegrenadianvoice.com/","Grenadian Voice","","","","","","","","0.11","2020-10-05"
