media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38695","http://www.regiaodeleiria.pt/","regiaodeleiria","PRT","PT-10","pt","Portuguese Republic","print_native","","","1.1","2013-03-11"
"38707","http://www.ionline.pt/","ionline","PRT","PT-11","pt","United States","print_native","","","3.0","2015-12-28"
"38807","http://expresso.sapo.pt/","expresso-sapo","PRT","PT-11","pt","Portuguese Republic","print_native","","","8.47","2013-03-11"
"38811","http://www.correiodominho.com/","correiodominho","PRT","PT-03","pt","Portuguese Republic","print_native","","","0.0","2013-03-11"
"38988","http://www.oje.pt","oje","PRT","PT-11","pt","Portuguese Republic","print_native","","","7.31","2013-03-18"
"39045","http://www.diariodominho.pt/","diariodominho","PRT","PT-03","pt","Portuguese Republic","print_native","","","2.24","2013-03-11"
"39108","http://www.abola.pt","abola","PRT","PT-11","pt","none","print_native","","","0.0","2013-03-11"
"39303","http://www.omirante.pt/","omirante","PRT","PT-14","pt","Portuguese Republic","print_native","","","0.0","2013-03-04"
"39510","http://www.diarioinsular.com/","diarioinsular","PRT","","pt","Portuguese Republic","print_native","","","0.0","2013-03-11"
"39583","http://www.tvi.iol.pt/","tvi","PRT","","pt","none","video_broadcast","","","7.13","2013-03-18"
"40019","http://www.asbeiras.pt/","asbeiras","","","pt","Portuguese Republic","","","","0.91","2013-03-18"
"40151","http://www.correiodoribatejo.com/","correiodoribatejo","","","pt","Portuguese Republic","","","","0.0","2017-07-31"
"40156","http://rr.sapo.pt/","rr","PRT","","pt","none","video_broadcast","","","12.98","2015-09-28"
"40242","http://www.mdb.pt/","mdb","PRT","PT-04","pt","none","print_native","","","0.01","2013-03-11"
"40339","http://www.jb.pt/","jb","PRT","PT-01","pt","Portuguese Republic","print_native","","","0.51","2013-03-18"
"40428","http://www.avante.pt/","avante","PRT","PT-11","none","Portuguese Republic","print_native","","","0.16","2013-05-20"
"40577","http://visao.sapo.pt/","visao","PRT","","pt","none","print_native","","","6.68","2013-03-18"
"40670","http://www.diarioleiria.pt/","diarioleiria","PRT","PT-10","none","none","print_native","","","0.0","2018-10-15"
"40672","http://www.sapo.pt/","sapo","PRT","","pt","none","digital_native","","","2.02","2013-05-20"
"40874","http://www.theportugalnews.com/","theportugalnews","PRT","PT-08","en","Portuguese Republic","print_native","","","0.0","2013-05-20"
"40903","http://www.cmjornal.xl.pt/","cmjornal","PRT","PT-11","pt","United States","print_native","","","13.81","2013-05-27"
"40993","http://www.auniao.com/","auniao","PRT","","en","none","print_native","","","0.0","2013-05-27"
"41088","http://www.publico.pt/","Publico","PRT","PT-11","pt","Portuguese Republic","print_native","","","6.79","2013-05-27"
"41193","http://www.sabado.pt/","sabado","PRT","","pt","United States","print_native","","","0.09","2013-03-18"
"41224","http://www.ptjornal.com/","ptjornal","","","pt","none","","","","0.12","2016-02-15"
"41251","http://www.destak.pt/","destak","PRT","PT-11","pt","none","print_native","","","13.07","2013-03-18"
"41301","http://www.jornaldofundao.pt/","jornaldofundao","PRT","PT-05","pt","Portuguese Republic","print_native","","","0.02","2013-08-05"
"41417","http://www.dnoticias.pt/","dnoticias","PRT","","pt","Portuguese Republic","print_native","","","11.29","2016-01-25"
"41641","http://www.ointerior.pt","ointerior","PRT","PT-09","pt","Portuguese Republic","print_native","","","0.26","2013-03-11"
"41656","http://www.reconquista.pt/","reconquista","","","pt","none","","","","0.0","2016-10-10"
"41703","http://www.diariocoimbra.pt/","diariocoimbra","PRT","PT-06","pt","none","print_native","","","0.0","2013-03-18"
"41880","http://www.acorianooriental.pt/","acorianooriental","PRT","","pt","Portuguese Republic","print_native","","","4.44","2013-03-18"
"42173","http://www.jornalnordeste.com/","jornalnordeste","PRT","PT-04","pt","Portuguese Republic","print_native","","","0.36","2013-03-25"
"72809","http://www.jornaldenegocios.pt/#spider","jornaldenegocios.pt","PRT","PT-11","pt","none","print_native","","","4.68","2017-11-06"
"118171","http://dre.pt/","dre.pt","PRT","PT-11","pt","none","print_native","","","0.11","2017-10-30"
"144178","http://noticiasaominuto.com/","noticiasaominuto.com","PRT","","","","","","","26.76","2020-01-13"
"144455","http://jn.pt/","jn.pt","PRT","PT-13","pt","Portuguese Republic","print_native","","","12.82","2017-10-30"
"179032","http://dn.pt/","dn.pt","PRT","PT-11","pt","none","print_native","","","0.0","2016-06-06"
"272136","http://observador.pt/","observador.pt","","","pt","United States","","","","13.72","2020-01-13"
"273575","http://ojogo.pt/","ojogo.pt","PRT","PT-13","pt","none","print_native","","","10.98","2017-07-03"
"274756","http://rtp.pt/","rtp.pt","PRT","","pt","","video_broadcast","","","0.0","2016-03-14"
"275168","http://record.xl.pt/","record.xl.pt","PRT","PT-11","pt","none","print_native","","","13.96","2017-10-30"
"275337","http://economico.sapo.pt/","economico.sapo.pt","PRT","PT-11","pt","none","print_native","","","6.78","2017-12-04"
"282180","http://tsf.pt/","tsf.pt","PRT","","pt","none","video_broadcast","","","6.6","2017-11-06"
"302974","http://cmjornal.pt/","cmjornal.pt","","","","","","","","13.21","2020-10-19"
"325897","http://diariodigital.sapo.pt/","diariodigital.sapo.pt","PRT","","pt","none","digital_native","","","0.33","2018-04-16"
"325919","http://sol.sapo.pt/","sol.sapo.pt","PRT","PT-11","none","none","print_native","","","2.86","2016-11-28"
"332419","http://jm-madeira.pt/","jm-madeira.pt","","","","","","","","7.42","2020-10-19"
"338687","http://correiodominho.pt/","correiodominho.pt","","","","","","","","0.0","2020-10-12"
"358670","https://www.lusa.pt/","lusa.pt","PRT","","","","other","","","0.0","2018-09-17"
"474079","http://portugalresident.com/","portugalresident.com","PRT","PT-08","en","Portuguese Republic","print_native","","","1.1","2017-12-11"
"623737","http://www.rtp.pt/wportal/teletexto/","RTP - Portugal (Portuguese)","PRT","","pt","","video_broadcast","","","0.0","2017-10-30"
"623738","http://sic.sapo.pt/","SIC","PRT","","pt","United States","video_broadcast","","","0.0","2017-11-06"
"623741","https://www.globalimagens.pt/","Global Imagens","PRT","","pt","","other","","","0.0","2019-05-13"
"649859","http://www.diariodetrasosmontes.com/","Diário de Trás-os-Montes | Montes de Notícias","PRT","PT-04","pt","none","print_native","","","0.84","2017-11-27"
"653561","http://www.expatica.com/pt/","Expatica - Portugal","PRT","","en","Portuguese Republic","digital_native","","","0.21","2019-08-26"
"657363","http://www.ilhamaior.pt/","Ilha Maior","PRT","","","","print_native","","","0.0","2018-09-03"
