media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39452","http://www.virumaateataja.ee/","virumaateataja","EST","","et","Republic of Estonia","print_native","","","0.0","2013-03-11"
"39478","http://online.le.ee/","le-ee","EST","EE-57","et","Republic of Estonia","print_native","","","1.09","2013-03-18"
"39558","http://www.delfi.ee","delfi-ee","EST","","et","none","digital_native","","","6.67","2013-03-18"
"40611","http://www.eestikirik.ee/","eestikirik","EST","EE-78","et","none","print_native","","","0.33","2013-03-11"
"40679","http://www.postimees.ee/","postimees","EST","EE-78","et","none","print_native","","","0.0","2013-03-18"
"40875","http://uudised.err.ee/","err","EST","","et","none","video_broadcast","","","9.44","2013-03-18"
"41018","http://www.valgamaalane.ee/","valgamaalane","EST","EE-82","et","Republic of Estonia","print_native","","","0.0","2013-03-11"
"41370","http://www.dv.ee/","ap3-ru","EST","EE-37","ru","Republic of Estonia","print_native","","","1.29","2013-05-20"
"41465","http://www.baltictimes.com/","BalticTimes","EST","EE-37","en","none","print_native","","","1.08","2013-03-18"
"41569","http://news.err.ee/","err-ee","EST","","en","Republic of Estonia","video_broadcast","","","1.88","2013-03-18"
"46629","http://rus.delfi.ee/#spider","rus.delfi.ee","EST","","ru","none","digital_native","","","5.3","2017-10-30"
"50046","http://www.moles.ee/#spider","moles.ee","EST","EE-37","ru","","print_native","","","0.0","2012-11-19"
"179249","http://soov.ee/","soov.ee","EST","EE-37","et","","print_native","","","0.0","2018-05-28"
"180069","http://sakala.ajaleht.ee/","sakala.ajaleht.ee","EST","EE-84","et","none","print_native","","","0.0","2017-12-04"
"180084","http://jt.ee/","jt.ee","EST","EE-51","et","none","print_native","","","0.0","2017-12-04"
"180185","http://parnupostimees.ee/","parnupostimees.ee","EST","EE-67","et","none","print_native","","","0.0","2017-12-04"
"263421","http://hot.ee/","hot.ee","EST","","et","","digital_native","","","0.0","2017-10-30"
"282146","http://ohtuleht.ee/","ohtuleht.ee","EST","EE-37","et","none","print_native","","","0.0","2017-10-30"
"295948","http://aripaev.ee/","aripaev.ee","EST","EE-37","et","Jerusalem","print_native","","","2.32","2017-11-06"
"299934","http://balticguide.ee/en/?l","The Baltic Guide Online |","EST","","en","Republic of Estonia","print_native","","","0.91","2020-04-27"
"299977","http://estonianfreepress.com/","Quanto Si Può Guadagnare le Opzioni Binarie?","EST","","none","none","digital_native","","","0.0","2016-01-04"
"304897","http://kesknadal.ee/","kesknadal.ee","","","","","","","","0.34","2020-10-12"
"561409","http://kompravda.eu/","kompravda.eu","EST","EE-37","ru","","print_native","","","4.16","2021-05-31"
"568674","http://pealinn.ee/","pealinn.ee","","","","","","","","1.67","2020-10-12"
"623743","http://rus.err.ee/","ERR - Estonia (Russian)","EST","","ru","none","video_broadcast","","","5.53","2017-11-06"
"623744","http://balticguide.ee/?l","Baltic Guide - Estonia (Estonian)","EST","","fi","","print_native","","","0.0","2018-08-13"
"623745","http://balticguide.ee/ru/?l","Balitic Guide","EST","","ru","","print_native","","","0.0","2018-04-16"
"623746","http://www.kesknadal.ee/est/g2/uudised?id=18396","Kesknadal","EST","","et","none","print_native","","","0.34","2017-10-30"
"623747","http://epl.delfi.ee/","Eesti Paevaleht","EST","EE-37","et","none","print_native","","","0.72","2019-05-27"
"623748","http://maaleht.delfi.ee/","Maaleht","EST","EE-37","et","Aragon","print_native","","","0.0","2017-10-30"
"623749","http://www.bns.ee/","BNS - Estonia","EST","","et","","other","","","0.0","2022-05-14"
"624233","http://ekspress.delfi.ee/","Eesti Ekspress","EST","EE-37","et","","print_native","","","0.0","2017-11-27"
"649849","http://www.prospekt.ee/","Viru Prospekt","EST","","ru","none","print_native","","","0.0","2017-12-04"
"655738","http://sonumitooja.ee/","Sonumitooja","EST","EE-37","et","none","print_native","","","0.23","2017-11-27"
"655739","http://baltische-rundschau.eu/","Baltische Rundschau","EST","EE-37","de","none","print_native","","","0.17","2018-04-23"
"655740","http://www.harjuelu.ee/","Harju Elu","EST","EE-37","et","none","print_native","","","0.22","2017-11-27"
"655741","http://www.kuldnebors.ee/index.mec","Kuldne Bors","EST","EE-37","et","none","print_native","","","2.36","2019-06-03"
"655742","http://www.linnaleht.ee/","Linnaleht","EST","EE-37","et","none","print_native","","","0.0","2017-10-30"
"655743","http://www.mke.ee/","MK Estoniia","EST","EE-37","ru","","print_native","","","0.0","2022-05-14"
"655744","http://www.nelli.ee/","Nelli Teataja","EST","EE-37","et","","print_native","","","0.0","2017-12-04"
"655745","http://www.hiiuleht.ee/","Hiiu Leht","EST","EE-39","et","none","print_native","","","0.22","2017-12-04"
"655746","http://www.aserivv.ee/infoleht/","Aseri Valla Leht","EST","","et","","print_native","","","0.0","2017-12-04"
"655747","http://www.avinurme.ee/?s=51","Awwinorm","EST","","et","","print_native","","","0.0","2017-12-04"
"655748","http://www.pohjarannik.ee/","Pohjarannik","EST","","et","none","print_native","","","0.0","2017-12-04"
"655749","http://rus.pohjarannik.ee/","Severnoje Poberezje","EST","","ru","none","print_native","","","0.0","2017-12-04"
"655750","http://www.narvaleht.ee/","Narva","EST","","ru","none","print_native","","","0.11","2017-12-04"
"655751","http://www.vooremaa.ee/","Vooremaa","EST","EE-49","et","","print_native","","","0.0","2022-05-14"
"655752","http://peipsirannik.info/","Chudskoe Poberezhe","EST","EE-49","ru","none","print_native","","","0.01","2016-08-08"
"655753","http://peipsirannik.info/et","Peipsirannik","EST","EE-49","et","none","print_native","","","0.01","2014-06-16"
"655754","http://www.kuulutaja.ee/","Kuulutaja","EST","","et","none","print_native","","","0.19","2017-11-27"
"655755","http://www.vnl.ee/","Virumaa Nadalaleht","EST","","et","","digital_native","","","0.0","2017-12-04"
"655756","http://www.polvakoit.ee/","Koit","EST","EE-65","et","","print_native","","","0.0","2017-12-04"
"655757","http://www.setomaa.ee/index.php?id=c4ca4238a0b923820dcc509a6f75849b","Setomaa","EST","EE-65","et","none","print_native","","","2.36","2017-12-04"
"655758","http://www.sonumid.ee/","Raplamaa Sonumid","EST","EE-70","et","none","print_native","","","0.3","2018-05-28"
"655759","https://www.meiemaa.ee/","Meie Maa","EST","EE-74","et","none","print_native","","","0.11","2017-12-04"
"655760","http://www.saartehaal.ee/","Saarte Haal","EST","EE-74","et","Republic of Estonia","print_native","","","0.0","2017-12-04"
"655761","http://www.lounaleht.ee/","Lounaleht","EST","EE-86","et","","print_native","","","0.0","2018-07-16"
"655762","http://www.umaleht.ee/","Uma Leht","EST","EE-86","vro","","print_native","","","0.0","2016-04-18"
"655763","http://www.vorumaateataja.ee/","Vorumaa Teataja","EST","EE-86","et","none","print_native","","","0.14","2017-12-04"
