media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"50134","http://www.ozodlik.org/#spider","ozodlik.org","UZB","","uz","none","video_broadcast","","","1.16","2017-11-06"
"56790","http://press-uz.info/","press-uz.info","UZB","","ru","none","digital_native","","","0.03","2013-04-22"
"263420","http://uzdaily.com/","uzdaily.com","UZB","","en","Republic of Uzbekistan","digital_native","","","0.0","2016-08-15"
"306296","http://amerikaovozi.com/","amerikaovozi.com","UZB","","uz","Republic of Uzbekistan","video_broadcast","","","0.82","2017-11-06"
"306366","http://uzbekistannews.net/","uzbekistannews.net","UZB","","en","none","digital_native","","","2.18","2018-05-07"
"623772","http://www.anons.uz/ru/","Anons - Uzbekistan (Russian)","UZB","","ru","none","digital_native","","","0.0","2019-04-01"
"623773","http://www.anons.uz/uz/","Anons - Uzbekistan (Uzbek)","UZB","","ru","none","digital_native","","","0.0","2019-02-04"
"623774","http://asr.uz/","ASR","UZB","","uz","none","digital_native","","","0.0","2017-11-06"
"623775","https://daryo.uz/","Daryo","UZB","","uz","none","digital_native","","","6.44","2017-12-11"
"623776","https://www.gazeta.uz/ru/","Gazeta - Uzbekistan (Russian)","UZB","","ru","none","digital_native","","","1.67","2017-11-06"
"623777","https://www.gazeta.uz/uz/","Gazeta - Uzbekistan (Uzbek)","UZB","","uz","none","digital_native","","","1.6","2018-01-08"
"623778","https://haqida.net/uz/","Haqida - Uzbekistan (Uzbek)","UZB","","ru","none","digital_native","","","0.0","2017-11-06"
"623779","http://hordiq.uz/","Hordiq","UZB","","uz","Kingdom of Thailand","digital_native","","","1.64","2017-11-06"
"623781","http://kun.uz/en","Kun - Uzbekistan (English)","UZB","","uz","none","digital_native","","","3.17","2017-11-06"
"623782","http://kun.uz/ru","Kun - Uzbekistan (Russian)","UZB","","uz","none","digital_native","","","3.41","2017-11-06"
"623783","http://kun.uz/","Kun - Uzbekistan (Uzbek)","UZB","","uz","none","digital_native","","","3.18","2017-11-06"
