media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39203","http://www.lapresse.tn/","LaPresse","TUN","TN-11","fr","none","print_native","","","1.42","2019-08-26"
"39461","http://www.tap.info.tn/en/","ATAP-en","TUN","","en","none","other","","","0.0","2016-05-30"
"40897","http://www.essahafa.info.tn/","essahafa","TUN","TN-11","ar","none","print_native","","","0.0","2013-07-22"
"40970","http://www.realites.com.tn/","realites","TUN","","fr","none","print_native","","","1.33","2015-09-28"
"41242","http://www.letemps.com.tn/","letemps-tn","TUN","TN-11","fr","none","print_native","","","0.0","2013-09-30"
"110842","http://leaders.com.tn/","leaders.com.tn","TUN","","fr","Republic of Tunisia","print_native","","","0.49","2017-11-06"
"123967","http://alchourouk.com/","alchourouk.com","TUN","TN-11","ar","none","print_native","","","0.01","2017-12-11"
"208348","http://tunisiadaily.com/","tunisiadaily.com","TUN","","ru","none","digital_native","","","0.0","2017-11-20"
"258088","http://gnet.tn/","gnet.tn","TUN","","fr","none","digital_native","","","0.0","2017-11-06"
"258209","http://babnet.net/","babnet.net","TUN","","none","none","digital_native","","","5.63","2018-09-03"
"300079","http://tdailynews.net/index.php?lang=en","Tunis Daily News","TUN","","en","Republic of Tunisia","digital_native","","","0.0","2016-10-10"
"564603","http://tunisiefocus.com/","tunisiefocus.com","TUN","","fr","Washington","digital_native","","","0.74","2017-10-30"
"623817","http://www.radiotunis.com/","Radio Tunis","TUN","","fr","","video_broadcast","","","0.0","2016-02-29"
"623818","http://www.watania1.tn/","Watania 1","TUN","","fr","","video_broadcast","","","0.0","2022-05-14"
"623819","http://www.infotunisie.com/","Info Tunisie","TUN","","fr","","digital_native","","","0.0","2017-08-21"
"623820","http://www.leconomistemaghrebin.com/","L'Economiste Maghrebin","TUN","","fr","Republic of Tunisia","print_native","","","1.69","2017-11-06"
"623821","http://ar.leaders.com.tn/","Leaders - Tunisia (Arabic)","TUN","","ar","none","print_native","","","0.0","2017-11-13"
"623822","http://www.tunivisions.net/","Tunivisions","TUN","","fr","Republic of Tunisia","print_native","","","0.0","2018-07-30"
"623823","http://www.assabah.com.tn/","Assabah - Tunisia","TUN","TN-11","ar","none","print_native","","","0.0","2018-09-10"
"623824","http://www.tap.info.tn/ar/","Agence Tunis Afrique Presse - Tunisia (Arabic)","TUN","","ar","","other","","","0.0","2017-10-30"
"623825","http://www.tap.info.tn/fr/","Agence Tunis Afrique Presse - Tunisia (French)","TUN","","fr","","other","","","0.0","2017-10-30"
"651145","http://www.lemaghreb.tn/","Le Maghreb - Tunisia","TUN","TN-11","ar","none","print_native","","","0.68","2019-06-17"
"658285","http://www.lexpertjournal.net/","جريدة الخبير","TUN","TN-11","ar","none","print_native","","","0.1","2019-04-29"
"658286","http://www.lexpertjournal.net/fr/","L'expert journal","TUN","TN-11","fr","none","print_native","","","0.1","2018-07-02"
"764481","http://businessnews.com.tn/","businessnews.com.tn","","","","","","","","0.0","2018-04-30"
"1720577","https://www.assarih.com/","الصريح أونلاين تونس","","","","","","","","4.74","2021-11-22"
"1720578","http://www.alkabarplus.net/","Alkabarplus.net","","","","","","","","0.22","2020-09-28"
"1720579","http://kapitalis.com/tunisie/","Kapitalis l'actualité en Tunisie : Accueil","","","","","","","","1.88","2020-10-12"
