media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"18651","http://www.boe.es","boe.es","ESP","ES-M","es","none","print_native","","","75.1","2017-01-30"
"19621","http://www.elplural.com","elplural.com","ESP","ES-CT","es","none","digital_native","","","4.58","2018-07-23"
"20550","http://www.noticiasdealava.com","noticiasdealava.com","ESP","ES-PV","es","none","print_native","","","3.43","2016-05-02"
"20994","http://elpais.com","elpais.com","ESP","ES-M","","","print_native","","","11.68","2018-08-27"
"21693","http://www.lavozdegalicia.es","lavozdegalicia.es","ESP","ES-GA","es","none","print_native","","","9.76","2013-06-03"
"21824","http://www.granadahoy.com","granadahoy.com","ESP","ES-AN","es","none","print_native","","","1.3","2017-03-27"
"21886","http://www.elconfidencial.com","elconfidencial.com","ESP","","es","United States","digital_native","","","14.41","2013-09-02"
"22176","https://www.efe.com/efe/espana/1","EFE","ESP","","es","none","other","","","23.68","2017-04-03"
"22975","http://www.cincodias.com","cincodias.com","ESP","ES-M","es","none","print_native","","","10.02","2017-02-27"
"23286","http://www.elcomercio.es","elcomercio.es","ESP","ES-AS","es","none","print_native","","","102.09","2017-07-03"
"25793","http://www.elcorreoweb.es","elcorreoweb.es","ESP","ES-AN","es","none","print_native","","","4.01","2017-03-27"
"38721","http://www.hoy.es/","HoyDigital","ESP","ES-EX","es","none","print_native","","","118.36","2013-03-18"
"38797","http://www.elperiodicoextremadura.com/","elperiodicoextremadura","ESP","ES-EX","es","Kingdom of Spain","print_native","","","16.99","2013-03-11"
"38845","http://elprogreso.galiciae.com/","elprogresogaliciae","ESP","ES-GA","es","none","print_native","","","6.43","2013-03-11"
"38958","http://www.heraldo.es/","heraldo","ESP","ES-AR","es","none","print_native","","","14.47","2013-04-01"
"38967","http://www.europasur.es/","europasur","ESP","ES-AN","es","Federal Republic of Germany","print_native","","","1.39","2014-01-06"
"38990","http://www.diariovasco.com/","DiarioVasco","ESP","ES-PV","es","none","print_native","","","131.51","2013-03-11"
"39009","http://www.laopiniondemalaga.es","laopiniondemalaga","ESP","ES-AN","es","Montana","print_native","","","17.74","2013-03-11"
"39049","http://www.agrodigital.com/","agrodigital","ESP","","es","none","digital_native","","","0.0","2017-11-06"
"39162","http://www.laopiniondezamora.es/","laopiniondezamora","ESP","ES-CL","es","none","print_native","","","18.04","2013-03-11"
"39248","http://www.diarioinformacion.com","diarioInformacion","ESP","ES-VC","es","Kingdom of Spain","print_native","","","25.68","2013-03-11"
"39278","http://canarias24horas.com","canarias24horas","ESP","ES-CN","es","Kingdom of Spain","digital_native","","","0.56","2013-05-27"
"39406","http://www.mallorcazeitung.es/","mallorcazeitung","ESP","ES-IB","de","none","print_native","","","1.94","2013-03-04"
"39557","http://www.diariodemallorca.es/","DiarioDeMallorca","ESP","ES-IB","es","none","print_native","","","22.79","2013-03-18"
"39633","http://www.regio7.cat/","regio7","ESP","ES-CT","ca","none","print_native","","","6.42","2013-03-11"
"39690","http://www.radiogranada.es/","radiogranada","ESP","ES-AN","es","none","video_broadcast","","","1.19","2013-03-11"
"39724","http://www.melillahoy.es/","MelillaHoy","ESP","ES-ML","es","Kingdom of Spain","print_native","","","1.98","2018-03-19"
"39826","http://www.noticiasdenavarra.com/","noticiasdenavarra","ESP","ES-NA","es","none","print_native","","","3.93","2013-03-11"
"39848","http://www.abc.es/","abc","ESP","ES-M","es","none","print_native","","","30.38","2013-03-18"
"40047","http://www.canarias7.es","canarias7","ESP","ES-CN","es","none","print_native","","","61.74","2013-03-18"
"40091","http://www.rtve.es/","rtve","ESP","","es","none","video_broadcast","","","38.07","2013-03-11"
"40246","http://dbalears.cat/","DiariDeBalears","ESP","ES-IB","ca","Kingdom of Spain","print_native","","","1.89","2013-03-18"
"40288","http://www.levante-emv.com/","levante-emv","ESP","ES-VC","es","Montana","print_native","","","28.31","2013-03-11"
