media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38871","http://www.eltiempo.com","El Tiempo","COL","","","","print_native","","","22.84","2013-03-11"
"40941","http://www.elespectador.com","El Espectador","COL","","es","none","print_native","","","0.09","2016-10-10"
"42072","http://www.semana.com","Semana","COL","","es","Republic of Colombia","print_native","","","0.0","2013-03-25"
"57790","http://wradio.com.co/","wradio.com.co","","","es","United States","","","","8.8","2013-05-06"
"58360","http://diariodelhuila.com/","Diario del Huila","COL","CO-HUI","es","none","print_native","","","2.86","2013-05-06"
"58660","http://caracol.com.co/","Caracol Radio","COL","","es","none","video_broadcast","","","4.38","2013-05-06"
"59058","http://colombiareports.com/","Colombia Reports","COL","","en","Republic of Colombia","digital_native","","","0.13","2013-05-06"
"59589","https://canal1.com.co/noticias/","Canal 1","COL","","es","Republic of Colombia","video_broadcast","","","0.0","2013-05-06"
"60338","http://terra.com.co/","terra.com.co","COL","","en","none","digital_native","","","0.0","2014-04-28"
"61607","http://caracoltv.com/","Caracol TV","COL","","es","none","video_broadcast","","","0.01","2016-02-01"
"62209","http://elpais.com.co/","El Pais.com","","","es","none","","","","5.99","2013-04-29"
"63889","http://elcolombiano.com/","El Colombiano","COL","CO-ANT","es","none","print_native","","","0.04","2016-05-30"
"63921","http://lasillavacia.com/","La Silla Vacia","","","es","Republic of Colombia","","","","0.01","2013-05-06"
"74622","http://www.rcnradio.com/#spider","rcnradio.com","","","es","United States","","","","6.31","2020-02-10"
"120254","http://pulzo.com/","Pulzo","COL","","es","none","digital_native","","","6.14","2016-12-05"
"127258","http://lapatilla.com/","lapatilla.com","ITA","","es","none","digital_native","","","15.19","2017-11-06"
"211343","http://dinero.com/","Dinero","COL","","es","Republic of Colombia","print_native","","","0.0","2017-01-30"
"244139","http://lafm.com.co/","lafm.com.co","","","es","United States","","","","4.4","2018-10-15"
"277109","http://las2orillas.co/","las2orillas.co","","","es","People’s Republic of China","","","","5.1","2018-02-12"
