media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38890","http://news.chinatimes.com/","chinatimes","TWN","TW-TPQ","zh","none","print_native","","","0.0","2017-05-22"
"39329","http://udn.com/","udn","CHN","TW-TPQ","zh","none","print_native","","","114.82","2013-03-18"
"40066","http://www.chinapost.com.tw/","ChinaPost","TWN","TW-TPQ","en","none","print_native","","","0.0","2013-03-18"
"40633","http://focustaiwan.tw/","focustaiwan","TWN","","en","Taiwan","other","","","1.94","2016-01-11"
"41566","http://japan.cna.com.tw/","focustaiwan-ja","TWN","","ja","none","other","","","0.0","2013-07-15"
"41695","http://www.cna.com.tw/","Central News Agency 中央通訊社","CHN","","zh","none","other","","","23.23","2013-05-27"
"60345","http://taipeitimes.com/","Taipei Times","TWN","TW-TPQ","en","none","print_native","","","4.22","2013-04-29"
"62360","http://tw.news.yahoo.com/","Yahoo News Taiwan 奇摩新聞 台灣","TWN","","zh","United States","digital_native","","","243.21","2017-04-10"
"64907","http://news.cts.com.tw/","華視新聞 CTS News","TWN","","zh","Taiwan","video_broadcast","","","0.0","2013-06-17"
"65385","http://etaiwannews.com/","etaiwannews.com","TWN","TW-TPQ","en","Taiwan","print_native","","","0.0","2014-09-29"
"75603","http://www.appledaily.com.tw/#spider","appledaily.com.tw","TWN","TW-TPQ","none","none","print_native","","","0.0","2017-10-30"
"137108","http://ltn.com.tw/","ltn.com.tw","TWN","TW-TPQ","none","Taiwan","print_native","","","68.43","2014-04-07"
"182084","http://ettoday.net/","ettoday.net","TWN","","zh","none","digital_native","","","60.82","2015-01-19"
"188226","https://taiwantoday.tw/index.php","Taiwan Today","TWN","TW-TPQ","en","Taiwan","print_native","","","1.2","2018-07-30"
"299970","http://eng.pts.org.tw/","PTS","TWN","","en","","video_broadcast","","","0.0","2015-02-09"
"299975","http://englishnews.ftv.com.tw/","民視英語新聞","TWN","","en","Taiwan","video_broadcast","","","0.0","2016-10-10"
"300306","http://www.icrt.com.tw/","ICRT","TWN","","en","Taiwan","video_broadcast","","","0.12","2016-10-10"
"319334","http://taipeinews.net/","taipeinews.net","TWN","TW-TPQ","en","Taiwan","digital_native","","","0.94","2018-11-26"
"354459","http://www.rti.org.tw/","RTI","TWN","","none","none","video_broadcast","","","8.04","2018-10-29"
"440099","http://reading.udn.com/upaper/","Upaper","TWN","TW-TPQ","zh","","print_native","","","0.0","2017-07-10"
"440107","http://www.bcc.com.tw/","中國廣播公司全球資訊網","TWN","","zh","","video_broadcast","","","0.0","2017-07-10"
"440110","http://www.ftv.com.tw/index.aspx","【民視FTV】","TWN","","zh","","video_broadcast","","","0.0","2017-07-10"
"440131","http://news.pts.org.tw/","公視新聞網","TWN","","none","Taiwan","video_broadcast","","","3.54","2017-07-10"
"440135","http://www.cdns.com.tw/","中華日報新聞網","TWN","TW-TPQ","none","none","print_native","","","12.62","2020-11-09"
"440136","http://www.tssdnews.com.tw/","Taiwan Shin Sheng Daily News 台灣新生報","TWN","TW-TPQ","zh","","print_native","","","0.0","2017-07-10"
"440143","http://www.cmn.com.tw/","Chinese Metropolitan News 中國都會時報","TWN","","zh","","digital_native","","","0.0","2017-07-10"
"440145","http://www.twtimes.com.tw/","臺灣時報 Taiwan Times","TWN","TW-TPQ","none","none","print_native","","","18.73","2014-03-10"
"623837","http://www.ctv.com.tw/","CTV - Taiwan","TWN","","zh","","video_broadcast","","","0.0","2018-02-26"
"623838","http://www.ttv.com.tw/","TTV","TWN","","none","none","video_broadcast","","","8.34","2017-10-30"
"623839","http://taiwaninfo.nat.gov.tw/","Taiwan Info","TWN","","fr","Taiwan","print_native","","","0.58","2018-07-30"
"623840","https://taipanorama.tw/index.php","Taivanskaya Panorama","TWN","","ru","none","print_native","","","0.28","2017-10-30"
"623841","https://taiwanheute.tw/index.php","Taiwan Heute","TWN","","de","Taiwan","print_native","","","0.28","2017-10-30"
"623842","https://noticias.nat.gov.tw/index.php","Taiwan Hoy","TWN","","es","none","print_native","","","0.67","2018-07-30"
"623843","http://spanish.cna.com.tw/ReadNews/Spnlist_Read.aspx","Central News Agency - Taiwan (Spanish)","TWN","","es","","other","","","0.0","2018-04-16"
"652963","http://ct.asiatoday.com/","Asia Today - Taiwan","TWN","","zh","","digital_native","","","0.02","2018-01-22"
"658234","http://www.ksnews.com.tw/","Keng Sheng Daily News","TWN","TW-HUA","zh","","print_native","","","0.0","2017-12-04"
"658235","http://www.kmdn.gov.tw/ch/index.aspx","Kinmen Daily News","TWN","","none","none","print_native","","","1.5","2017-12-04"
"658236","http://www.matsu-news.gov.tw/","Matsu News","TWN","","zh","","print_native","","","0.0","2017-12-04"
"658238","http://www.taiwandaily.net/","Taiwan Daily","TWN","TW-TPQ","none","United States","print_native","","","2.81","2018-07-30"
