media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"13286","http://jet84.livejournal.com","Jet","FJI","FJ-W","ru","none","print_native","","","0.0","2011-01-03"
"58676","http://mailife.com.fj/","mailife.com.fj","","","en","Republic of Fiji","","","","0.0","2014-11-10"
"60705","http://fiji.gov.fj/","fiji.gov.fj","FJI","","en","Republic of Fiji","digital_native","","","0.0","2015-12-21"
"61015","http://islandsbusiness.com/","islandsbusiness.com","FJI","","en","none","print_native","","","0.36","2013-05-06"
"62925","http://fijilive.com/","fijilive.com","FJI","","en","Republic of Fiji","digital_native","","","0.0","2012-05-28"
"63285","http://fijitimes.com/","fijitimes.com","FJI","FJ-C","en","Republic of Fiji","print_native","","","0.0","2013-05-06"
"65828","http://fijivillage.com/","fijivillage.com","FJI","","en","Republic of Fiji","digital_native","","","0.0","2013-07-15"
"247751","http://fijisun.com.fj/","fijisun.com.fj","FJI","FJ-C","en","Republic of Fiji","print_native","","","1.9","2016-08-15"
"299982","http://fijione.tv/","Fiji One","FJI","","en","Republic of Fiji","video_broadcast","","","0.0","2016-08-15"
"300001","http://intelligentsiya.blogspot.com/","Intelligentsiya","FJI","","en","","digital_native","","","0.0","2014-04-07"
"300057","http://republikamagazine.com/","http://republikamagazine.com/","FJI","","en","none","print_native","","","0.0","2017-09-18"
"300271","http://www.fbc.com.fj/","FBC News","FJI","","en","Republic of Fiji","video_broadcast","","","2.81","2019-07-01"
"623844","http://www.fijileaks.com/","Fiji Leaks","FJI","","en","Republic of Fiji","digital_native","","","0.14","2017-10-30"
"623845","http://www.fiji.gov.fj/Media-Center/Fiji-Focus.aspx","Fiji Focus","FJI","FJ-C","en","","print_native","","","0.0","2017-11-06"
"1253964","http://fbcnews.com.fj/","fbcnews.com.fj","","","","","","","","2.77","2020-10-12"
"1714155","https://newswire.internet.com.fj/","Newswire - The latest Fiji news, weather and sports updates","","","","","","","","0.0","2016-05-02"
