media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39101","http://www.nationnews.com/","nationnews","BRB","BB-08","en","none","print_native","","","1.12","2013-03-11"
"164991","http://barbadosadvocate.com/","barbadosadvocate.com","BRB","BB-08","en","Barbados","print_native","","","0.0","2017-11-13"
"178584","http://bajanreporter.com/","bajanreporter.com","BRB","","en","none","digital_native","","","0.17","2016-08-08"
"282666","http://barbadostoday.bb/","barbadostoday.bb","BRB","BB-08","en","Barbados","print_native","","","2.34","2017-12-04"
"300185","http://www.barbadosgazette.com/","Barbados News","BRB","","en","none","digital_native","","","1.99","2016-08-15"
"300186","http://www.barbadosnews.net/","Updating Barbados News, World & Business Reports","BRB","","en","none","digital_native","","","0.52","2016-09-26"
"300225","http://www.cbc.bb/","THE CARIBBEAN BROADCASTING CORPORTATION","BRB","","en","none","video_broadcast","","","1.07","2016-12-12"
"300362","http://www.loopnewsbarbados.com/","http://www.loopnewsbarbados.com/","BRB","","en","none","digital_native","","","0.0","2016-08-15"
"300617","http://www.vob929.com/","VOB","BRB","","en","none","video_broadcast","","","0.3","2021-05-03"
"623846","http://businessbarbados.com/","Business Barbados","BRB","","en","Barbados","digital_native","","","0.0","2017-09-18"
"1702153","https://cananewsonline.com/main/","Cana News Online","","","","","","","","1.67","2020-10-05"
"1702154","https://gisbarbados.gov.bb/the-official-gazette/","Official Gazette","","","","","","","","0.64","2021-11-22"
"1720516","http://www.sknnewsline.com/","http://www.sknnewsline.com/","","","","","","","","0.0","2020-10-12"
