media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39018","http://www.newsmada.com/","newsmada","MDG","","fr","Republic of Madagascar","digital_native","","","0.01","2014-11-17"
"41101","http://www.lexpressmada.com/","lexpressmada","MDG","MG-T","fr","none","print_native","","","1.82","2016-08-22"
"42042","http://www.midi-madagasikara.mg/","madagasikara","MDG","MG-T","fr","Alaotra Mangoro Region","print_native","","","0.82","2016-03-21"
"59935","http://madagate.com/","madagate.com","MDG","","fr","none","digital_native","","","0.28","2013-04-29"
"64816","http://madagascar-tribune.com/","madagascar-tribune.com","MDG","MG-T","fr","Republic of Malta","print_native","","","0.39","2013-04-22"
"144572","http://ledaily.mg/","ledaily.mg","MDG","","fr","none","digital_native","","","0.0","2018-10-29"
"623847","http://www.tvmada.com/","TV Mada","MDG","","fr","","video_broadcast","","","0.21","2017-08-14"
"651136","http://www.lanation.mg/","La Nation - Madagascar","MDG","MG-T","fr","","print_native","","","0.0","2017-12-04"
"656774","http://www.lagazette-dgi.com/","La Gazette de la Grande Isle","MDG","MG-T","fr","Russian Federation","print_native","","","0.78","2018-08-06"
"656775","http://www.laverite.mg/","La Verite","MDG","MG-T","fr","","print_native","","","0.0","2020-06-01"
"688274","http://www.nocomment.mg/feed/","nocomment","","","","","","","","0.0","2019-02-04"
"1720387","https://tiatanindrazana.com/pages/index.php","Tia tanindrazana","","","","","","","","0.0","2020-10-12"
"1720388","https://www.tanaplanete.mg/","Tana Planète","","","","","","","","0.49","2020-10-12"
"1720389","https://www.madamagazine.com/en/","MADAMAGAZINE","","","","","","","","0.02","2016-10-17"
"1720390","https://www.lakroa.mg/","Lakroan'i Madagasikara on line - Les actualités sociales et religieuses à Madagascar","","","","","","","","0.0","2020-10-12"
"1720391","http://www.jejooweb.net/pages/index.php","Jejoo, le quotidien des femmes","","","","","","","","0.0","2020-10-12"
"1720392","https://www.mada-buzz.net/","Les actualités à Madagascar du Jeudi 15 Octobre 2020","","","","","","","","0.0","2020-10-12"
"1720393","https://essentielle.mg/","Accueil","","","","","","","","0.0","2019-10-21"
"1720394","https://aoraha.mg/","AoRaha","","","","","","","","0.0","2020-10-05"
