media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"8892","http://vive-liberta.livejournal.com","Liberta","ITA","","ru","none","print_native","","","0.0","2011-01-31"
"38715","http://www.viaemilianet.it/","viaemilianet","ITA","","it","Hungary","digital_native","","","0.0","2013-04-08"
"38757","http://palermo.repubblica.it/","palermo-repubblica","ITA","IT-82","it","Repubblica Italiana","print_native","","","18.33","2021-03-01"
"38765","http://www.giornaledicalabria.it/","IlGiornaleDiCalabria","ITA","IT-78","it","Repubblica Italiana","print_native","","","1.57","2016-01-04"
"38859","http://www.ilmessaggero.it/","ilmessaggero","ITA","IT-62","it","Repubblica Italiana","print_native","","","10.3","2013-03-11"
"38888","http://napoli.repubblica.it/","napoli-repubblica","ITA","IT-72","it","Repubblica Italiana","print_native","","","17.18","2017-05-22"
"38901","http://corrierealpi.gelocal.it/","corrierealpi","ITA","IT-34","it","Repubblica Italiana","print_native","","","3.14","2014-12-01"
"38938","http://www.metronews.it/","metro-news","ITA","IT-25","it","none","print_native","","","3.27","2021-07-19"
"39046","http://www.bresciaoggi.it/","bresciaoggi","ITA","IT-25","it","Repubblica Italiana","print_native","","","83.5","2013-03-11"
"39098","http://www.laprovinciadicomo.it/","laprovinciadicomo","ITA","IT-25","it","Repubblica Italiana","print_native","","","1.43","2013-03-11"
"39222","http://www.gazzettadelsud.it","GazzettaDelSud","ITA","IT-82","it","Repubblica Italiana","print_native","","","16.52","2013-03-11"
"39275","http://www.liberazione.it/","liberazione","ITA","IT-62","it","none","print_native","","","0.0","2013-03-11"
"39282","http://nuovavenezia.gelocal.it/","nuovavenezia","ITA","IT-34","it","Repubblica Italiana","print_native","","","4.56","2013-04-15"
"39416","http://it.ibtimes.com/","ibtimes-it","ITA","","it","none","digital_native","","","0.0","2013-03-11"
"39477","http://www.lasicilia.it/","lasicilia","ITA","IT-82","it","none","print_native","","","25.03","2016-09-19"
"39526","http://www.unionesarda.it/","UnioneSarda","ITA","IT-88","it","none","print_native","","","8.01","2013-03-11"
"39529","http://www.corriere.it/","Corriere della Sera","ITA","IT-25","it","none","print_native","","","1.66","2013-03-18"
"39619","http://altoadige.gelocal.it/","altoadige","ITA","","it","Repubblica Italiana","print_native","","","0.0","2013-03-18"
"39692","http://www.aostaoggi.it/","aostaoggi","ITA","IT-23","it","","digital_native","","","0.0","2019-03-04"
"39740","http://www.agi.it/","agi","ITA","","it","Repubblica Italiana","other","","","3.59","2013-03-11"
"39834","http://www.ilsole24ore.com","ilSole24ore","ITA","IT-25","it","Repubblica Italiana","print_native","","","26.36","2013-03-04"
"39835","http://www.italiaoggi.it/","italiaoggi","ITA","IT-25","it","none","print_native","","","0.02","2013-03-18"
"40071","http://ilcentro.gelocal.it","ilcentro","ITA","IT-65","it","Repubblica Italiana","print_native","","","0.0","2015-09-21"
"40115","http://torino.repubblica.it/","torino-repubblica","ITA","IT-21","it","Repubblica Italiana","print_native","","","17.24","2021-07-19"
"40143","http://www.ildomani.it/","ildomani","ITA","IT-78","it","Repubblica Italiana","print_native","","","0.0","2012-11-26"
"40189","http://www.ilgiornale.it/","ilgiornale","ITA","IT-25","it","none","print_native","","","7.12","2013-03-18"
"40192","http://bari.repubblica.it/","bari-repubblica","ITA","IT-75","it","Repubblica Italiana","print_native","","","18.08","2021-07-19"
"40216","http://www.gazzetta.it/","gazzetta","ITA","IT-25","it","none","print_native","","","29.97","2016-06-27"
"40220","http://trentinocorrierealpi.gelocal.it/","trentinocorrierealpi","ITA","","it","Repubblica Italiana","print_native","","","0.0","2013-03-18"
"40313","http://lacittadisalerno.gelocal.it/","lacittadisalerno","ITA","IT-72","it","Repubblica Italiana","print_native","","","0.0","2013-03-18"
"40360","http://mattinopadova.gelocal.it/","mattinopadova","ITA","IT-34","it","Repubblica Italiana","print_native","","","4.29","2018-06-04"
"40402","http://www.laprovinciadilecco.it/","laprovinciadilecco","ITA","IT-25","it","Repubblica Italiana","print_native","","","0.92","2013-03-18"
"40426","http://www.avantionline.it/","avanti","ITA","IT-62","it","none","print_native","","","0.12","2013-03-11"
"40447","http://www.ilsecoloxix.it/","ilsecoloxix","ITA","IT-42","it","none","print_native","","","10.7","2013-03-18"
"40449","http://www.gazzettino.it/","IlGazzettino","ITA","IT-34","it","Repubblica Italiana","print_native","","","5.62","2013-05-20"
"40593","http://lanuovaferrara.gelocal.it/","lanuovaferrara","ITA","","it","Repubblica Italiana","print_native","","","2.67","2013-05-20"
"40598","http://www.ilquotidiano.it/home/index.cfm","ilquotidiano","ITA","IT-57","it","Repubblica Italiana","print_native","","","0.0","2013-03-11"
"40740","http://roma.repubblica.it/","roma-repubblica","ITA","IT-62","it","Repubblica Italiana","print_native","","","18.16","2021-03-22"
"40742","http://espresso.repubblica.it/","espressorepubblica","ITA","","it","none","print_native","","","0.22","2016-05-23"
"40785","http://www.ecodibergamo.it/","ecodibergamo","ITA","IT-25","it","Repubblica Italiana","print_native","","","3.97","2013-03-18"
