media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"41618","http://www.amigoe.com/","amigoe","ABW","","nl","none","print_native","","","0.0","2011-06-27"
"110662","http://curacaochronicle.com/","curacaochronicle.com","CUW","","en","none","digital_native","","","0.0","2016-08-15"
"363626","http://noticiascurazao.dstad.com/","noticiascurazao.dstad.com","CUW","","es","Republic of Angola","digital_native","","","0.0","2017-11-06"
"623736","http://antilliaansdagblad.com/","Antiliaans Dagblaad","BES","","nl","","print_native","","","0.0","2017-10-30"
"623856","http://www.dolfijnfm.com/","Dolfijn FM","CUW","","nl","","video_broadcast","","","0.0","2014-09-29"
"623857","http://paradisefmcuracao.com/","Paradise FM","CUW","","nl","none","video_broadcast","","","0.27","2017-11-13"
"623858","http://curacaonieuws.nu/","Curacao Nieuws","CUW","","nl","none","digital_native","","","2.37","2018-03-26"
"623859","http://www.knipselkrant-curacao.com/","Knipselkrant Curacao","CUW","","nl","none","digital_native","","","0.0","2017-11-06"
"651495","https://extra.cw/","Extra - Curacao","CUW","","en","none","print_native","","","2.37","2018-02-26"
"655519","http://laprensaultimonoticia.com/","La Prensa Ultima Noticia","CUW","","pap","","print_native","","","0.0","2017-12-04"
"655520","http://www.vigilantekorsou.news/","Vigilante","CUW","","none","none","print_native","","","2.19","2017-12-04"
