media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"55659","http://bhutannewsservice.com/","bhutannewsservice.com","BTN","","en","United States","digital_native","","","0.02","2013-04-22"
"60027","http://bhutanobserver.bt/","bhutanobserver.bt","BTN","BT-15","en","Kingdom of Bhutan","print_native","","","0.0","2013-04-22"
"60631","http://kuenselonline.com/","kuenselonline.com","BTN","BT-15","en","Kingdom of Bhutan","print_native","","","0.79","2015-08-24"
"300188","http://www.bbs.bt/","BBS - The Bhutanese Expression","BTN","","en","Kingdom of Bhutan","video_broadcast","","","0.5","2016-08-22"
"653637","http://www.apfanews.com/","APFA News","BTN","","","","digital_native","","","0.0","2012-01-02"
"653638","http://www.bhutannewsservice.com/category/nepali-news/","Bhutan News 
Service","BTN","","en","United States","digital_native","","","0.02","2017-07-24"
"889138","http://businessbhutan.bt/","businessbhutan.bt","","","","","","","","0.26","2020-10-05"
"1702175","https://dailybhutan.com/","DailyBhutan","","","","","","","","0.22","2020-07-27"
"1702176","https://www.bhutanyouth.org/news/","Bhutan Youth Development Fund","","","","","","","","0.06","2014-11-24"
"1702177","http://www.bhutannewsnetwork.com/tag/druk-neytshul/","Druk Neytshul – Bhutan News Network","","","","","","","","0.11","2020-06-15"
