media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"41237","http://www.sudanjem.com/category/english/","sudanjem","SDN","","en","Republic of the Sudan","digital_native","","","0.23","2016-01-25"
"41622","http://www.sudanile.com/","sudanile","SDN","","ar","Republic of the Sudan","digital_native","","","0.91","2013-05-27"
"42101","http://www.sudantribune.net/","sudantribune-ar","SDN","","ar","none","digital_native","","","0.0","2013-05-20"
"42107","http://www.sudanvisiondaily.com/","sudanvisiondaily","SDN","","en","Republic of the Sudan","print_native","","","0.0","2017-07-03"
"62423","http://sudanjem.com/","sudanjem.com","SDN","","ar","Republic of the Sudan","digital_native","","","0.22","2013-04-29"
"64496","http://sudantribune.com/","sudantribune.com","SDN","","en","South Sudan","digital_native","","","0.01","2013-04-29"
"149593","http://alrakoba.net/","alrakoba.net","SDN","","none","Republic of the Sudan","digital_native","","","6.36","2018-06-25"
"266719","http://almshaheer.com/","almshaheer.com","SDN","","ar","none","print_native","","","0.0","2017-12-04"
"300063","http://sdeconews.com/index.php?lang=en","Sudan Commerce News","SDN","","en","none","digital_native","","","0.0","2016-10-10"
"623861","http://www.hurriyatsudan.com/","Hurriyat","SDN","","ar","none","digital_native","","","0.0","2017-10-30"
"623862","http://suna-sd.net/suna/index/ar","Sudan News Agency - Sudan (Arabic)","SDN","","ar","","other","","","0.0","2022-05-14"
"623863","http://suna-sd.net/suna/index/en","Sudan News Agency - Sudan (English)","SDN","","en","","other","","","0.0","2017-10-30"
"623864","http://suna-sd.net/suna/index/fr","Sudan News Agency - Sudan (French)","SDN","","fr","","other","","","0.0","2017-10-30"
"657965","http://assudan.net/","Assudan","SDN","","ar","none","digital_native","","","0.0","2017-12-11"
"657968","http://www.akhbaralyoumsd.net/","Akhbar Al Youm","SDN","","ar","none","print_native","","","0.76","2018-07-23"
