media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39315","http://www.telegraphnepal.com","telegraphnepal","NPL","NP-BA","en","Federal Democratic Republic of Nepal","print_native","","","0.17","2016-06-20"
"41379","http://www.peoplesreview.com.np/","peoplesreview","NPL","NP-BA","en","Federal Democratic Republic of Nepal","print_native","","","0.84","2018-04-16"
"41970","http://www.thehimalayantimes.com/","thehimalayantimes","NPL","NP-BA","en","none","print_native","","","0.0","2013-03-18"
"55950","http://nepalnews.com/","nepalnews.com","NPL","","en","none","digital_native","","","6.02","2018-06-25"
"57820","http://ekantipur.com/","ekantipur.com","NPL","","en","none","digital_native","","","0.0","2013-07-15"
"231947","http://nepalitimes.com/","nepalitimes.com","NPL","NP-BA","en","Federal Democratic Republic of Nepal","print_native","","","0.31","2018-04-02"
"269647","http://kathmandupost.ekantipur.com/","kathmandupost.ekantipur.com","NPL","NP-BA","en","Federal Democratic Republic of Nepal","print_native","","","1.84","2020-06-15"
"300011","http://kantipath.com/?cat=50","Kantipath.com","NPL","","en","none","digital_native","","","1.84","2019-07-08"
"300417","http://www.nepalmonitor.com/","Nepal Monitor: The National Online Journal","NPL","","en","","digital_native","","","0.0","2012-03-26"
"300418","http://www.newbusinessage.com/","Pages | New Business Age - monthly business magazine in English published from Nepal","NPL","","en","Federal Democratic Republic of Nepal","print_native","","","0.0","2016-10-10"
"300507","http://www.rss.com.np/","RSS Nepal","NPL","","en","none","other","","","0.02","2016-10-10"
"300539","http://www.spotlightnepal.com/","New SpotLight News Magazine Nepal | SPOTLIGHTNEPAL.COM","NPL","","en","none","print_native","","","0.97","2017-11-06"
"309733","http://nepalnews.net/","nepalnews.net","NPL","","en","none","digital_native","","","1.83","2018-05-07"
"320728","http://annapurnapost.com/","annapurnapost.com","NPL","NP-BA","none","Federal Democratic Republic of Nepal","print_native","","","0.0","2017-10-30"
"438074","http://mediaforfreedom.com/","mediaforfreedom.com","NPL","","en","none","digital_native","","","0.14","2017-10-30"
"623865","http://avenues.tv/","Avenues TV","NPL","","ne","none","video_broadcast","","","0.02","2020-06-15"
