media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38709","http://www.noordhollandsdagblad.nl/","noordhollandsdagblad","NLD","","nl","none","print_native","","","7.97","2013-03-11"
"38816","http://www.degrouster.nl/","degrouster","NLD","","nl","Kingdom of the Netherlands","print_native","","","0.21","2013-03-04"
"38819","http://www.hetkontakt.nl/","hetkontakt","NLD","NL-GE","nl","Kingdom of the Netherlands","print_native","","","0.0","2013-04-08"
"38841","http://www.dvhn.nl/","dvhn","NLD","NL-GR","nl","none","print_native","","","5.72","2013-03-11"
"38896","http://www.omroepwest.nl","westonline","NLD","","nl","Kingdom of the Netherlands","video_broadcast","","","0.01","2013-05-20"
"38897","http://www.112groningen.nl/","112groningen","NLD","NL-GR","nl","Kingdom of the Netherlands","digital_native","","","0.0","2013-03-11"
"38914","http://www.bolswardsnieuwsblad.nl/","bolswardsnieuwsblad","NLD","","nl","Kingdom of the Netherlands","print_native","","","0.0","2013-03-11"
"38917","http://www.heerenveensecourant.nl/","heerenveensecourant","NLD","","nl","Kingdom of the Netherlands","print_native","","","0.0","2013-03-11"
"38927","http://www.trouw.nl","trouw","NLD","","nl","none","print_native","","","4.5","2013-03-11"
"38933","http://www.destentor.nl/","destentor","NLD","NL-GE","nl","none","print_native","","","45.89","2013-05-20"
"38934","http://www.rtvdrenthe.nl/","rtvdrenthe","NLD","NL-DR","nl","Kingdom of the Netherlands","video_broadcast","","","0.0","2013-04-01"
"39033","http://www.bnr.nl/","bnr","NLD","","nl","none","video_broadcast","","","1.78","2013-03-11"
"39074","http://www.radio1.nl/","radio1nl","NLD","","nl","none","video_broadcast","","","0.0","2013-03-11"
"39092","http://www.twentefm.nl/","twentefm","NLD","NL-OV","nl","none","video_broadcast","","","0.0","2013-07-15"
"39426","http://www.nrc.nl","nrc","NLD","","nl","none","print_native","","","6.32","2013-03-18"
"39471","http://www.parool.nl","parool","NLD","","nl","none","print_native","","","3.86","2013-03-11"
"39538","http://www.at5.nl//","at5","NLD","","nl","Kingdom of the Netherlands","video_broadcast","","","0.01","2013-03-18"
"39582","http://www.gelderlander.nl","gelderlander","NLD","NL-GE","nl","Kingdom of the Netherlands","print_native","","","35.74","2013-05-20"
"39669","http://www.leidschdagblad.nl/","leidschdagblad","NLD","","nl","none","video_broadcast","","","2.74","2013-03-11"
"39713","http://www.blikopnieuws.nl/","blikopnieuws","NLD","","nl","Kingdom of the Netherlands","digital_native","","","0.0","2013-03-11"
"39751","http://www.omroepflevoland.nl/","omroepflevoland","NLD","NL-FL","nl","Kingdom of the Netherlands","video_broadcast","","","1.72","2013-03-18"
"39839","http://www.elsevier.nl/","elsevier","NLD","","nl","none","print_native","","","0.0","2014-01-20"
"39929","http://www.gic.nl/","gic","NLD","NL-GR","nl","Kingdom of the Netherlands","digital_native","","","0.68","2013-03-11"
"39941","http://www.metronieuws.nl/","metronieuws","NLD","","nl","none","print_native","","","1.53","2013-03-11"
"39942","http://www.nd.nl/","nd-nl","NLD","NL-GE","nl","none","print_native","","","11.3","2013-03-18"
"40083","http://www.vn.nl","vn","NLD","","nl","none","print_native","","","0.4","2012-07-09"
"40155","http://www.oneworld.nl","oneworld-nl","NLD","","nl","none","digital_native","","","0.11","2013-05-20"
"40157","http://www.omroepgelderland.nl/","omroepgelderland","NLD","NL-GE","nl","Kingdom of the Netherlands","video_broadcast","","","3.29","2013-05-20"
"40230","http://www.nu.nl","nu","NLD","","nl","none","digital_native","","","13.31","2013-03-18"
"40273","http://www.liwwadders.nl/","liwwadders","NLD","","nl","Kingdom of the Netherlands","digital_native","","","0.6","2013-03-18"
"40274","http://www.frieschdagblad.nl/","frieschdagblad","NLD","","nl","Kingdom of the Netherlands","print_native","","","2.31","2013-05-27"
"40289","http://www.lc.nl/","lc","NLD","","nl","none","digital_native","","","3.34","2013-03-18"
"40290","http://www.spitsnieuws.nl/","spitsnieuws","NLD","","nl","none","digital_native","","","1.51","2013-03-11"
"40331","http://www.l1.nl/","l1","NLD","NL-LI","nl","Kingdom of the Netherlands","video_broadcast","","","1.41","2013-03-18"
"40408","http://www.omroepzeeland.nl/","omroepzeeland","NLD","NL-ZE","nl","Kingdom of the Netherlands","video_broadcast","","","0.0","2013-03-18"
"40422","http://www.ed.nl/","ed","NLD","","nl","none","print_native","","","33.51","2013-05-20"
"40498","http://www.ad.nl","ad","NLD","","nl","none","print_native","","","15.57","2013-03-18"
"40629","http://www.dehuisaanhuis.nl/","dehuisaanhuis","NLD","","nl","Kingdom of the Netherlands","print_native","","","0.0","2013-03-18"
"40650","http://www.hardenberg.nu/","hardenberg","NLD","NL-OV","nl","Kingdom of the Netherlands","print_native","","","0.0","2016-08-01"
"40766","http://www.sneekernieuwsblad.nl/","sneekernieuwsblad","NLD","","nl","Kingdom of the Netherlands","print_native","","","0.0","2013-03-18"
"40811","http://www.limburger.nl/","limburger","NLD","NL-LI","nl","none","print_native","","","16.5","2013-03-18"
"40832","http://www.rnw.nl/english","rnw","NLD","","en","none","video_broadcast","","","0.0","2013-03-04"
"40887","http://www.rtvoost.nl/","rtvoost","NLD","NL-OV","nl","none","video_broadcast","","","0.0","2013-03-18"
"40899","http://www.bndestem.nl/","bndestem","NLD","","nl","none","print_native","","","33.52","2013-05-20"
"40987","http://www.meppelercourant.nl/","meppelercourant","NLD","NL-DR","nl","Kingdom of the Netherlands","print_native","","","1.61","2013-07-15"
"41055","http://www.groene.nl","groene","NLD","","nl","none","print_native","","","0.49","2013-03-18"
