media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"340773","http://dwtonline.com/","dwtonline.com","SUR","SR-PM","nl","none","print_native","","","0.63","2018-01-01"
"348109","http://srherald.com/","srherald.com","","","nl","none","","","","0.96","2020-03-09"
"361294","http://www.atv.sr/","ATV","BIH","BA-SRP","en","United States","video_broadcast","","","0.26","2016-12-26"
"361295","http://www.radio10.sr/","Radio 10 Suriname – Magic FM – Creatief, Vernieuwend en Dynamisch","SUR","","nl","United States","video_broadcast","","","0.19","2016-12-26"
"361296","http://www.starnieuws.com/","Starnieuws -","SUR","","en","none","digital_native","","","0.0","2017-01-02"
"361297","http://worldnieuws.com/","Worldnieuws ⭐ - Suriname ⭐","SUR","","nl","Republic of Suriname","digital_native","","","0.0","2016-12-26"
"623877","http://www.loopsuriname.com/","Loop - Suriname","SUR","","nl","Republic of Suriname","digital_native","","","0.0","2017-12-04"
"623878","http://www.srnieuws.com/","SR Nieuws","SUR","","nl","","digital_native","","","0.0","2017-10-30"
"623879","http://www.suristart.com/","Suri Start","SUR","","nl","","digital_native","","","0.0","2018-03-26"
"623880","http://dagbladdewest.com/","De West","SUR","SR-PM","nl","none","print_native","","","1.06","2018-07-23"
"657971","http://www.waterkant.net/","Waterkant","SUR","","nl","Republic of Suriname","digital_native","","","1.12","2017-12-11"
"657972","http://www.dbsuriname.com/","Dagblad Suriname","SUR","SR-PM","","","print_native","","","1.0","2020-08-24"
"657973","http://www.surinametimes.com/","Times of Suriname","SUR","SR-PM","nl","none","print_native","","","0.52","2017-12-04"
"833256","http://www.politie.sr/","Website van het Korps Politie Suriname","","","nl","none","","","","0.24","2018-07-23"
"833257","http://smesport.com/","SME Sport - Home","","","nl","none","","","","0.0","2018-07-23"
"1418177","http://gfcnieuws.com/","gfcnieuws.com","","","","","","","","2.4","2020-10-12"
"1506359","http://fathh.com/","fathh.com","","","","","","","","0.0","2020-10-12"
"1506386","http://unitednews.sr/","unitednews.sr","","","","","","","","0.01","2020-10-12"
