media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39938","http://www.el-carabobeno.com","elcarabobeno","VEN","VE-G","es","Bolivarian Republic of Venezuela","print_native","","","4.51","2017-06-19"
"52413","http://venezuelanalysis.com/#spider","venezuelanalysis.com","VEN","","en","Bolivarian Republic of Venezuela","digital_native","","","0.14","2012-10-08"
"54436","http://www.laht.com/#spider","laht.com","","","en","none","digital_native","","","0.02","2018-02-19"
"56349","http://eluniversal.com/","eluniversal.com","VEN","VE-A","es","none","print_native","","","0.0","2016-01-11"
"61404","http://noticierodigital.com/","noticierodigital.com","VEN","","es","none","digital_native","","","2.04","2013-10-28"
"64605","http://aporrea.org/","aporrea.org","VEN","","es","none","digital_native","","","1.84","2013-04-29"
"68425","http://globovision.com/#spider","globovision.com","VEN","","es","none","video_broadcast","","","2.92","2015-11-09"
"68518","http://www.vtv.gob.ve/#spider","vtv.gob.ve","VEN","","es","none","video_broadcast","","","0.0","2016-12-26"
"72499","http://www.avn.info.ve/#spider","avn.info.ve","VEN","","es","Bolivarian Republic of Venezuela","other","","","0.0","2016-12-26"
"72775","http://www.laverdad.com/#spider","laverdad.com","VEN","VE-V","es","Estado Zulia","print_native","","","0.0","2017-07-24"
"72882","http://informe21.com/#spider","informe21.com","VEN","","es","none","digital_native","","","0.3","2017-11-06"
"88021","http://www.noticias24.com/#spider","noticias24.com","VEN","","es","Commonwealth of Australia","digital_native","","","0.0","2016-11-28"
"92064","http://www.televen.com/#spider","televen.com","VEN","","es","none","video_broadcast","","","0.74","2018-08-27"
"105085","https://dolartoday.com/#spider","dolartoday.com","VEN","","es","Bolivarian Republic of Venezuela","digital_native","","","1.17","2017-06-05"
"109353","http://panorama.com.ve/","panorama.com.ve","VEN","VE-V","es","none","print_native","","","0.0","2016-05-02"
"111514","http://correodelorinoco.gob.ve/","correodelorinoco.gob.ve","VEN","VE-A","es","Bolivarian Republic of Venezuela","print_native","","","1.42","2016-11-28"
"115201","http://el-nacional.com/","el-nacional.com","VEN","VE-A","es","none","print_native","","","0.61","2019-08-26"
"127258","http://lapatilla.com/","lapatilla.com","ITA","","es","none","digital_native","","","15.19","2017-11-06"
"129601","http://ultimasnoticias.com.ve/","ultimasnoticias.com.ve","VEN","VE-A","es","Republic of Chile","print_native","","","4.52","2016-08-29"
"179178","http://entornointeligente.com/","entornointeligente.com","VEN","","es","New Jersey","digital_native","","","0.16","2013-01-07"
"251661","http://analitica.com/","analitica.com","VEN","","es","none","digital_native","","","2.21","2016-12-26"
"258634","http://radiomundial.com.ve/","radiomundial.com.ve","VEN","VE-A","es","Bolivarian Republic of Venezuela","video_broadcast","","","2.01","2017-06-05"
"267509","http://www.elvigia.net/","Editorial El Vigía | Periodismo con la gente","VEN","MX-BCN","es","none","print_native","","","2.93","2019-08-19"
"269588","http://talcualdigital.com/","talcualdigital.com","VEN","VE-A","es","Bolivarian Republic of Venezuela","print_native","","","0.0","2017-05-22"
"269891","http://correodelcaroni.com/","correodelcaroni.com","VEN","VE-F","es","","print_native","","","0.64","2021-08-30"
"269924","http://noticiaaldia.com/","noticiaaldia.com","VEN","VE-V","es","none","digital_native","","","6.64","2017-06-05"
"282170","http://efectococuyo.com/","efectococuyo.com","VEN","","es","Bolivarian Republic of Venezuela","","","","2.11","2017-06-05"
"282208","http://eltiempo.com.ve/","eltiempo.com.ve","VEN","VE-B","es","none","print_native","","","1.92","2016-11-28"
"282518","http://entodonoticias.com/","entodonoticias.com","VEN","","es","United States","digital_native","","","0.0","2017-10-30"
"282529","http://notitarde.com/","notitarde.com","VEN","VE-G","es","United States","print_native","","","0.0","2019-03-18"
"282630","http://elimpulso.com/","elimpulso.com","VEN","VE-K","es","Bolivarian Republic of Venezuela","print_native","","","3.57","2017-06-05"
"287347","http://diariocontraste.com/","diariocontraste.com","VEN","VE-V","es","United States","digital_native","","","0.0","2018-03-19"
"297266","http://diariodecaracas.com/","diariodecaracas.com","VEN","VE-A","es","United States","digital_native","","","0.0","2017-01-09"
"297365","http://elclarin.net.ve/","elclarin.net.ve","VEN","VE-D","es","United States","print_native","","","1.19","2017-12-11"
"299766","http://elperiodiquito.com/","elperiodiquito.com","VEN","VE-D","es","none","print_native","","","3.09","2016-11-28"
"300169","http://www.avn.info.ve/english","English | AVN","VEN","","en","Bolivarian Republic of Venezuela","other","","","0.0","2016-08-15"
"303863","http://notiactual.com/","notiactual.com","VEN","","es","none","digital_native","","","0.71","2013-06-03"
"314387","http://acn.com.ve/","acn.com.ve","VEN","VE-G","es","United States","other","","","1.73","2017-12-11"
"323309","http://laradiodelsur.com.ve/","laradiodelsur.com.ve","VEN","","es","Bolivarian Republic of Venezuela","video_broadcast","","","0.0","2017-06-05"
"324659","http://elperiodicovenezolano.com/","elperiodicovenezolano.com","VEN","","es","none","digital_native","","","0.0","2016-11-28"
"324662","http://primicia.com.ve/","primicia.com.ve","VEN","VE-F","es","none","print_native","","","5.71","2017-12-04"
"324706","http://confirmado.com.ve/","confirmado.com.ve","VEN","","es","none","digital_native","","","2.77","2016-12-26"
"324748","http://liderendeportes.com/","liderendeportes.com","VEN","VE-A","es","none","print_native","","","2.93","2017-06-05"
"324845","http://elmundo.com.ve/","elmundo.com.ve","VEN","VE-A","es","none","print_native","","","4.5","2013-06-03"
