media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"20378","http://www.jta.org","jta.org","ISR","","en","none","other","","","0.61","2013-08-05"
"20918","http://www.israelnationalnews.com","israelnationalnews.com","ISR","","","","video_broadcast","","","7.02","2016-08-22"
"25870","http://debka.com","debka.com","ISR","","en","none","digital_native","","","0.26","2016-08-15"
"34082","http://www.timesofisrael.com#spider","Time of Israel","ISR","","","","digital_native","","","10.64","2013-08-05"
"38803","http://www.courier.co.il/","courier","ISR","","ru","","print_native","","","0.0","2013-03-11"
"39035","http://isranews.com/","isranews","ISR","","fr","none","digital_native","","","0.0","2013-04-15"
"39224","http://www.jpost.com/","Jerusalem Post","ISR","","en","none","print_native","","","12.59","2013-05-20"
"39349","http://www.haaretz.com/","Haaretz","ISR","","","","print_native","","","8.14","2019-04-15"
"39856","http://www.alarab.net/","alarab","ISR","","ar","none","print_native","","","0.0","2013-03-18"
"40530","http://www.inn.co.il/","a7","ISR","","he","none","video_broadcast","","","18.12","2013-03-18"
"40915","http://www.ynetnews.com/home/0,7340,L-3083,00.html","ynetnews","ISR","","en","none","print_native","","","2.41","2013-05-20"
"41247","http://www.sonara.net/","sonara","ISR","","ar","none","print_native","","","0.0","2013-03-18"
"41527","http://www.one.co.il/","oneco","ISR","","he","none","digital_native","","","7.8","2015-09-14"
"41577","http://www.globes.co.il/","globesco","ISR","","he","State of Israel","print_native","","","4.96","2013-03-18"
"55728","http://iba.org.il/","iba.org.il","ISR","","he","State of Israel","video_broadcast","","","0.0","2013-04-29"
"57311","http://haaretz.co.il/","haaretz.co.il","ISR","","he","none","print_native","","","1.46","2018-01-08"
"58140","http://mfa.gov.il/","mfa.gov.il","ISR","","en","State of Israel","digital_native","","","0.01","2013-02-04"
"59585","http://nrg.co.il/","nrg.co.il","ISR","","he","none","print_native","","","0.0","2013-05-06"
"61417","http://news.walla.co.il/","news.walla.co.il","ISR","","he","none","digital_native","","","35.76","2014-10-13"
"62617","http://themarker.com/","themarker.com","ISR","","he","none","print_native","","","5.81","2013-05-06"
"65208","http://news.nana10.co.il/","news.nana10.co.il","ISR","","he","none","digital_native","","","0.0","2013-12-09"
"68940","http://www.israelhayom.com/#spider","israelhayom.com","ISR","","en","State of Israel","print_native","","","0.0","2011-11-28"
"74623","http://www.bicom.org.uk/#spider","bicom.org.uk","ISR","","en","United Kingdom of Great Britain and Northern Ireland","digital_native","","","0.0","2017-05-15"
"78164","http://www.israelinsider.com/#spider","israelinsider.com","ISR","","en","none","digital_native","","","0.0","2016-10-10"
"88445","http://www.israeltoday.co.il/#spider","israeltoday.co.il","ISR","","en","State of Israel","print_native","","","0.01","2015-04-20"
"106800","http://i24news.tv/","i24news.tv","ISR","","en","none","video_broadcast","","","0.0","2016-10-10"
"107674","http://hamodia.com/","hamodia.com","","","","","","","","0.0","2020-10-12"
"107903","http://israelhayom.co.il/","israelhayom.co.il","ISR","","iw","none","print_native","","","2.77","2018-03-05"
"108156","http://jerusalemonline.com/","jerusalemonline.com","ISR","","en","State of Israel","digital_native","","","0.0","2016-08-08"
"108473","http://fr.timesofisrael.com/","fr.timesofisrael.com","ISR","","fr","none","digital_native","","","2.34","2017-12-04"
"108947","http://glz.co.il/","glz.co.il","ISR","","none","none","video_broadcast","","","0.0","2014-03-03"
"120065","http://panet.co.il/","panet.co.il","ISR","","ar","","print_native","","","0.0","2018-01-22"
"120924","http://maariv.co.il/","maariv.co.il","","","","","","","","19.13","2020-10-12"
"121577","http://challenge-mag.com/","challenge-mag.com","ISR","","en","State of Israel","print_native","","","0.0","2011-05-02"
"122060","http://israelnewsagency.com/","israelnewsagency.com","ISR","","en","State of Israel","digital_native","","","0.1","2013-09-09"
"122138","http://virtualjerusalem.com/","virtualjerusalem.com","ISR","","en","none","digital_native","","","0.0","2014-06-23"
"123395","http://debka.co.il/","debka.co.il","ISR","","iw","none","digital_native","","","0.23","2017-12-04"
"300292","http://www.globes.co.il/en/","Globes English - Israel business news - Home Page","ISR","","en","State of Israel","print_native","","","5.81","2017-08-14"
"300305","http://www.iba.org.il/bet/","Kol Israel - Reshet Bet :: רשת ב של קול ישראל","ISR","","en","State of Israel","video_broadcast","","","0.0","2016-08-08"
"362145","http://aurora-israel.co.il/","aurora-israel.co.il","ISR","","es","United States","print_native","","","1.06","2017-12-04"
"378048","http://yated.com/","yated.com","","","","","","","","0.11","2020-09-28"
"623930","http://www.7kanal.co.il/","Arutz Sheva - Israel (Russian)","ISR","","ru","none","video_broadcast","","","3.68","2017-11-06"
"623931","http://www.iba.org.il/kolisrael/","Kol Israel","ISR","","iw","none","video_broadcast","","","0.0","2018-04-16"
"623935","http://www.news-israel.net/","News Israel","ISR","","iw","United States","digital_native","","","0.48","2017-11-27"
"623936","http://www.newsnow.co.il/","News Now","ISR","","iw","none","digital_native","","","0.0","2017-11-06"
"623938","http://sikurmemukad.com/","Sikur Memukad","ISR","","en","none","digital_native","","","0.33","2019-10-07"
"623941","http://ar.timesofisrael.com/","Times of Israel - Israel (Arabic)","ISR","","ar","none","digital_native","","","0.8","2017-11-06"
"623942","http://cn.timesofisrael.com/","Times of Israel - Israel (Chinese)","ISR","","en","none","digital_native","","","3.94","2018-06-11"
"623944","http://www.jpost.com/EditionFrancaise","Jerusalem Post - Israel (French)","ISR","","en","none","print_native","","","12.6","2017-10-30"
"623945","http://www.ynet.co.il/home/0,7340,L-8,00.html","Yedioth Ahronoth - Israel (Hebrew)","ISR","","iw","none","print_native","","","0.0","2017-10-30"
"623946","http://www.prnewswire.co.il/","PR Newswire - Israel","ISR","","en","","other","","","0.0","2018-01-22"
"656474","http://www.israelam.com/","Israel AM","ISR","","en","State of Israel","digital_native","","","0.14","2017-11-20"
"656476","http://www.israelinewsnow.com/","Israel News Now","ISR","","en","","digital_native","","","0.0","2018-03-26"
"656477","http://www.juif.org/","Juif","ISR","","fr","none","digital_native","","","0.94","2017-12-04"
"656479","http://yedhaifa.co.il/","Yediot Haifa","ISR","","he","","print_native","","","0.0","2017-12-04"
"656482","http://www.calcalist.co.il/home/0,7340,L-8,00.html","Calcalist","ISR","","iw","State of Israel","print_native","","","4.37","2018-03-19"
"819679","http://makorrishon.co.il/","makorrishon.co.il","","","","","","","","0.0","2018-09-10"
"861570","http://alarab.com/","alarab.com","","","","","","","","0.0","2020-10-12"
"1715642","http://besheva.co.il/","בשבע - קבוצת התקשורת הגדולה בישראל לציבור הדתי","","","","","","","","0.0","2019-03-04"
