media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39300","http://www.bisnis.com/","bisnis","IDN","","id","Republic of Indonesia","print_native","","","0.0","2013-03-18"
"40200","http://www.detik.com/","detikcom","IDN","","id","Republic of Indonesia","digital_native","","","0.31","2013-05-27"
"41883","http://www.kompas.com/","kompas","IDN","","id","none","print_native","","","6.33","2013-05-27"
"55878","http://mediaindonesia.com/","mediaindonesia.com","IDN","","id","Wales","print_native","","","0.24","2016-05-09"
"55895","http://insideindonesia.org/","insideindonesia.org","IDN","","en","Republic of Indonesia","digital_native","","","0.0","2012-05-21"
"63806","http://metrotvnews.com/","metrotvnews.com","IDN","","id","Republic of Indonesia","video_broadcast","","","0.0","2016-05-23"
"63909","http://antaranews.com/","antaranews.com","IDN","","id","Republic of Indonesia","other","","","0.06","2013-05-06"
"65569","http://republika.co.id/","republika.co.id","IDN","","id","Republic of Indonesia","print_native","","","44.16","2013-05-06"
"66453","http://thejakartapost.com/","thejakartapost.com","IDN","","en","United States","print_native","","","0.0","2013-07-15"
"66719","http://thejakartaglobe.com/","thejakartaglobe.com","IDN","","en","none","print_native","","","0.0","2013-05-06"
"110281","http://hidayatullah.com/","hidayatullah.com","IDN","","id","none","print_native","","","1.13","2020-10-26"
"110684","http://merdeka.com/","merdeka.com","","","id","Republic of Indonesia","","","","10.47","2019-03-18"
"242088","http://waspada.co.id/","waspada.co.id","IDN","ID-SU","id","none","print_native","","","5.03","2017-12-11"
"267443","http://tempo.co/","tempo.co","IDN","","id","Republic of Indonesia","digital_native","","","0.14","2016-11-07"
"282531","http://poskotanews.com/","poskotanews.com","IDN","","id","","print_native","","","0.0","2012-01-09"
"290516","http://okezone.com/","okezone.com","IDN","","id","United States","digital_native","","","41.44","2017-10-30"
"291044","http://liputan6.com/","liputan6.com","","","id","none","","","","0.36","2019-03-18"
"294636","http://indonesianews.net/","indonesianews.net","IDN","","en","Republic of Indonesia","digital_native","","","0.72","2017-09-11"
"300022","http://magz.tempo.co/","Online Tempo Magazine | magz.tempo.co","IDN","","en","","print_native","","","0.0","2015-06-08"
"300149","http://www.antaranews.com/en/","Latest Indonesia News - ANTARA News","IDN","","en","none","other","","","0.0","2017-12-11"
"300311","http://www.indonesiaheadlines.com/","Indonesia Headline | Cara Mudah Membaca Berita Indonesia","IDN","","en","","digital_native","","","0.11","2021-06-07"
"300527","http://www.sigmanews.us/","Adidas Originals Superstar Weave Trainers Blue - Ralph Lauren Slim Fit Stretch Polo T-Shirt Red.","IDN","","en","none","digital_native","","","0.22","2012-11-26"
"301110","http://palembang.tribunnews.com/","palembang.tribunnews.com","IDN","","id","none","print_native","","","8.53","2018-02-12"
"316385","http://jakartanews.net/","jakartanews.net","IDN","","en","Republic of Indonesia","digital_native","","","0.66","2018-05-07"
"324784","http://jabar.tribunnews.com/","jabar.tribunnews.com","IDN","ID-JB","id","Republic of Indonesia","print_native","","","12.07","2018-02-12"
"324900","http://viva.co.id/","viva.co.id","IDN","","id","none","digital_native","","","26.06","2018-06-11"
"325034","http://medan.tribunnews.com/","medan.tribunnews.com","IDN","ID-SU","id","Republic of Indonesia","print_native","","","22.53","2018-02-12"
"325036","http://banjarmasin.tribunnews.com/","banjarmasin.tribunnews.com","IDN","ID-KS","id","Republic of Indonesia","print_native","","","12.31","2018-02-12"
"325125","http://pikiran-rakyat.com/","pikiran-rakyat.com","IDN","ID-JB","id","none","print_native","","","0.0","2017-12-11"
"325351","http://fajar.co.id/","fajar.co.id","","","id","none","","","","8.41","2019-03-18"
"325384","http://tribunnews.com/","tribunnews.com","","","id","none","","","","35.63","2019-04-08"
"325738","http://aceh.tribunnews.com/","aceh.tribunnews.com","IDN","","id","Nanggroe Aceh Darussalam Province","print_native","","","16.72","2018-04-02"
"325765","http://beritagar.id/","beritagar.id","","","id","none","","","","0.0","2019-03-18"
"326259","http://lampung.tribunnews.com/","lampung.tribunnews.com","IDN","ID-LA","id","none","print_native","","","11.36","2018-02-12"
"327237","http://jpnn.com/","jpnn.com","IDN","","id","none","digital_native","","","32.11","2017-11-06"
"327865","http://solopos.com/","solopos.com","IDN","ID-JT","id","none","print_native","","","0.0","2017-12-04"
"327992","http://analisadaily.com/","analisadaily.com","IDN","ID-SU","id","","print_native","","","0.0","2018-04-23"
"329206","http://hariansib.co/","hariansib.co","","","id","none","","","","0.0","2019-03-25"
"329822","http://rmol.co/","rmol.co","","","id","Republic of Indonesia","","","","0.01","2018-06-18"
"330461","http://jawapos.com/","jawapos.com","IDN","ID-JI","id","United Kingdom of Great Britain and Northern Ireland","print_native","","","28.67","2017-12-04"
"330593","http://suara.com/","suara.com","","","id","none","","","","40.36","2019-03-25"
"332035","http://kupang.tribunnews.com/","kupang.tribunnews.com","IDN","","id","none","print_native","","","12.91","2018-02-12"
"332140","http://kaltim.tribunnews.com/","kaltim.tribunnews.com","IDN","ID-KI","id","none","print_native","","","13.58","2018-02-12"
"332445","http://bangka.tribunnews.com/","bangka.tribunnews.com","IDN","ID-BB","id","Republic of Indonesia","print_native","","","7.94","2018-02-12"
"333923","http://suryamalang.tribunnews.com/","suryamalang.tribunnews.com","IDN","ID-JI","id","Republic of Indonesia","print_native","","","5.63","2018-02-12"
"337369","http://bintang.com/","bintang.com","","","id","Republic of Indonesia","","","","0.01","2019-03-18"
"337723","http://hariansinggalang.co.id/","hariansinggalang.co.id","IDN","","id","none","print_native","","","2.0","2017-12-04"
"338703","http://pontianak.tribunnews.com/","pontianak.tribunnews.com","IDN","ID-KB","id","none","print_native","","","11.28","2018-02-19"
