media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39896","http://www.icenews.is","icenews","ISL","","en","Republic of Iceland","digital_native","","","0.11","2013-03-11"
"67403","http://grapevine.is/#spider","grapevine.is","ISL","","en","Republic of Iceland","print_native","","","0.88","2017-12-04"
"69658"," https://www.ruv.is/rss/frettir","ruv.is","ISL","","is","Republic of Iceland","video_broadcast","","","5.47","2020-03-09"
"70448","http://icelandreview.com/#spider","icelandreview.com","ISL","","en","Republic of Iceland","print_native","","","0.28","2016-08-15"
"72583","http://www.iceland-dori.blogspot.com/#spider","iceland-dori.blogspot.com","ISL","","en","","digital_native","","","0.0","2013-07-01"
"72638","http://www.dv.is/#spider","dv.is","ISL","","is","none","print_native","","","4.21","2017-12-11"
"75554","http://visir.is/#spider","visir.is","ISL","","is","Republic of Iceland","digital_native","","","14.03","2017-11-06"
"145439","http://pressan.is/","pressan.is","ISL","","is","Republic of Iceland","digital_native","","","4.42","2018-06-11"
"297204","http://icelandmonitor.mbl.is/","icelandmonitor.mbl.is","ISL","","en","Republic of Iceland","digital_native","","","0.38","2016-08-15"
"300062","http://scandinavianow.com/","My Blog | My WordPress Blog","ISL","","en","Svalbard and Jan Mayen","digital_native","","","0.0","2016-02-01"
"300384","http://www.mbl.is/frettir/english/","Iceland Monitor - monitor.is","ISL","","en","Republic of Iceland","print_native","","","0.39","2016-08-15"
"332676","http://kjarninn.is/","kjarninn.is","ISL","","","","","","","1.0","2019-08-12"
"358100","http://stundin.is/","stundin.is","ISL","","","","","","","0.63","2019-08-05"
"373851","http://vb.is/","vb.is","ISL","","is","Iowa","print_native","","","1.72","2017-12-04"
"623955","http://bylgjan.visir.is/","Bylgjan","ISL","","is","none","video_broadcast","","","14.17","2019-06-10"
"623956","http://www.textavarp.is/100/","Textavarp","ISL","","is","","video_broadcast","","","0.0","2017-11-20"
"623958","http://www.sport.is/","Sport - Iceland","ISL","","is","United Kingdom of Great Britain and Northern Ireland","digital_native","","","0.0","2017-10-30"
"623959","http://www.mbl.is/frettir/","Morgunbladid - Iceland (Icelandic)","ISL","","is","Republic of Iceland","print_native","","","28.93","2016-05-23"
"656132","http://www.austurfrett.is/","Austur Frett","ISL","IS-7","is","Republic of Iceland","digital_native","","","0.72","2018-06-25"
"656133","http://www.hornafjordur.is/","Hornafjordur","ISL","IS-7","is","","digital_native","","","0.0","2019-08-12"
"656134","http://kopavogsbladid.is/","Kopavogsbladid","ISL","","is","none","print_native","","","0.46","2015-05-11"
"656135","http://www.frettatiminn.is/","Frettatiminn","ISL","","is","none","print_native","","","0.43","2018-01-15"
"656136","http://www.visir.is/section/VIDSKIPTI","Markadurinn","ISL","","is","none","print_native","","","14.22","2017-12-04"
"656138","http://vikudagur.is/","Vikudagur","ISL","IS-6","is","none","print_native","","","0.77","2017-11-27"
"656140","http://www.huni.is/","Hunahornid","ISL","IS-5","is","none","digital_native","","","0.58","2017-11-27"
"656141","http://www.feykir.is/","Feykir","ISL","IS-5","is","none","print_native","","","0.89","2017-12-04"
"656142","http://www.sudurland.is/","Sudurland","ISL","IS-8","is","none","digital_native","","","0.21","2017-11-13"
"656143","http://www.sunnlenska.is/","Sunnlenska","ISL","IS-8","is","none","digital_native","","","0.79","2017-12-04"
"656144","http://www.eyjafrettir.is/","Frettir","ISL","IS-8","is","none","print_native","","","0.73","2017-12-04"
"656145","http://www.eyjar.net/forsida/","Vaktin","ISL","IS-8","is","Republic of Iceland","print_native","","","0.89","2017-12-04"
"656146","http://www.fjardarposturinn.is/","Fjardar Posturinn","ISL","IS-2","is","none","print_native","","","0.0","2017-12-04"
"656147","http://www.vf.is/","Vikurfrettir","ISL","IS-2","is","none","print_native","","","0.0","2017-12-04"
"656148","http://www.bb.is/","Baejarins Besta","ISL","IS-4","is","Republic of Iceland","print_native","","","0.86","2017-12-04"
"656150","http://www.skessuhorn.is/","Skessuhorn","ISL","IS-3","is","none","print_native","","","0.79","2018-06-18"
"656151","http://www.stykkisholmsposturinn.is/","Sykkisholms Posturinn","ISL","IS-3","is","Ohio","print_native","","","0.06","2017-11-27"
"1317574","http://bbl.is/","bbl.is","","","","","","","","0.52","2020-10-05"
"1497852","http://viljinn.is/","viljinn.is","","","","","","","","0.38","2020-06-29"
