media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"59918","http://znbc.co.zm/","znbc.co.zm","ZMB","","en","Republic of Zambia","video_broadcast","","","0.0","2018-08-20"
"60098","http://daily-mail.co.zm/","daily-mail.co.zm","ZMB","ZM-09","en","Republic of Zambia","print_native","","","0.59","2013-05-06"
"61073","http://times.co.zm/","times.co.zm","ZMB","ZM-09","en","Republic of Zambia","print_native","","","0.11","2017-08-14"
"133585","http://zambia-weekly.com/","zambia-weekly.com","ZMB","","en","","digital_native","","","0.0","2019-03-11"
"201416","http://lusakatimes.com/","lusakatimes.com","ZMB","","en","Republic of Zambia","digital_native","","","1.38","2016-08-15"
"300021","http://lusakavoice.com/","http://lusakavoice.com/","ZMB","","en","Republic of Zambia","digital_native","","","0.01","2016-08-15"
"300094","http://tumfweko.com/","http://tumfweko.com/","ZMB","","en","none","digital_native","","","0.0","2017-12-04"
"300403","http://www.muvitv.com/","MUVI Television | First in News and Entertainment | Your Channel of Choice","ZMB","","en","Republic of Zambia","video_broadcast","","","0.0","2016-08-15"
"300582","http://www.tiozambia.com/","http://www.tiozambia.com/","ZMB","","en","Republic of Zambia","digital_native","","","0.84","2016-08-15"
"300645","http://zambiadailynation.com/","Daily Nation - The People's Paper","","","en","Republic of Zambia","","","","0.02","2016-08-15"
"300646","http://zambianeye.com/","Zambian Eye | Zambian Eye is an Online Newspaper covering exclusive and latest news with much focus on Zambia","ZMB","","en","Republic of Zambia","digital_native","","","0.0","2016-08-15"
"300648","http://zambiareports.com/","Zambia Reports","ZMB","","en","Republic of Zambia","digital_native","","","0.0","2016-08-15"
"300653","http://theglobeonline.news/","The Globe Newspaper","ZMB","","en","Republic of Zambia","digital_native","","","0.0","2018-08-06"
"321836","http://ukzambians.co.uk/","ukzambians.co.uk","ZMB","","en","Republic of Zambia","digital_native","","","0.0","2017-10-30"
"386632","http://maravi.blogspot.com/","maravi.blogspot.com","ZMB","","en","","digital_native","","","0.0","2016-05-16"
"410956","http://zambiawatchdog.com/","zambiawatchdog.com","ZMB","","en","Republic of Zambia","digital_native","","","0.11","2017-12-04"
"442248","http://zambianobserver.com/","zambianobserver.com","ZMB","","en","Republic of Zambia","digital_native","","","3.2","2017-11-06"
"623960","http://www.kitwetimes.com/","Kitwe Times","ZMB","","en","","digital_native","","","0.0","2017-10-16"
"623961","http://lusakastar.com/","Lusaka Star","ZMB","","en","Republic of Zambia","digital_native","","","0.01","2018-05-07"
"623962","http://www.mwebantu.news/","Mwebantu News","ZMB","","en","Republic of Zambia","digital_native","","","0.0","2017-11-06"
"623963","http://www.openzambia.com/","Open Zambia","ZMB","","en","","digital_native","","","0.0","2019-05-06"
"623964","http://www.techtrends.co.zm","Tech Trends","ZMB","","en","Republic of Zambia","digital_native","","","0.28","2017-10-09"
"623966","http://zambia24.com/","Zambia 24","ZMB","","en","Republic of Zambia","digital_native","","","1.5","2018-08-27"
"623967","http://zambiabusinesstimes.com/","Zambia Business Times","ZMB","","en","Republic of Zambia","digital_native","","","0.43","2017-11-27"
"623968","http://www.zambiainvest.com/","Zambia Invest","ZMB","","en","","digital_native","","","0.04","2016-12-12"
"623969","http://www.zambianews.net/","Zambia News","ZMB","","en","Republic of Zambia","digital_native","","","0.2","2017-11-06"
"623971","http://zambia-times.com/","Zambia Times","ZMB","","en","Republic of Zambia","digital_native","","","0.0","2017-09-18"
"623972","http://www.zambianintelligencenews.com/","Zambian Intelligence News","ZMB","","en","Republic of Zambia","digital_native","","","0.02","2017-09-11"
"623973","http://zambianewsnetwork.com/","Zambian News Network","ZMB","","en","none","digital_native","","","0.63","2018-05-14"
"623974","http://www.zambianpolitics.com","Zambian Politics","ZMB","","en","Republic of Zambia","digital_native","","","0.0","2018-05-07"
"623976","http://www.miningnewszambia.com","Zambian Mining Magazine","ZMB","","en","Republic of Zambia","print_native","","","0.2","2017-10-09"
"623977","https://www.dailynation.news/","Daily Nation - Zambia","ZMB","ZM-09","en","Republic of Zambia","print_native","","","0.0","2017-10-30"
"658373","http://www.newvisionzambia.co.zm/","New Vision - Zambia","ZMB","ZM-09","en","","print_native","","","0.0","2017-09-11"
"664494","http://www.flavafm.co.zm/","Flava FM","ZMB","ZM-08","en","none","video_broadcast","","","0.0","2018-08-13"
"664495","http://breezefmchipata.com/","Breeze 89.3 FM","ZMB","ZM-03","en","Republic of Zambia","video_broadcast","","","0.0","2017-11-13"
"664496","http://www.radiomaria.org.zm/","Radio Maria","ZMB","ZM-03","en","","video_broadcast","","","0.0","2017-08-21"
"664497","https://www.themastonline.com/","Mast","ZMB","ZM-09","en","Republic of Zambia","print_native","","","0.0","2017-12-04"
"664498","http://www.talk90point5.co.zm/","Millenium FM","ZMB","ZM-09","en","","video_broadcast","","","0.0","2020-08-24"
"664499","http://www.qfmzambia.com/","Q FM","ZMB","ZM-09","en","Republic of Zambia","video_broadcast","","","0.91","2017-12-11"
"664500","http://www.chikuniradiozm.org/","Radio Chikuni","ZMB","","en","","video_broadcast","","","0.0","2018-04-16"
"886643","http://diggers.news/","diggers.news","","","","","","","","0.98","2020-04-06"
"1720629","https://www.news24.com/Tags/Places/zambia","News24","","","","","","","","0.0","2020-10-12"
"1720630","https://www.newvision.co.ug/tag/zambian","Zambian","","","","","","","","0.0","2020-10-12"
