media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"55537","http://maravipost.com/","maravipost.com","MWI","","en","Republic of Malawi","digital_native","","","1.82","2016-11-21"
"60240","http://zodiakmalawi.com/","zodiakmalawi.com","MWI","MW-LI","en","none","video_broadcast","","","0.0","2013-04-08"
"62434","http://nyasatimes.com/","nyasatimes.com","MWI","","en","Republic of Malawi","digital_native","","","0.54","2013-05-06"
"94230","http://www.malawivoice.com/#spider","malawivoice.com","MWI","","en","Republic of Malawi","digital_native","","","0.58","2016-08-15"
"95150","http://www.faceofmalawi.com/#spider","faceofmalawi.com","MWI","","en","Republic of Malawi","digital_native","","","3.74","2017-01-23"
"267396","http://timesmediamw.com/","timesmediamw.com","MWI","MW-BL","en","none","print_native","","","0.07","2015-04-27"
"271628","http://malawi24.com/","Malawi24","MWI","","en","Republic of Malawi","digital_native","","","1.17","2016-03-21"
"271629","http://mwnation.com/","Malawi News","MWI","MW-BL","en","Republic of Malawi","print_native","","","1.28","2016-03-21"
"299935","http://banthutimes.com/","Banthu Times: Breaking News, Sports, Business, Entertainment, Online Malawi News | Giving You Malawi's Best Online News","MWI","","en","none","digital_native","","","0.0","2017-08-14"
"300023","http://malawiana.net/","Showcasing Malawi","MWI","","en","Republic of Malawi","digital_native","","","0.0","2017-11-06"
"300024","http://malawilive.com/","Malawi News that matter, LIVE.","MWI","","en","Republic of Malawi","digital_native","","","0.0","2016-04-11"
"300036","http://news.maraviexpress.com/","Maravi Express","MWI","","en","Republic of Malawi","digital_native","","","0.2","2017-11-27"
"300371","http://www.malawianwatchdog.com/","Malawian Watchdog | Your source for reliable online news on Malawi","MWI","","en","Republic of Malawi","digital_native","","","0.0","2016-12-05"
"300383","http://www.mbc.mw/","Malawi Broadcasting Corporation","MWI","","en","","video_broadcast","","","0.0","2020-04-06"
"550721","http://times.mw/","times.mw","","","","","","","","0.91","2020-10-12"
"623978","http://www.manaonline.gov.mw/","Malawi News Agency","MWI","","en","","other","","","0.0","2018-04-02"
"656608","http://www.capitalradiomalawi.com/","Capital FM - Malawi","MWI","MW-BL","en","","video_broadcast","","","0.0","2019-05-13"
"1715988","https://www.odinimalawi.nl/","Odini Malawi Stichting","","","","","","","","0.0","2020-10-12"
