media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"41634","http://www.guardian.co.tt/","Triniad-guardian","TTO","TT-POS","en","none","print_native","","","0.02","2013-03-11"
"61092","http://newsday.co.tt/","newsday.co.tt","TTO","TT-POS","en","Republic of Trinidad and Tobago","print_native","","","3.74","2017-10-30"
"61884","http://trinidadandtobagonews.com/","trinidadandtobagonews.com","TTO","","en","Republic of Trinidad and Tobago","digital_native","","","0.01","2013-07-15"
"64563","http://trinidadexpress.com/","trinidadexpress.com","TTO","TT-POS","en","Republic of Trinidad and Tobago","print_native","","","0.0","2013-04-29"
"281922","http://looptt.com/","looptt.com","TTO","","en","Republic of Trinidad and Tobago","digital_native","","","1.34","2017-11-06"
"300101","http://wired868.com/","Wired868","TTO","","en","Republic of Trinidad and Tobago","digital_native","","","0.3","2014-06-02"
"300232","http://www.cnc3.co.tt/","CNC3","TTO","","en","United States","video_broadcast","","","0.54","2016-08-29"
"300421","http://www.news.co.tt/public_html/","Breaking News Trinidad and Tobago - Trinidad News, Tobago News","TTO","","en","none","digital_native","","","0.0","2016-08-08"
"300585","http://www.trinidadtribune.com/","Trinidad News","TTO","","en","none","digital_native","","","3.74","2016-08-15"
"300594","http://www.tv6tnt.com/","CCN TV6","TTO","","en","","video_broadcast","","","0.0","2016-08-15"
"623979","http://ctvtt.com/","C TV","TTO","","en","","video_broadcast","","","0.0","2019-08-26"
"658281","http://i955fm.com/","I 95.5 FM","TTO","TT-POS","en","none","video_broadcast","","","0.3","2017-12-04"
"658282","http://news.power102fm.com/","Power 102 FM","TTO","TT-POS","en","none","video_broadcast","","","0.01","2017-12-04"
"658284","http://www.tobagotoday.co.tt/","Tobago Today","TTO","","en","none","print_native","","","0.0","2018-05-07"
"852406","http://sweettntmagazine.com/","sweettntmagazine.com","","","","","","","","0.17","2020-10-05"
