media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38882","http://www.thezimbabwemail.com/","thezimbabwemail","ZWE","","en","Republic of Zimbabwe","digital_native","","","1.24","2013-03-11"
"38968","http://www.sundaymail.co.zw/","sundaymail-zw","ZWE","ZW-HA","en","Republic of Zimbabwe","print_native","","","0.87","2013-06-10"
"39748","http://www.financialgazette.co.zw/","financialgazette","ZWE","ZW-HA","en","Republic of Zimbabwe","print_native","","","0.0","2013-06-17"
"40111","http://www.insiderzim.com/","insiderzim","ZWE","","en","Republic of Zimbabwe","digital_native","","","0.12","2013-06-24"
"40459","http://www.theindependent.co.zw/","theindependent","ZWE","ZW-HA","en","Republic of Zimbabwe","print_native","","","0.22","2013-03-18"
"40781","http://www.bulawayo24.com/","bulawayo24","ZWE","ZW-BU","en","Republic of Zimbabwe","digital_native","","","4.01","2013-03-11"
"41585","http://www.chronicle.co.zw/","chronicle","ZWE","ZW-BU","en","Republic of Zimbabwe","print_native","","","1.29","2016-03-21"
"41836","http://www.thestandard.co.zw/","thestandard-zw","ZWE","ZW-HA","en","Republic of Zimbabwe","print_native","","","0.24","2013-03-18"
"41906","http://www.newzimbabwe.com/","newzimbabwe","ZWE","","en","Republic of Zimbabwe","digital_native","","","1.83","2016-10-03"
"41952","http://www.newsday.co.zw/","newsday","ZWE","ZW-HA","en","Republic of Zimbabwe","print_native","","","1.83","2013-03-25"
"48389","http://www.zimbabwesituation.com/#spider","zimbabwesituation.com","ZWE","","en","Republic of Zimbabwe","digital_native","","","1.68","2017-11-06"
"57301","http://nehandaradio.com/","nehandaradio.com","ZWE","","en","Republic of Zimbabwe","video_broadcast","","","0.93","2013-05-13"
"113975","http://dailynews.co.zw/","dailynews.co.zw","ZWE","ZW-HA","en","Republic of Zimbabwe","print_native","","","0.86","2017-10-30"
"119837","http://herald.co.zw/","herald.co.zw","ZWE","ZW-HA","en","Republic of Zimbabwe","print_native","","","1.94","2016-08-15"
"142747","http://techzim.co.zw/","techzim.co.zw","ZWE","","en","Republic of Zimbabwe","digital_native","","","0.46","2017-10-09"
"155584","http://zimtelegraph.com/","zimtelegraph.com","","","","","","","","0.0","2016-03-14"
"207106","http://thezimbabwean.co/","thezimbabwean.co","ZWE","ZW-HA","en","Republic of Zimbabwe","print_native","","","0.61","2016-03-21"
"258402","http://263chat.com/","263chat.com","ZWE","","en","Republic of Zimbabwe","digital_native","","","0.67","2017-11-06"
"267362","http://zimbabwe-today.com/","zimbabwe-today.com","ZWE","","en","Republic of Zimbabwe","digital_native","","","0.0","2018-01-15"
"271024","http://voazimbabwe.com/","voazimbabwe.com","ZWE","","en","none","video_broadcast","","","0.59","2017-10-30"
