media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"38788","http://www.tvsyd.dk/","tvsyd","DNK","DK-83","da","Kingdom of Denmark","video_broadcast","","","1.31","2013-03-11"
"38909","http://www.tv2fyn.dk/","tv2fyn","DNK","DK-83","da","Kingdom of Denmark","video_broadcast","","","1.36","2013-03-11"
"39339","http://stiften.dk/","stiften","DNK","DK-82","da","none","print_native","","","2.97","2013-04-08"
"39494","http://www.b.dk/","berlingske","DNK","DK-84","da","none","print_native","","","12.99","2013-04-01"
"39548","http://borsen.dk/","borsen","DNK","DK-84","da","none","print_native","","","3.84","2013-03-18"
"39592","http://www.tv2oj.dk/nyheder","tv2oj","DNK","DK-82","da","Kingdom of Denmark","video_broadcast","","","1.59","2013-03-18"
"39818","http://amtsavisen.dk","amtsavisen","DNK","DK-82","da","none","print_native","","","0.32","2013-03-11"
"39899","http://www.arbejderen.dk/","arbejderen","DNK","DK-84","da","Kingdom of Denmark","print_native","","","0.39","2021-05-31"
"39954","http://www.bornholmstidende.dk","bornholmstidende","DNK","DK-84","da","none","print_native","","","0.0","2013-03-18"
"40287","http://www.fyens.dk/","fyens","DNK","DK-83","da","none","print_native","","","6.27","2013-03-18"
"40324","http://www.jv.dk/","jv","DNK","DK-83","da","none","print_native","","","7.27","2013-03-18"
"40335","http://politiken.dk/","politiken","DNK","DK-84","da","none","print_native","","","9.26","2013-03-11"
"40927","http://www.information.dk/","information","DNK","DK-84","da","none","print_native","","","0.9","2013-03-18"
"41082","http://politiken.dk/newsinenglish/","politiken-en","DNK","DK-84","en","none","print_native","","","7.06","2013-03-18"
"41578","http://www.bt.dk","BT-dk","DNK","DK-84","da","none","print_native","","","7.66","2013-03-18"
"61654","http://cphpost.dk/","cphpost.dk","DNK","DK-84","en","Kingdom of Denmark","print_native","","","0.36","2015-11-09"
"62566","http://kristeligt-dagblad.dk/","kristeligt-dagblad.dk","","","da","none","","","","5.49","2013-04-29"
"77401","http://www.dr.dk/#spider","dr.dk","DNK","","da","none","video_broadcast","","","3.86","2019-02-11"
"85968","http://jyllands-posten.dk/#spider","jyllands-posten.dk","DNK","DK-84","da","none","print_native","","","6.82","2017-12-04"
