media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39304","http://www.inform.kz/rus","inform","KAZ","","ru","none","other","","","7.06","2013-03-18"
"39328","http://www.kp.kz/","kp-kz","KAZ","KZ-ALA","ru","none","print_native","","","0.0","2013-03-11"
"40018","http://www.kazpravda.kz/","kazpravda","KAZ","KZ-ALA","ru","none","print_native","","","0.0","2013-03-18"
"40825","http://zonakz.net/","zonakz","","","ru","none","","","","0.28","2017-04-24"
"40842","http://www.time.kz/","vremya-kz","KAZ","KZ-ALA","ru","Republic of Kazakhstan","print_native","","","1.92","2013-04-01"
"41684","http://www.interfax.kz/?lang=rus","interfax","KAZ","","ru","none","other","","","0.0","2014-06-16"
"41791","http://www.np.kz/","novoepoko","KAZ","KZ-ALA","ru","Republic of Kazakhstan","print_native","","","0.0","2013-03-11"
"43461","http://vesti.kz/#spider","vesti.kz","KAZ","","ru","none","digital_native","","","8.0","2017-10-30"
"45154","http://www.respublika-kz.info/#spider","respublika-kz.info","KAZ","","ru","","digital_native","","","0.0","2012-01-09"
"48026","http://tengrinews.kz/#spider","tengrinews.kz","KAZ","","ru","none","digital_native","","","5.5","2017-11-06"
"50514","http://i-news.kz/#spider","i-news.kz","KAZ","","ru","","digital_native","","","0.0","2019-06-10"
"50740","http://forbes.kz/#spider","forbes.kz","KAZ","","ru","Republic of Kazakhstan","print_native","","","4.88","2017-10-30"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"263828","http://en.tengrinews.kz/","en.tengrinews.kz","KAZ","","en","Land Berlin","digital_native","","","0.0","2016-08-08"
"264082","http://astanatimes.com/","astanatimes.com","KAZ","KZ-AST","en","Republic of Kazakhstan","print_native","","","0.29","2017-12-04"
"269084","http://kazakh-tv.kz/","kazakh-tv.kz","KAZ","","ru","none","video_broadcast","","","0.0","2017-10-30"
"300013","http://kazakh-tv.kz/en/mainpage/index","Kazakh TV - The first national satellite channel of the Republic of Kazakhstan","KAZ","","en","Republic of Kazakhstan","video_broadcast","","","0.0","2016-08-15"
"300313","http://www.inform.kz/eng","KAZINFORM","KAZ","","en","Republic of Kazakhstan","other","","","2.71","2016-08-15"
"300319","http://www.interfax.kz/?lang=eng","Интерфакс-Казахстан","KAZ","","en","Republic of Kazakhstan","other","","","0.0","2016-10-10"
"300343","http://www.kazakhstannews.net/","Kazakhstan News | Covers Kazakhstan & Central Asia","KAZ","","en","none","digital_native","","","2.19","2016-09-26"
"300475","http://www.petroleumjournal.kz/index.php?outlang=3","Main page - PETROLEUM-Analytical journal","KAZ","","en","Republic of Kazakhstan","print_native","","","0.0","2016-10-10"
"517172","http://daz.asia/","daz.asia","KAZ","KZ-ALA","de","Republic of Kazakhstan","print_native","","","0.16","2017-11-27"
"537331","http://timesca.com/","timesca.com","KGZ","KG-GB","en","none","print_native","","","0.0","2017-12-04"
"624009","http://24.kz/kz/","24 - Kazakhstan (Kazakh)","KAZ","","kk","","video_broadcast","","","0.0","2022-05-14"
"624010","http://24.kz/ru/","24 - Kazakhstan (Russian)","KAZ","","ru","","video_broadcast","","","0.0","2022-05-14"
"624011","http://www.azattyq.org/","Azattyq Radiosy","KAZ","","kk","none","video_broadcast","","","1.29","2017-11-06"
"624012","http://kazakh-tv.kz/ru/mainpage/index","Kazakh TV - Kazakhstan (Russian)","KAZ","","ru","none","video_broadcast","","","0.0","2017-10-30"
"624013","http://khabar.kz/kz/","Khabar - Kazakhstan (Kazakh)","KAZ","","kk","","video_broadcast","","","0.0","2020-02-24"
"624014","http://www.ktk.kz/kz/","KTK - Kazakhstan (Russian)","KAZ","","kk","none","video_broadcast","","","1.83","2017-10-30"
"624015","http://www.ktk.kz/ru/","KTK - Kazakhstan (Kazakh)","KAZ","","ru","none","video_broadcast","","","1.96","2017-10-30"
"624016","http://kazradio.kaztrk.kz/kz","Qazaq Radiosy - Kazakhstan (Kazakh)","KAZ","","kk","","video_broadcast","","","0.19","2018-01-08"
"624017","http://kazradio.kaztrk.kz/ru","Qazaq Radiosy - Kazakhstan (Russian)","KAZ","","ru","","video_broadcast","","","0.22","2018-04-16"
"624018","http://kaztv.kaztrk.kz/ru/","Qazaqstan - Kazakhstan (Russian)","KAZ","","none","none","video_broadcast","","","0.0","2020-06-08"
"624019","http://tv7.kz/kz","TV 7 - Kazakhstan (Kazakh)","KAZ","","kk","","video_broadcast","","","0.5","2016-02-15"
"624020","http://tv7.kz/ru","TV 7 - Kazakhstan (Russian)","KAZ","","ru","","video_broadcast","","","0.48","2014-10-06"
"624021","https://baq.kz/ar","BAQ - Kazakhstan (Kazakh)","KAZ","","kk","none","digital_native","","","0.0","2017-11-20"
"624022","http://www.brif.kz/","BRIF","KAZ","","ru","","digital_native","","","0.0","2017-10-30"
"624023","http://www.newsline.kz/","Newsline - Kazakhstan","KAZ","","en","Republic of Kazakhstan","digital_native","","","0.0","2018-06-25"
"624024","https://www.nur.kz/kk","Nur - Kazakhstan (Kazakh)","KAZ","","ru","none","digital_native","","","1.93","2020-06-08"
"624025","https://www.nur.kz/","Nur - Kazakhstan (Russian)","KAZ","","ru","none","digital_native","","","6.41","2020-06-08"
"624026","http://www.sports.kz/","Sports","KAZ","","ru","none","digital_native","","","9.91","2017-11-06"
"624027","https://kaz.tengrinews.kz/","Tengri News - Kazakhstan (Kazakh)","KAZ","","kk","none","digital_native","","","3.43","2017-11-06"
"624028","http://www.zakon.kz/","Zakon","KAZ","","ru","Republic of Kazakhstan","digital_native","","","0.0","2017-11-06"
"624029","http://www.petroleumjournal.kz/index.php?outlang=1","Petroleum - Kazakhstan (Russian)","KAZ","","ru","","print_native","","","0.0","2017-10-30"
"624030","http://kaz.caravan.kz/","Karavan - Kazakhstan (Kazakh)","KAZ","KZ-ALA","kk","","print_native","","","0.0","2018-04-16"
"624031","http://www.caravan.kz/","Karavan - Kazakhstan (Russian)","KAZ","KZ-ALA","ru","none","print_native","","","1.77","2018-05-21"
"624032","http://www.zhasalash.kz/","Zhas Alash","KAZ","KZ-ALA","kk","none","print_native","","","0.0","2017-12-04"
"624033","https://www.interfax.kz/?lang=kaz","Interfax - Kazakhstan (Kazakh)","KAZ","","kk","","other","","","0.0","2017-10-30"
"624034","http://www.inform.kz/arb","Kazinform - Kazakhstan (Arabic)","KAZ","","ru","none","other","","","7.37","2018-06-11"
"624035","http://www.inform.kz/chn","Kazinform - Kazakhstan (Chinese)","KAZ","","zh","Republic of Kazakhstan","other","","","2.16","2018-10-22"
"624243","http://kaztv.kaztrk.kz/kz/","Qazaqstan - Kazakhstan (Kazakh)","KAZ","","kk","none","video_broadcast","","","0.0","2020-06-08"
"651101","http://www.panoramakz.com/","Panorama - Kazakhstan","KAZ","KZ-ALA","ru","","print_native","","","0.0","2011-11-14"
"653546","http://stv-online.kz/","STV - Kazakhstan","KAZ","KZ-ALA","kk","","video_broadcast","","","0.0","2017-12-04"
"654870","https://kapital.kz/","Kapital - Kazakhstan","KAZ","KZ-ALA","ru","none","print_native","","","2.13","2017-12-04"
"656437","http://www.ng.kz/","Nasha Gazeta - Kazakhstan","KAZ","","ru","none","print_native","","","3.47","2017-12-04"
"656575","http://khabar.kz/ru/","Khabar","KAZ","","ru","","video_broadcast","","","0.0","2020-02-24"
"656576","https://baq.kz/kk","Жаңалықтар. Соңғы Қазақстанның жаңалықтары — «Baq.kz»","KAZ","","kk","none","digital_native","","","0.0","2017-12-04"
"656577","http://www.atshabar.kz/","Atshabar","KAZ","KZ-ALA","ru","","print_native","","","0.0","2019-06-10"
"656578","http://www.dn.kz/","Delovaya Nedelya","KAZ","KZ-ALA","ru","none","print_native","","","0.0","2017-12-04"
"656579","http://www.express-k.kz/","Ekspress K","KAZ","KZ-ALA","ru","","print_native","","","0.0","2018-04-23"
"656580","http://europaplus.kz/","Europa Plus","KAZ","KZ-ALA","ru","","video_broadcast","","","0.0","2019-05-13"
"656581","http://ivest.kz/","Inform Vest","KAZ","KZ-ALA","ru","none","print_native","","","0.9","2013-06-03"
"656582","http://irr.kz/","Iz Ruk V Ruki","KAZ","KZ-ALA","ru","","print_native","","","0.0","2018-02-05"
"656583","http://www.kazpravda.kz/en","Kazakhstanskaya Pravda (English)","KAZ","KZ-ALA","en","","print_native","","","0.0","2017-12-11"
"656584","http://www.kazakhstanzaman.kz/?lng=cir","Қазақстан-ZAMAN | Қазақстан-ZAMAN","KAZ","KZ-ALA","kk","none","print_native","","","0.0","2020-01-06"
"656585","http://liter.kz/","Liter","KAZ","KZ-ALA","ru","none","print_native","","","0.0","2017-12-04"
"656586","http://www.almaty.tv/","TV Almaty","KAZ","KZ-ALA","ru","none","video_broadcast","","","2.8","2019-03-11"
"656587","http://www.diapazon.kz/","Diapazon","KAZ","","ru","none","print_native","","","0.0","2017-12-04"
"656588","http://www.rikatv.kz/","Rika TV","KAZ","","ru","","video_broadcast","","","0.0","2017-12-04"
"656589","http://www.astanatv.kz/site/index/lang/kz.html","Astana TV (Kazakh)","KAZ","KZ-AST","ru","none","video_broadcast","","","0.0","2018-01-01"
"656590","http://www.astanatv.kz/site/index/lang/ru.html","Astana TV (Russian)","KAZ","KZ-AST","ru","none","video_broadcast","","","0.0","2014-02-03"
"656591","https://egemen.kz/","Egemen Kazakhstan","KAZ","KZ-AST","kk","none","print_native","","","0.0","2017-12-04"
"656592","http://alau.kz/","TV Alau","KAZ","KZ-AST","ru","none","video_broadcast","","","0.88","2017-12-04"
"656593","http://azh.kz/en","Ak Zhaiyk (English)","KAZ","","en","","print_native","","","0.0","2018-04-23"
"656594","http://azh.kz/kz","Ak Zhaiyk (Kazakh)","KAZ","","kk","","print_native","","","0.0","2018-05-28"
"656595","http://azh.kz/ru","Ak Zhaiyk (Russian)","KAZ","","ru","","print_native","","","0.0","2018-01-01"
"656596","http://www.atr.kz/","Atyrau","KAZ","","kk","none","print_native","","","0.72","2017-12-04"
"656597","https://www.lada.kz/","Lada","KAZ","","ru","none","print_native","","","1.7","2017-12-04"
"656598","http://ekaraganda.kz/","E Karaganda","KAZ","","ru","none","digital_native","","","0.0","2017-12-04"
"656599","http://novoetv.kz/","Novoe TV","KAZ","","ru","none","video_broadcast","","","0.67","2017-12-04"
"656600","http://www.nv.kz/","Novyi Vestnik","KAZ","","ru","none","print_native","","","0.62","2017-12-04"
"656601","http://www.sobytiya.kz/","Sobytiya - Kazakhstan","KAZ","","ru","","print_native","","","0.0","2022-05-14"
"656603","http://www.kostanai.kz/","Kostanai Online","KAZ","","ru","","digital_native","","","0.0","2018-04-23"
"656604","http://kostanaytany.kz/","Qostanayi Tany","KAZ","","kk","none","print_native","","","0.0","2017-12-04"
"656605","http://kstnews.kz/","Kostanaiskie Novosti","KAZ","","ru","","print_native","","","0.0","2018-04-23"
"656606","http://news.oskemen.ru/","Oskemen","KAZ","","ru","","digital_native","","","0.0","2017-12-11"
"656607","http://mtrk.kz/","MTRK - Kazakhstan","KAZ","","kk","none","video_broadcast","","","0.01","2017-12-04"
"705596","http://informburo.kz/","informburo.kz","","","","","","","","0.0","2020-03-09"
"718274","http://interfax.kz/","interfax.kz","","","","","","","","0.0","2020-10-12"
"728765","http://total.kz/","total.kz","","","","","","","","2.04","2020-10-12"
"798836","http://365info.kz/","365info.kz","","","","","","","","1.76","2020-10-12"
"961080","http://exclusive.kz/","exclusive.kz","","","","","","","","1.07","2020-10-12"
"1106543","http://lsm.kz/","lsm.kz","","","","","","","","0.68","2020-10-12"
"1386071","http://qazaqstan.tv/","qazaqstan.tv","","","","","","","","0.0","2020-10-12"
"1501699","http://kursiv.kz/","kursiv.kz","","","","","","","","0.0","2020-10-12"
"1577291","http://dknews.kz/","dknews.kz","","","","","","","","0.0","2020-07-06"
"1702156","https://medvestnik.by/","Главная","","","","","","","","0.0","2022-05-14"
"1715741","http://vecher.kz/","Главная - Вечерний Алматы","","","","","","","","37.28","2020-10-19"
"1715742","http://apgazeta.kz/","http://apgazeta.kz/","","","","","","","","0.79","2020-10-12"
"1715743","http://www.and.kz/","Бизнес&Власть - онлайн-издание о трендах в экономике, бизнесе, обществе.","","","","","","","","0.0","2020-10-12"
"1715751","https://www.novgaz.com/","Новая Газета Казахстан - Главная","","","","","","","","0.14","2020-10-05"
"1715752","http://www.abrk.kz/","Ассоциация Банков Республики Казахстан","","","","","","","","0.0","2022-05-14"
"1715762","https://www.kt.kz/eng/","Kazakhstan Today | News agency","","","","","","","","0.56","2020-09-28"
"1715763","https://aqparat.info/","Новости Казахстана, новости мира | Қазақстан жаңалықтар | Aqparat.info","","","","","","","","42.44","2020-10-12"
"1715764","http://baq.kz/","BAQ.KZ - Жаңалықтар. Қазақстанның cоңғы жаңалықтары","","","","","","","","0.0","2020-10-12"
