media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"22503","http://wyborcza.pl","wyborcza.pl","POL","PL-MZ","pl","United States","print_native","","","2.4","2017-11-06"
"38732","http://www.gazetaprawna.pl/","gazetaprawna","POL","PL-MZ","pl","none","print_native","","","3.64","2013-03-11"
"38761","http://www.gloswielkopolski.pl/","glos","POL","PL-WP","pl","Republic of Poland","print_native","","","14.54","2019-04-01"
"38812","http://www.krakowpost.com/","krakowpost","POL","PL-MA","en","Republic of Poland","print_native","","","0.0","2013-02-18"
"38840","http://www.wbj.pl/","WarsawBusiness","POL","PL-MZ","en","Republic of Poland","print_native","","","0.0","2013-02-04"
"39319","http://www.tvn24.pl/","tvn24","POL","","pl","none","video_broadcast","","","13.36","2013-03-11"
"39522","http://www.dziennikbaltycki.pl/","dziennikbaltycki","POL","PL-PM","pl","Republic of Poland","print_native","","","14.51","2020-09-14"
"39578","http://www.tvp.pl/","tvp","POL","","pl","none","video_broadcast","","","0.0","2013-05-20"
"39772","http://www.24kurier.pl/","24kurier","POL","PL-ZP","pl","Republic of Poland","print_native","","","1.98","2013-03-11"
"39851","http://www.gazetapolska.pl/","gazetapolska","POL","","pl","none","print_native","","","0.0","2013-03-11"
"39963","http://www.gazetakrakowska.pl/","gazetakrakowska","POL","PL-MA","pl","Republic of Poland","print_native","","","17.58","2020-09-14"
"40141","http://www.se.pl/","se","POL","PL-MZ","pl","none","print_native","","","0.0","2013-03-18"
"40203","http://www.pb.pl/","pb","POL","PL-MZ","pl","United States","print_native","","","0.0","2013-03-18"
"40241","http://www.polskieradio.pl/","polskieradio","POL","","pl","none","video_broadcast","","","0.0","2016-10-10"
"40248","http://www.radiogdansk.pl/","radiogdansk","POL","PL-PM","pl","none","video_broadcast","","","0.0","2013-03-11"
"40300","http://www.kurierlubelski.pl/","kurierlubelski","POL","PL-LU","pl","none","print_native","","","12.06","2019-05-20"
"40367","http://www.nowosci.com.pl/","nowosci","POL","","pl","none","print_native","","","10.19","2016-09-05"
"40880","http://www.fakt.pl/","Fakt","POL","PL-MZ","pl","none","print_native","","","3.58","2013-03-18"
"40901","http://expressilustrowany.pl/","expressilustrowany","POL","PL-LD","pl","none","print_native","","","12.36","2013-03-18"
"41020","http://www.dzienniklodzki.pl/","dzienniklodzki","POL","PL-LD","pl","none","print_native","","","15.76","2020-09-14"
