media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"41208","http://www.dehai.org/","dehai","ERI","","en","State of Eritrea","digital_native","","","0.0","2013-07-15"
"58578","http://capitaleritrea.com/","capitaleritrea.com","ERI","","en","State of Eritrea","digital_native","","","0.0","2013-04-15"
"62148","http://asmarino.com/","asmarino.com","ERI","","en","State of Eritrea","digital_native","","","0.0","2013-04-29"
"297225","http://eritreadaily.net/","eritreadaily.net","ERI","","en","","digital_native","","","0.0","2017-12-04"
"300268","http://www.eritrea24.com/","Eritrea News, Music, Entertainment, Arts, Travel and Opinions | Eritrea and Eritreans | Eritrea24.com","ERI","","en","Ādīs Ābeba Āstedader","digital_native","","","0.0","2016-10-10"
"300520","http://www.shabait.com/","| Eritrean Ministry of Information, Eritrean News and Facts","ERI","","en","State of Eritrea","digital_native","","","0.38","2016-09-19"
"310710","http://raimoq.com/","raimoq.com","","","","","","","","0.0","2020-10-05"
"320596","http://tesfanews.net/","tesfanews.net","","","","","","","","0.0","2011-09-19"
"454547","http://awate.com/","awate.com","ERI","","en","State of Eritrea","digital_native","","","0.11","2017-11-20"
"536465","http://madote.com/","madote.com","","","","","","","","0.0","2020-04-13"
"624040","http://www.alenalki.com/","Alenalki","ERI","","tig","","digital_native","","","0.0","2017-10-23"
"624041","http://www.shabait.com/eritrea-alhaditha","Eritrea Alhaditha","ERI","","none","none","print_native","","","0.38","2020-09-14"
"624244","http://www.shabait.com/eritrea-haddas","Eritrea Haddas","ERI","","none","none","print_native","","","0.31","2020-09-21"
"655730","http://www.farajat.net/ar/","Farajat","ERI","","ar","none","digital_native","","","0.09","2017-11-27"
"655731","http://www.jeberti.com/","Jeberti","ERI","","en","","digital_native","","","0.0","2017-05-15"
"655732","http://www.meskerem.net/","Meskerem","ERI","","en","","digital_native","","","0.0","2019-05-13"
"655733","http://www.nharnet.com/","Nharnet","ERI","","en","","digital_native","","","0.0","2018-01-01"
"655734","http://www.shabait.com/eritrea-profile","Eritrea Profile","ERI","","none","State of Eritrea","print_native","","","0.38","2020-09-14"
"655735","http://www.shabait.com/haddas-ertra","Haddas Ertra","ERI","","mg","none","print_native","","","0.38","2020-09-14"
"1714061","https://zenazajel.net/","Zena Zajel – Eritrean News Agency","","","","","","","","0.12","2020-09-21"
"1714062","https://asenatv.com/","ASENA TV – The voice of the voiceless!","","","","","","","","0.07","2020-10-12"
"1714063","http://www.adoulis.net/","ÚÏæáíÓ | ÇáãÑßÒ ÇáÅÑíÊÑí ááÎÏãÇÊ ÇáÅÚáÇãíÉ","","","","","","","","0.13","2016-08-01"
