media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"39182","http://eng.24.kg/","24-kg-en","KGZ","","en","Kyrgyz Republic","other","","","8.14","2020-06-08"
"40197","http://www.pr.kg/","pr","KGZ","KG-GB","ru","none","print_native","","","0.0","2016-10-10"
"40796","http://www.kabar.kg/tur/","kabar-tr","KGZ","","tr","none","other","","","0.0","2013-02-18"
"40831","http://www.kabar.kg/rus/","kabar-ru","KGZ","","ru","Khabarovskiy Kray","other","","","0.0","2013-03-11"
"40923","http://www.kabar.kg/kyr/","kabar-ky","KGZ","","ru","none","other","","","0.0","2013-03-11"
"41115","http://www.kabar.kg/eng/","kabar","KGZ","","en","Kyrgyz Republic","other","","","0.0","2013-02-25"
"41472","http://www.msn.kg/","moyastolitsa","KGZ","KG-GB","ru","Kyrgyz Republic","print_native","","","0.0","2013-03-11"
"45838","http://www.vb.kg/#spider","vb.kg","KGZ","KG-GB","ru","Republic of Uzbekistan","print_native","","","2.93","2017-12-04"
"57124","http://azattyk.org/","azattyk.org","KGZ","","ru","none","video_broadcast","","","4.0","2013-05-06"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"62151","http://24kg.org/","24kg.org","KGZ","","ru","none","other","","","8.8","2013-05-06"
"63367","http://stan.tv/","stan.tv","KGZ","","ru","none","other","","","0.0","2013-05-06"
"270416","http://akipress.com/","akipress.com","KGZ","","en","Chuyskaya Oblast’","other","","","2.21","2016-08-15"
"300002","http://internews.kg/?newlang=eng","Internews in Kyrgyz Republic | Представительство Интерньюс в КР","KGZ","","en","none","digital_native","","","0.17","2016-08-15"
"300350","http://www.kyrgyzstannews.net/","Updating Kyrgyzstan News | National & Regional News Service","KGZ","","en","none","digital_native","","","2.17","2016-09-26"
"537331","http://timesca.com/","timesca.com","KGZ","KG-GB","en","none","print_native","","","0.0","2017-12-04"
"624042","http://www.for.kg/","For","KGZ","","ru","none","digital_native","","","10.91","2017-11-13"
"624043","http://www.gazeta.kg/","Gazeta - Kyrgyzstan (Russian)","KGZ","","ru","none","digital_native","","","3.14","2018-05-07"
"624044","http://internews.kg/?newlang=rus","Internews - Kyrgyzstan (Russian)","KGZ","","ru","Kyrgyz Republic","digital_native","","","0.17","2017-10-30"
"624045","http://www.sk.kg/","Slovo Kyrgystana","KGZ","KG-GB","ru","","print_native","","","0.0","2018-12-24"
"624046","http://www.akipress.org/","AKI Press - Kyrgyzstan (Russian)","KGZ","","ru","","other","","","0.0","2018-04-16"
"624047","http://kaz.stan.tv/","Stan - Kyrgyzstan (Russian)","KGZ","","ru","","other","","","0.0","2017-10-30"
"650091","http://www.bbc.co.uk/kyrgyz","BBC - Kyrgyzstan","KGZ","","ky","none","video_broadcast","","","0.61","2017-10-30"
"653424","http://www.zaman.kg/","Zaman - Kyrgyzstan","KGZ","KG-GB","ru","","print_native","","","0.0","2018-01-22"
"653514","http://www.kp.kg/","Komsomolskaia Pravda - Kyrgyzstan","KGZ","KG-GB","ru","","print_native","","","0.0","2017-12-04"
"656634","http://www.delo.kg/","Delo No","KGZ","KG-GB","ru","none","print_native","","","0.0","2019-06-24"
"1421305","http://en.kabar.kg/","en.kabar.kg","","","","","","","","0.0","2020-03-30"
"1715828","http://kyrgyztuusu.kg/","Кыргыз Туусу - Улуттук тун гезитинин сайты","","","","","","","","0.5","2020-10-12"
