media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"20659","http://www.alsumaria.tv","alsumaria.tv","IRQ","","ar","none","video_broadcast","","","12.74","2019-05-13"
"20752","http://www.daraddustour.com","daraddustour.com","IRQ","IQ-BG","","","print_native","","","0.02","2011-12-26"
"39462","http://www.azzaman.com/","azzaman-ar","IRQ","IQ-BG","ar","none","print_native","","","0.0","2013-03-11"
"41123","http://almadapaper.net/","almadapaper","IRQ","IQ-BG","ar","none","print_native","","","0.0","2018-03-05"
"41216","http://www.radiodijla.com/","radiodijla","IRQ","IQ-BG","ar","none","video_broadcast","","","0.0","2016-04-18"
"41335","http://www.alrafidayn.com/","alrafidayn","IRQ","IQ-BG","ar","none","print_native","","","0.0","2013-03-11"
"41617","http://www.sotaliraq.com/","sotaliraq","IRQ","","ar","none","digital_native","","","4.78","2016-11-21"
"42063","http://www.azzaman.com/english/","azzaman","IRQ","IQ-BG","en","Republic of Iraq","print_native","","","0.0","2019-06-10"
"62090","http://rferl.org/","rferl.org","ARM","","","","digital_native","","","1.89","2013-05-06"
"67556","http://kitabat.com/#spider","kitabat.com","","","","","","","","0.0","2013-06-03"
"73077","http://www.iraqhurr.org/#spider","iraqhurr.org","IRQ","","ar","none","video_broadcast","","","0.2","2017-12-11"
"74014","http://www.iraq-businessnews.com/#spider","iraq-businessnews.com","IRQ","","en","Republic of Iraq","digital_native","","","0.5","2017-12-04"
"84618","http://www.kurdishglobe.net/#spider","kurdishglobe.net","IRQ","IQ-AR","en","","print_native","","","0.0","2017-12-04"
"109984","http://iraqinews.com/","iraqinews.com","IRQ","","en","Republic of Iraq","digital_native","","","1.56","2016-08-15"
"219107","http://baghdadiabian.com/","baghdadiabian.com","IRQ","","ar","","other","","","0.0","2017-06-19"
"220127","http://imn.iq/","imn.iq","IRQ","","ar","none","video_broadcast","","","0.7","2018-06-11"
"220799","http://alforatnews.com/","alforatnews.com","IRQ","","ar","","video_broadcast","","","0.0","2013-12-02"
"300005","http://iraqdailyjournal.com/index.php?lang=en","Iraq Daily Journal","IRQ","","en","Republic of Iraq","digital_native","","","0.0","2016-10-10"
"300327","http://www.iraqidinar123.com/","Iraqi Dinar News and Facts - IraqiDinar123","IRQ","","en","Republic of Iraq","digital_native","","","0.0","2016-07-25"
"300328","http://www.iraqireporter.us/","Iraqi Reporter | Latest Iraqi Dinar Recaps, RV And Political News","IRQ","","en","Republic of Iraq","digital_native","","","0.21","2016-08-08"
"624048","http://www.iraqnewspaper.net/","Iraq","IRQ","","ar","Republic of Iraq","digital_native","","","0.84","2017-11-06"
"651241","http://www.theguardian.com/world/iraq","Guardian - Iraq","IRQ","","en","Republic of Iraq","print_native","","","0.22","2017-11-13"
"656407","http://www.kurdistan.tv/","Kurdistan TV","IRQ","","ku","","video_broadcast","","","0.0","2017-12-04"
"656409","http://ar.aswataliraq.info/","Aswat al Iraq (Arabic)","IRQ","","ar","","digital_native","","","0.0","2017-07-10"
"656410","http://www.iraqenergy.org/","Iraq Energy","IRQ","","en","Republic of Iraq","digital_native","","","0.01","2018-02-19"
"656411","http://www.mangish.com/","Mangish","IRQ","","ar","Republic of Iraq","digital_native","","","25.63","2018-02-19"
"656413","http://hawlati.co/","Hawlati","IRQ","","ku","","print_native","","","0.0","2018-02-05"
"656414","http://www.aladalanews.net/","Al Adala","IRQ","IQ-BG","ar","none","print_native","","","0.06","2019-05-20"
"656415","http://www.ahali-iraq.net/","Al Ahali Iraq","IRQ","IQ-BG","ar","","print_native","","","0.0","2017-12-11"
"656417","http://albayyna-new.com/","Al Bayyna","IRQ","IQ-BG","ar","none","print_native","","","0.0","2017-12-04"
"656418","http://www.adawaanews.net/","Al Dawaa","IRQ","IQ-BG","ar","","print_native","","","0.0","2017-12-04"
"656419","http://www.iraqalyoum.net/","Al Iraq Al Youm","IRQ","IQ-BG","ar","","print_native","","","0.0","2022-05-14"
"656420","http://www.alitthad.com/","Al Itthad","IRQ","IQ-BG","ar","none","print_native","","","1.04","2017-12-04"
"656421","http://www.al-mashriq.net/","Al Mashriq","IRQ","IQ-BG","ar","","print_native","","","0.01","2017-12-11"
"656423","http://www.alsabaah.iq/","Al Sabaah","IRQ","IQ-BG","ar","Republic of Iraq","print_native","","","1.9","2017-12-11"
"656424","http://www.newsabah.com/","Al Sabah Al Jadeed","IRQ","IQ-BG","ar","none","print_native","","","0.0","2018-01-08"
"656425","http://www.altaakhipress.com/","Attaakhi","IRQ","IQ-BG","none","none","print_native","","","2.01","2017-12-04"
"656426","http://www.baghdadnp.com/","Baghdad","IRQ","IQ-BG","en","none","print_native","","","0.14","2017-11-13"
"656427","http://www.voiraq.com/","Voice of Iraq","IRQ","IQ-BG","ar","","video_broadcast","","","0.0","2018-01-15"
"712935","http://zowaa.org/","zowaa.org","","","","","","","","0.31","2020-10-12"
"718211","http://anbaaonline.com/","anbaaonline.com","","","","","","","","0.0","2018-03-19"
"1182145","http://awene.com/","awene.com","","","","","","","","0.0","2020-10-12"
"1715590","http://xebat.net/ku/","رۆژنامه‌ی خه‌بات – تا ژیان به‌رده‌وام بێ، خه‌بات به‌رده‌وامه‌","","","","","","","","0.53","2020-10-12"
