media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"18597","http://www.jornada.unam.mx","jornada.unam.mx","","","es","United States","","","","0.0","2015-03-30"
"19449","http://www.merca20.com","merca20.com","","","es","none","","","","3.22","2015-10-05"
"21886","http://www.elconfidencial.com","elconfidencial.com","ESP","","es","United States","digital_native","","","14.41","2013-09-02"
"22344","http://impreso.milenio.com","impreso.milenio.com","","","es","none","","","","22.49","2018-07-30"
"22579","http://www.milenio.com","milenio.com","MEX","","es","none","digital_native","","","28.56","2018-07-30"
"23550","https://www.asociaciondeinternet.mx/es/","asociaciondeinternet.mx/es/","MEX","","es","none","other","","","0.0","2018-05-21"
"23668","http://www.eluniversal.com.mx","eluniversal.com.mx","MEX","MX-DIF","es","Mexico","print_native","","","0.78","2015-08-10"
"40015","http://www.proceso.com.mx/","proceso","MEX","","es","Mexico","print_native","","","5.88","2013-03-11"
"40544","http://www.jornada.unam.mx/ultimas","jornada","","","es","Mexico","","","","10.04","2013-03-18"
"40646","http://www.presidencia.gob.mx/","presidencia","MEX","","en","none","digital_native","","","0.0","2013-06-17"
"41843","http://www.publico.es/","Publico-ES","ESP","ES-M","es","Kingdom of Spain","print_native","","","14.62","2013-11-18"
"41879","http://mexico.cnn.com","cnnMexico","","","es","none","","","","0.0","2013-05-20"
"56360","http://el-universal.com.mx/","el-universal.com.mx","","","es","Mexico","","","","0.89","2017-12-25"
"56781","http://jennivora.blogspot.com/","jennivora.blogspot.com","","","","","","","","0.0","2011-01-10"
"56825","http://exonline.com.mx/","exonline.com.mx","MEX","MX-DIF","es","none","print_native","","","0.0","2019-05-20"
"56828","http://atomicdarinka.blogspot.com/","atomicdarinka.blogspot.com","MEX","","","","digital_native","","","0.0","2011-05-02"
"56894","http://danielhernandez.typepad.com/","danielhernandez.typepad.com","","","","","","","","0.0","2013-03-25"
"57731","http://cabezasunderground.com/","cabezasunderground.com","","","es","none","","","","0.0","2013-04-29"
"58106","http://movimiento5dejunio.org/","movimiento5dejunio.org","","","es","none","","","","0.0","2016-10-03"
"58440","http://www.televisa.com/us/","Televisa","MEX","","es","none","digital_native","","","0.82","2019-05-20"
"58515","http://eleconomista.com.mx/","eleconomista.com.mx","MEX","MX-DIF","es","none","print_native","","","20.02","2015-04-06"
"58874","http://www.theragblog.com/","The Rag Blog","MEX","","en","United States","digital_native","","","0.09","2013-04-22"
"59187","http://zacatecasvive.blogspot.com/","zacatecasvive.blogspot.com","","","","","","","","0.0","2011-05-02"
"60131","http://eldiariodecoahuila.com.mx/","eldiariodecoahuila.com.mx","MEX","MX-COA","es","Minas Gerais","print_native","","","0.0","2013-04-29"
"60357","http://hazmeelchingadofavor.com/","hazmeelchingadofavor.com","","","es","none","","","","0.0","2013-04-29"
