media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"55845","http://time.mk/","time.mk","MKD","","mk","none","digital_native","","","87.63","2013-06-10"
"63870","http://on.net.mk/","on.net.mk","MKD","","mk","none","digital_native","","","0.0","2013-05-06"
"66164","http://alsat.mk/","alsat.mk","MKD","","mk","none","video_broadcast","","","8.22","2017-10-09"
"179165","http://sitel.com.mk/","sitel.com.mk","MKD","","mk","Sardegna","video_broadcast","","","4.07","2018-06-25"
"282499","http://kurir.mk/","kurir.mk","MKD","","mk","none","digital_native","","","8.08","2017-11-06"
"299973","http://english.republika.mk/","Republika Online","MKD","","en","Republic of Macedonia","digital_native","","","1.37","2016-08-15"
"300307","http://www.idividi.com.mk/english/","IDIVIDI","MKD","","en","none","digital_native","","","0.66","2016-08-15"
"300392","http://www.mia.mk/en","MIA","MKD","","en","Republic of Macedonia","other","","","0.0","2017-12-04"
"300530","http://www.skopjediem.com/","SkopjeDiem. Macedonia in English.","MKD","","en","Republic of Macedonia","digital_native","","","0.29","2018-06-11"
"373388","http://vecer.mk/","vecer.mk","MKD","","mk","none","print_native","","","9.9","2021-06-07"
"495455","http://mia.mk/","mia.mk","MKD","","mk","Republic of Macedonia","other","","","12.9","2017-12-11"
"562350","http://zhurnal.mk/","zhurnal.mk","MKD","","sq","United States","digital_native","","","5.1","2017-10-30"
"562450","http://alsat-m.tv/","alsat-m.tv","MKD","","sq","United States","video_broadcast","","","8.06","2017-11-06"
"624050","http://www.24vesti.mk/","24 Vesti","MKD","","mk","none","video_broadcast","","","0.0","2017-10-30"
"624051","http://www.alfa.mk/","Alfa TV","MKD","","mk","none","video_broadcast","","","0.63","2017-11-06"
"624052","http://www.kanal5.com.mk/","Kanal 5","MKD","","mk","none","video_broadcast","","","11.16","2017-10-30"
"624055","http://daily.mk/","Daily - Macedonia","MKD","","mk","none","digital_native","","","0.0","2017-11-06"
"624056","http://lider.mk/","Ekonomski Lider","MKD","","mk","none","digital_native","","","3.94","2018-04-02"
"624057","http://grid.mk/","Grid","MKD","","mk","Serbia","digital_native","","","0.0","2018-04-16"
"624058","http://hl.mk/","Headlines","MKD","","mk","","digital_native","","","0.0","2022-05-14"
"624061","http://www.makedonija24.mk/","Makedonija 24","MKD","","mk","none","digital_native","","","0.11","2018-03-26"
"624062","http://www.sport.com.mk/","Makedonski Sport","MKD","","mk","none","digital_native","","","10.38","2019-06-17"
"624063","http://mkd-news.com/","MK News","MKD","","mk","Logan","digital_native","","","0.33","2017-11-06"
"624064","http://netpress.com.mk/","Net Press","MKD","","mk","none","digital_native","","","5.19","2017-11-06"
"624065","http://www.puls24.mk/","Puls 24","MKD","","mk","none","digital_native","","","1.41","2017-10-30"
"624066","http://republika.mk/","Republika - Macedonia (Macedonian)","MKD","","mk","none","digital_native","","","8.03","2017-11-06"
"624067","http://shqip.republika.mk/","Republika - Macedonia (Albanian)","MKD","","sq","none","digital_native","","","1.39","2018-02-19"
"624068","http://shqipmedia.com/portal/","Shqip Media","MKD","","sq","none","digital_native","","","0.0","2017-10-30"
"624069","http://sportmedia.mk/","Sport Media","MKD","","mk","none","digital_native","","","0.0","2017-11-06"
"624071","http://tocka.com.mk/","Tochka","MKD","","mk","none","digital_native","","","6.58","2017-11-06"
"624072","http://vesti.mk/","Vesti - Macedonia","MKD","","mk","none","digital_native","","","0.0","2017-10-30"
"624073","http://vistina.mk/","Vistina","MKD","","mk","none","digital_native","","","1.28","2017-11-06"
"624074","http://www.ina-online.net/","Iliria News Agency","MKD","","sq","none","other","","","4.69","2017-11-06"
"624075","http://makfax.com.mk/","Makfax","MKD","","mk","none","other","","","8.21","2017-11-06"
"624076","http://www.mia.mk/mk","MIA - Macedonia (Macedonian)","MKD","","mk","none","other","","","0.0","2017-11-06"
"624245","http://mrt.com.mk/","MRT","MKD","","mk","none","video_broadcast","","","0.0","2017-11-06"
"624246","http://www.makedonskosonce.com/","Makedonsko Sonce","MKD","","mk","none","print_native","","","0.37","2017-11-06"
"624247","http://www.novamakedonija.com.mk/","Nova Makedonija","MKD","","mk","none","print_native","","","2.6","2018-06-18"
"656624","http://www.lajmpress.com/","Lajm - Macedonia","MKD","","sq","United States","print_native","","","0.0","2018-06-18"
"656769","http://www.tvkoha.tv/","TV Koha","MKD","","sq","United States","video_broadcast","","","0.72","2018-07-09"
"656770","http://tera.mk/","Tera Televizija","MKD","","mk","Indiana","video_broadcast","","","1.28","2017-12-04"
"656771","http://tvorbis.com.mk/","TV Orbis","MKD","","mk","United States","video_broadcast","","","0.1","2018-01-01"
"656772","http://www.koha.mk/","Koha","MKD","","sq","none","print_native","","","3.28","2018-06-18"
"656773","http://www.yenibalkan.com/","Yeni Balkan","MKD","","tr","none","print_native","","","0.0","2018-02-12"
"673533","http://slobodenpecat.mk/","slobodenpecat.mk","","","","","","","","11.53","2020-10-12"
"1720490","https://nezavisen.mk/","Насловна - Независен Весник","","","","","","","","5.29","2020-10-12"
